k;seed;inf;tim
0;263;0.000000;0.000125
1;466;0.000000;0.005926
2;142;0.000000;0.011416
3;80;0.000000;0.017145
4;77;0.000100;0.023337
5;244;0.000200;0.030180
6;0;0.000700;0.037453
7;83;0.001000;0.045353
8;15;0.001400;0.053602
9;46;0.001600;0.062408
10;301;0.001800;0.071939
11;360;0.001900;0.082086
12;95;0.002200;0.092989
13;309;0.003200;0.104298
14;418;0.003700;0.116182
15;57;0.004000;0.128494
16;311;0.004500;0.141700
17;485;0.006300;0.155165
18;75;0.007100;0.169026
19;462;0.006900;0.183704
20;30;0.008300;0.199027
21;304;0.008500;0.214821
22;317;0.011000;0.231156
23;161;0.009800;0.247924
24;58;0.010600;0.265025
25;203;0.014700;0.282357
26;231;0.016100;0.299993
27;242;0.015500;0.317936
28;84;0.016700;0.336069
29;465;0.016200;0.354529
30;357;0.018800;0.373348
31;474;0.020400;0.392463
32;6;0.020800;0.411735
33;468;0.021400;0.431159
34;447;0.021400;0.450688
35;144;0.022100;0.470352
36;211;0.021000;0.490019
37;286;0.022800;0.509913
38;101;0.022300;0.529907
39;259;0.021200;0.550195
40;253;0.023300;0.570526
41;332;0.025400;0.590721
42;152;0.025500;0.610991
43;2;0.024300;0.631295
44;183;0.024700;0.651643
45;129;0.025600;0.672069
46;377;0.026300;0.692701
47;473;0.026300;0.713645
48;399;0.027900;0.734703
49;121;0.031300;0.755639
50;147;0.032000;0.776665
51;194;0.030600;0.797798
52;174;0.034300;0.819095
53;20;0.035700;0.840604
54;163;0.037900;0.862247
55;269;0.037100;0.884340
56;196;0.037700;0.906336
57;41;0.037900;0.928493
58;35;0.041200;0.950719
59;16;0.044600;0.973158
60;86;0.041000;0.995693
61;391;0.045300;1.018451
62;499;0.046800;1.041412
63;257;0.045600;1.064549
64;223;0.048100;1.087870
65;471;0.048500;1.111404
66;492;0.052000;1.135064
67;358;0.048800;1.158892
68;464;0.053100;1.182908
69;398;0.051600;1.207041
70;103;0.050300;1.231250
71;331;0.054400;1.255511
72;300;0.054400;1.279887
73;371;0.055800;1.304414
74;73;0.056600;1.329006
75;97;0.056100;1.354174
76;237;0.058500;1.379063
77;426;0.059400;1.403926
78;272;0.058800;1.428831
79;475;0.057300;1.453779
80;28;0.061500;1.478782
81;476;0.061100;1.503915
82;482;0.059600;1.529140
83;282;0.064100;1.554451
84;246;0.063300;1.579809
85;36;0.060700;1.605256
86;123;0.064400;1.630777
87;160;0.063100;1.656358
88;201;0.062100;1.681962
89;114;0.062200;1.707644
90;248;0.063500;1.733382
91;496;0.067500;1.759179
92;187;0.066000;1.784936
93;479;0.065500;1.811199
94;224;0.066400;1.837177
95;315;0.067900;1.863267
96;463;0.065000;1.889400
97;289;0.068800;1.915588
98;1;0.072700;1.941786
99;93;0.071200;1.968049
100;415;0.072200;1.994363
101;297;0.074700;2.020779
102;76;0.072400;2.047316
103;34;0.077500;2.073889
104;336;0.079800;2.100547
105;18;0.080000;2.127311
106;430;0.081200;2.154178
107;374;0.082700;2.181466
108;112;0.084700;2.208581
109;139;0.087200;2.235761
110;481;0.087600;2.262995
111;308;0.092300;2.290406
112;5;0.095200;2.317905
113;47;0.092600;2.345562
114;290;0.091100;2.373623
115;146;0.092800;2.401334
116;339;0.095200;2.429107
117;9;0.096400;2.456926
118;64;0.098100;2.484764
119;403;0.102400;2.512720
120;206;0.100900;2.540690
121;209;0.099200;2.568695
122;299;0.099500;2.596771
123;366;0.103800;2.624979
124;179;0.105000;2.653278
125;280;0.101500;2.681632
126;10;0.103600;2.710013
127;199;0.104800;2.738480
128;169;0.103700;2.767072
129;162;0.105500;2.796253
130;480;0.107900;2.825155
131;131;0.108000;2.853881
132;218;0.107600;2.882648
133;411;0.111700;2.911480
134;329;0.108000;2.940375
135;451;0.111100;2.969355
136;53;0.113500;2.998376
137;13;0.111900;3.027410
138;491;0.112600;3.056500
139;489;0.112900;3.085650
140;21;0.117200;3.114850
141;442;0.116200;3.144035
142;235;0.122900;3.173301
143;116;0.125800;3.202605
144;379;0.127200;3.232025
145;486;0.128100;3.261512
146;82;0.132700;3.291106
147;59;0.131200;3.321124
148;166;0.137400;3.350908
149;444;0.131300;3.380801
150;232;0.142000;3.410823
151;361;0.137400;3.441027
152;240;0.140900;3.471397
153;42;0.141000;3.501690
154;157;0.146100;3.532049
155;72;0.145000;3.562577
156;251;0.151200;3.593230
157;353;0.155600;3.624009
158;494;0.155600;3.654811
159;345;0.153100;3.685669
160;45;0.158100;3.716582
161;87;0.149100;3.747583
162;155;0.158900;3.778671
163;175;0.163300;3.809819
164;355;0.160600;3.840998
165;141;0.160900;3.872231
166;52;0.162600;3.903485
167;352;0.165500;3.934844
168;32;0.168200;3.966628
169;487;0.169300;3.998240
170;37;0.168600;4.029808
171;153;0.172900;4.061465
172;318;0.179600;4.093194
173;19;0.178600;4.124988
174;66;0.180400;4.156838
175;397;0.184200;4.188758
176;328;0.197200;4.220746
177;106;0.190800;4.253189
178;421;0.193800;4.285257
179;266;0.204200;4.317363
180;271;0.201500;4.349514
181;50;0.201600;4.381866
182;56;0.203200;4.414180
183;323;0.205800;4.446542
184;51;0.212600;4.478982
185;457;0.210600;4.511484
186;190;0.219800;4.544090
187;310;0.223900;4.576784
188;313;0.226200;4.609572
189;96;0.225600;4.642434
190;326;0.228400;4.675376
191;62;0.234400;4.708442
192;14;0.238600;4.741994
193;413;0.237800;4.775223
194;452;0.245700;4.808518
195;111;0.249700;4.841859
196;380;0.249900;4.875640
197;387;0.247100;4.909261
198;470;0.251200;4.942765
199;188;0.258800;4.976319
200;278;0.260900;5.009991
201;424;0.259300;5.044118
202;78;0.262500;5.077860
203;302;0.264000;5.111619
204;68;0.265200;5.145426
205;31;0.271300;5.179286
206;130;0.272200;5.213179
207;222;0.271900;5.247080
208;214;0.277100;5.281028
209;238;0.277900;5.315016
210;276;0.277000;5.349108
211;393;0.285000;5.383244
212;217;0.291200;5.417374
213;105;0.285800;5.451523
214;128;0.290200;5.485792
215;449;0.293600;5.520584
216;79;0.298600;5.554865
217;26;0.302500;5.589180
218;113;0.312500;5.623569
219;364;0.322000;5.658175
220;369;0.326500;5.692672
221;230;0.328200;5.727224
222;43;0.329500;5.761854
223;132;0.332400;5.796538
224;250;0.336900;5.831266
225;140;0.340700;5.866061
226;294;0.343400;5.900921
227;125;0.353600;5.935831
228;381;0.358700;5.971227
229;205;0.370500;6.006254
230;122;0.374400;6.041382
231;247;0.381200;6.076515
232;356;0.375900;6.111694
233;330;0.379100;6.146940
234;173;0.392100;6.182204
235;49;0.404000;6.217527
236;29;0.407800;6.252899
237;285;0.407300;6.288329
238;274;0.416900;6.324296
239;298;0.416800;6.360175
240;23;0.428900;6.395749
241;191;0.429200;6.431383
242;337;0.434600;6.467172
243;287;0.443100;6.502882
244;283;0.442200;6.538635
245;456;0.447900;6.574382
246;365;0.445000;6.610195
247;219;0.448000;6.646021
248;395;0.455500;6.681842
249;437;0.451800;6.717691
250;261;0.454000;6.753576
251;348;0.460000;6.789475
252;65;0.461900;6.825381
253;338;0.466100;6.861322
254;118;0.466800;6.897264
255;434;0.475100;6.933622
256;124;0.477200;6.970007
257;325;0.477900;7.006150
258;189;0.475700;7.042176
259;260;0.475000;7.078238
260;417;0.474700;7.114333
261;410;0.476700;7.150398
262;70;0.478200;7.186509
263;270;0.471500;7.222618
264;419;0.476100;7.258733
265;69;0.479100;7.294868
266;343;0.477600;7.331018
267;307;0.476400;7.367179
268;11;0.479900;7.403336
269;402;0.477300;7.439569
270;262;0.478500;7.475743
271;12;0.477500;7.511938
272;109;0.483500;7.548144
273;354;0.476800;7.584366
274;192;0.480000;7.620599
275;368;0.481300;7.656995
276;81;0.480000;7.693273
277;227;0.484800;7.729603
278;170;0.481800;7.765899
279;100;0.484000;7.802187
280;195;0.479900;7.838481
281;459;0.482400;7.874801
282;441;0.481600;7.911135
283;394;0.481700;7.947496
284;63;0.486900;7.983954
285;127;0.483500;8.020455
286;171;0.491700;8.056953
287;344;0.485800;8.093413
288;404;0.489400;8.129887
289;446;0.485600;8.166739
290;450;0.486000;8.203209
291;91;0.489400;8.239675
292;435;0.489200;8.276185
293;322;0.494600;8.312689
294;120;0.496200;8.349208
295;370;0.490100;8.386129
296;401;0.495100;8.422700
297;396;0.492100;8.459264
298;367;0.494000;8.495843
299;94;0.494500;8.532603
300;436;0.497100;8.569609
301;478;0.499000;8.606204
302;472;0.499900;8.642826
303;158;0.497800;8.679445
304;490;0.500000;8.716083
305;208;0.497000;8.752754
306;193;0.498200;8.789441
307;184;0.507900;8.826158
308;469;0.500900;8.862872
309;498;0.505500;8.899604
310;477;0.502600;8.936323
311;186;0.503000;8.973100
312;67;0.505900;9.010282
313;180;0.508800;9.047086
314;493;0.502400;9.083858
315;376;0.504300;9.120652
316;392;0.504500;9.157519
317;156;0.507000;9.194805
318;346;0.507900;9.231838
319;197;0.501300;9.268672
320;432;0.514100;9.305523
321;458;0.508300;9.342386
322;362;0.505200;9.379274
323;439;0.516200;9.416156
324;420;0.508300;9.453062
325;220;0.517900;9.490220
326;284;0.514800;9.527385
327;448;0.517500;9.564331
328;165;0.518200;9.601284
329;7;0.520300;9.638269
330;234;0.518200;9.675278
331;88;0.522900;9.712303
332;334;0.524700;9.749354
333;134;0.518200;9.786515
334;55;0.525000;9.823679
335;38;0.527700;9.860787
336;314;0.527700;9.897910
337;212;0.528900;9.935039
338;40;0.529800;9.972195
339;44;0.537900;10.009361
340;108;0.536700;10.046696
341;102;0.549400;10.084071
342;167;0.538900;10.121597
343;378;0.539200;10.158852
344;151;0.544000;10.196201
345;177;0.543100;10.233505
346;33;0.550700;10.270830
347;89;0.549200;10.308193
348;495;0.549900;10.345561
349;39;0.550700;10.382940
350;291;0.558400;10.420342
351;428;0.554200;10.457762
352;154;0.553800;10.495203
353;333;0.559200;10.532663
