k;seed;inf;tim
0;263;0.007400;0.000030
1;11;0.013300;0.029912
2;253;0.018100;0.059412
3;235;0.038300;0.088992
4;487;0.045000;0.118628
5;9;0.062800;0.148400
6;236;0.071500;0.178266
7;234;0.083600;0.208170
8;245;0.094000;0.238226
9;495;0.094700;0.268408
10;488;0.105100;0.298743
11;473;0.107800;0.329251
12;208;0.113800;0.359802
13;451;0.118800;0.390514
14;246;0.120900;0.421350
15;187;0.128500;0.452348
16;378;0.135900;0.483494
17;140;0.141400;0.514864
18;458;0.152700;0.546159
19;438;0.144200;0.577564
20;427;0.157200;0.609055
21;491;0.166200;0.640718
22;400;0.159200;0.672597
23;399;0.175300;0.704560
24;250;0.175600;0.736631
25;164;0.182800;0.768842
26;390;0.186500;0.801137
27;354;0.188800;0.833548
28;434;0.190500;0.866184
29;171;0.197500;0.898828
30;228;0.193200;0.931569
31;478;0.204300;0.964415
32;432;0.194800;0.997325
33;175;0.203800;1.030329
34;382;0.209900;1.063345
35;4;0.213000;1.096428
36;449;0.217300;1.129622
37;173;0.223500;1.162973
38;416;0.229900;1.197061
39;259;0.231000;1.230622
40;233;0.239000;1.264139
41;107;0.242400;1.297699
42;188;0.246300;1.331276
43;405;0.258600;1.364998
44;429;0.259400;1.398753
45;499;0.261100;1.432608
46;8;0.255300;1.466473
47;376;0.273600;1.500497
48;251;0.276200;1.534549
49;465;0.275900;1.568683
50;414;0.276400;1.602929
51;229;0.285200;1.637269
52;398;0.282000;1.671634
53;408;0.293200;1.706125
54;374;0.293900;1.740641
55;69;0.287500;1.775226
56;219;0.298800;1.809921
57;210;0.304100;1.844644
58;255;0.304500;1.879466
59;237;0.311600;1.914358
60;428;0.310600;1.949364
61;104;0.313400;1.984403
62;176;0.316100;2.019439
63;415;0.318800;2.054556
64;254;0.319100;2.089665
65;480;0.329000;2.124870
66;298;0.326300;2.160133
67;119;0.333200;2.195479
68;262;0.329200;2.230865
69;430;0.340200;2.266285
70;477;0.349400;2.301805
71;407;0.344300;2.337400
72;343;0.348400;2.373177
73;232;0.352800;2.409128
74;489;0.356300;2.445008
75;402;0.359800;2.480914
76;325;0.358100;2.516836
77;244;0.359400;2.552877
78;180;0.364300;2.589026
79;166;0.367000;2.625254
80;172;0.373000;2.661569
81;120;0.377900;2.697901
82;352;0.384800;2.734314
83;426;0.384400;2.770847
84;207;0.389100;2.807476
85;381;0.394400;2.844121
86;111;0.401300;2.880758
87;485;0.402100;2.917510
88;295;0.407300;2.954346
89;463;0.415300;2.991241
90;315;0.417100;3.028244
91;221;0.420500;3.065239
92;77;0.429100;3.102260
93;411;0.431900;3.139329
94;347;0.428000;3.177031
95;364;0.434000;3.214670
96;75;0.439000;3.252013
97;420;0.439100;3.289413
98;431;0.445400;3.326777
99;197;0.449700;3.364239
100;474;0.455300;3.401771
101;308;0.452600;3.439290
102;123;0.460600;3.476960
103;475;0.464800;3.514701
104;159;0.468700;3.552491
105;110;0.470300;3.590454
106;137;0.468900;3.628359
107;409;0.469300;3.666360
108;383;0.472300;3.704413
109;363;0.477400;3.742500
110;448;0.480900;3.780654
111;101;0.481000;3.818845
112;496;0.485200;3.857075
113;327;0.485500;3.895359
114;361;0.487300;3.933661
