k;seed;inf;tim
0;12;0.054300;0.000151
1;470;0.061900;0.037040
2;208;0.084200;0.073868
3;469;0.088100;0.110931
4;280;0.095900;0.148640
5;7;0.099600;0.186917
6;32;0.119100;0.225584
7;450;0.118800;0.264584
8;137;0.128300;0.303657
9;249;0.129800;0.342898
10;58;0.128500;0.382089
11;225;0.134900;0.421428
12;116;0.142000;0.460901
13;192;0.142200;0.500512
14;124;0.149700;0.540285
15;79;0.151400;0.580242
16;86;0.153500;0.620356
17;92;0.156600;0.660629
18;236;0.160000;0.701088
19;319;0.167000;0.741685
20;377;0.173100;0.782515
21;5;0.178500;0.823391
22;293;0.180200;0.864413
23;56;0.187100;0.905573
24;51;0.185400;0.946812
25;322;0.188800;0.988197
26;215;0.197300;1.029733
27;42;0.201500;1.071686
28;255;0.202500;1.113365
29;97;0.205500;1.155072
30;2;0.204900;1.196818
31;127;0.214600;1.238654
32;140;0.215700;1.280479
33;142;0.210700;1.322361
34;10;0.213300;1.364342
35;63;0.217100;1.406461
36;387;0.215600;1.448547
37;231;0.219700;1.490769
38;161;0.218200;1.532919
39;104;0.212400;1.575179
40;156;0.226100;1.617482
41;492;0.218300;1.659819
42;148;0.224700;1.702333
43;185;0.234600;1.744834
44;239;0.237000;1.787485
45;4;0.245100;1.830142
46;117;0.246300;1.872985
47;472;0.258900;1.915911
48;349;0.258300;1.959031
49;194;0.265900;2.002244
50;240;0.267800;2.045572
51;324;0.271100;2.088998
52;141;0.281300;2.132536
53;253;0.278200;2.176242
54;440;0.285800;2.219983
55;78;0.284000;2.263884
56;369;0.283000;2.307840
57;111;0.290400;2.351978
58;465;0.291900;2.396093
59;288;0.292100;2.440317
60;70;0.294000;2.484579
61;269;0.301100;2.529001
62;254;0.305200;2.573717
63;270;0.302100;2.618105
64;352;0.310300;2.662556
65;180;0.309900;2.707067
66;190;0.311400;2.751595
67;120;0.312300;2.796179
68;343;0.313700;2.840779
69;222;0.312800;2.885443
70;197;0.313800;2.930139
71;493;0.312700;2.974868
72;443;0.312700;3.019632
73;131;0.318800;3.064464
74;3;0.316800;3.109317
75;323;0.315000;3.154213
76;246;0.319000;3.199155
77;359;0.319800;3.244237
78;477;0.316200;3.289313
79;216;0.323500;3.334430
80;146;0.319400;3.379573
81;498;0.323600;3.424777
82;460;0.317000;3.470061
83;212;0.325500;3.515549
84;184;0.324100;3.561133
85;203;0.329200;3.606532
86;229;0.322900;3.651974
87;107;0.329100;3.697477
88;163;0.333800;3.743047
89;278;0.336500;3.788648
90;174;0.338700;3.834284
91;485;0.344200;3.879946
92;342;0.350000;3.925719
93;108;0.352100;3.971863
94;325;0.361900;4.018182
95;125;0.360300;4.064231
96;393;0.358900;4.110362
97;309;0.368100;4.156593
98;430;0.367000;4.203016
99;451;0.367500;4.249605
100;267;0.367200;4.296277
101;337;0.376400;4.343028
102;165;0.374300;4.389853
103;75;0.383900;4.436749
104;66;0.384900;4.483676
105;353;0.386100;4.530105
106;479;0.386300;4.575634
107;256;0.386600;4.621189
108;335;0.390800;4.666806
109;386;0.399000;4.712505
110;46;0.391100;4.758246
111;275;0.400200;4.803988
112;214;0.399700;4.849816
113;21;0.404800;4.895632
114;118;0.406200;4.941506
115;15;0.407600;4.987395
116;379;0.408000;5.033659
117;424;0.411800;5.079620
118;257;0.407600;5.125611
119;364;0.412800;5.171628
120;411;0.414700;5.217717
121;99;0.411200;5.263786
122;64;0.417900;5.309878
123;252;0.418000;5.356025
124;429;0.416900;5.402151
125;172;0.422300;5.448293
126;31;0.414300;5.494588
127;414;0.420200;5.540811
128;9;0.429400;5.587069
129;480;0.422900;5.633362
130;55;0.428600;5.679687
131;301;0.435100;5.726072
132;484;0.437200;5.772583
133;463;0.441400;5.819150
134;91;0.450100;5.865769
135;33;0.449500;5.912463
136;409;0.451500;5.959295
137;285;0.456600;6.006055
138;336;0.462000;6.052892
139;373;0.458800;6.099773
140;94;0.466800;6.146653
141;130;0.465600;6.193591
142;224;0.469400;6.240584
143;39;0.467800;6.287596
144;106;0.467800;6.334599
145;400;0.471000;6.381796
146;23;0.477000;6.429175
147;81;0.475100;6.476267
148;181;0.475800;6.523359
149;368;0.480300;6.570538
150;105;0.478400;6.617712
151;18;0.473200;6.664925
152;43;0.480400;6.712136
153;296;0.482500;6.759374
154;261;0.483300;6.806691
155;218;0.477500;6.853995
156;219;0.493500;6.901340
157;89;0.492800;6.948717
158;439;0.495400;6.996107
159;67;0.504100;7.043520
160;471;0.503400;7.091026
