k;seed;inf;tim
0;12;0.059200;0.000031
1;477;0.080600;0.092304
2;195;0.090300;0.182896
3;469;0.091900;0.274344
4;137;0.097700;0.366058
5;164;0.118600;0.458009
6;450;0.120900;0.550558
7;9;0.126100;0.643529
8;255;0.127400;0.737359
9;156;0.131600;0.831225
10;64;0.137000;0.925844
11;323;0.140500;1.020719
12;231;0.140100;1.115981
13;214;0.141300;1.211410
14;352;0.152100;1.307358
15;192;0.152100;1.404113
16;172;0.156700;1.500977
17;216;0.162500;1.597991
18;237;0.169100;1.695790
19;196;0.175500;1.793656
20;10;0.182700;1.892910
21;215;0.180600;1.991665
22;359;0.180500;2.090375
23;473;0.184800;2.189639
24;140;0.193500;2.289059
25;460;0.195300;2.389070
26;4;0.197100;2.489244
27;161;0.205100;2.589550
28;163;0.206800;2.690006
29;142;0.207600;2.790647
30;392;0.218100;2.891695
31;254;0.216200;2.993129
32;148;0.221400;3.094578
33;146;0.224300;3.196386
34;185;0.227700;3.298655
35;246;0.230600;3.401148
36;75;0.237300;3.504262
37;493;0.240800;3.607780
38;198;0.244600;3.711872
39;328;0.243100;3.816099
40;443;0.248100;3.920470
41;190;0.259000;4.025588
42;252;0.263200;4.130559
43;455;0.265400;4.235725
44;437;0.269600;4.341739
45;120;0.272900;4.447522
46;235;0.273900;4.553691
47;222;0.272900;4.659724
48;499;0.281900;4.766103
49;184;0.280900;4.872592
50;212;0.278900;4.979796
51;368;0.281400;5.087081
52;427;0.289700;5.194317
53;174;0.291200;5.301784
54;467;0.296100;5.409310
55;130;0.304300;5.517131
56;453;0.307200;5.625080
57;197;0.311400;5.733372
58;3;0.312800;5.841766
59;145;0.320500;5.950569
60;329;0.322600;6.059848
61;491;0.331100;6.169987
62;134;0.334300;6.279691
63;325;0.341200;6.389520
64;203;0.346500;6.499589
65;393;0.349800;6.610196
66;108;0.352300;6.721095
67;364;0.360200;6.831981
68;251;0.360000;6.943127
69;411;0.360400;7.054428
70;382;0.373900;7.166371
71;257;0.366300;7.278858
72;414;0.374200;7.391169
73;100;0.374900;7.503848
74;480;0.381800;7.616461
75;457;0.387100;7.729532
76;424;0.383400;7.842680
77;183;0.387400;7.956100
78;478;0.384500;8.069750
79;105;0.399300;8.183778
80;200;0.393900;8.298949
81;458;0.396400;8.413009
82;126;0.400500;8.527165
83;345;0.403300;8.641534
84;429;0.405200;8.756447
85;488;0.408400;8.871507
86;459;0.413100;8.986690
87;357;0.411300;9.102323
88;388;0.422700;9.218225
89;99;0.424600;9.334474
90;462;0.431800;9.450606
91;351;0.437600;9.566992
92;227;0.437300;9.683536
93;233;0.434600;9.800859
94;43;0.440000;9.917869
95;286;0.436200;10.035043
96;431;0.441900;10.152323
97;150;0.445100;10.269878
98;193;0.445400;10.388541
99;33;0.449300;10.506544
100;81;0.451400;10.624716
101;310;0.458100;10.742800
102;245;0.459300;10.861008
103;135;0.458700;10.979759
104;243;0.458500;11.098326
105;262;0.470100;11.217030
106;348;0.469100;11.336222
107;139;0.481300;11.455463
108;395;0.483800;11.574653
109;128;0.478200;11.694029
110;89;0.484800;11.813312
111;335;0.487800;11.932793
112;336;0.497500;12.052435
113;167;0.488300;12.172217
114;149;0.497700;12.292112
115;77;0.499100;12.412344
116;230;0.508500;12.532929
117;209;0.502200;12.653405
118;474;0.511700;12.773947
119;213;0.517500;12.894813
120;389;0.517800;13.015652
121;52;0.524000;13.136954
122;294;0.521300;13.257802
123;408;0.521000;13.379143
124;173;0.526900;13.501421
125;452;0.526400;13.623367
126;221;0.529400;13.745168
127;376;0.531600;13.867117
128;8;0.532900;13.989224
129;160;0.537000;14.111526
130;418;0.536400;14.233953
131;386;0.532600;14.356444
132;87;0.540700;14.479227
133;85;0.536300;14.602447
134;155;0.541800;14.725461
135;416;0.548700;14.848559
136;115;0.548300;14.971677
137;441;0.553600;15.095087
138;242;0.552500;15.218831
139;425;0.562700;15.342573
140;422;0.565900;15.466174
141;45;0.563200;15.590147
142;71;0.561600;15.714399
143;321;0.571400;15.838370
144;143;0.576100;15.962978
145;476;0.581800;16.087271
146;170;0.580700;16.211737
147;7;0.584900;16.336267
148;132;0.584700;16.460912
149;166;0.581900;16.585627
150;171;0.591700;16.711280
151;340;0.597600;16.836268
152;205;0.600300;16.961273
153;247;0.612100;17.086396
154;113;0.615900;17.211718
155;333;0.614600;17.336930
156;58;0.626300;17.462464
157;159;0.633600;17.587893
158;370;0.633700;17.713475
159;182;0.635500;17.839197
160;428;0.636600;17.964655
161;456;0.638400;18.090202
162;96;0.640200;18.215808
163;165;0.640300;18.341259
164;377;0.647500;18.466928
165;317;0.647200;18.592528
166;337;0.645600;18.718312
167;391;0.643400;18.844628
168;394;0.650900;18.970552
169;362;0.654900;19.096789
170;234;0.654600;19.222943
171;187;0.656900;19.349166
172;178;0.663400;19.475761
173;68;0.654900;19.602500
174;169;0.658100;19.728897
175;79;0.665200;19.855473
176;397;0.667100;19.982231
177;92;0.671900;20.108737
178;86;0.673900;20.235205
179;475;0.673900;20.361971
180;496;0.674500;20.488683
181;419;0.682900;20.615603
182;47;0.683700;20.743007
183;133;0.694600;20.870376
