k;seed;inf;tim
0;499;0.000000;0.002429
1;487;0.000000;0.004835
2;297;0.000000;0.007588
3;478;0.000000;0.010694
4;469;0.000000;0.013941
5;279;0.000000;0.017376
6;240;0.000000;0.021221
7;467;0.000000;0.025492
8;462;0.000000;0.030143
9;55;0.000000;0.035145
10;493;0.000000;0.040566
11;453;0.000000;0.046244
12;444;0.000000;0.052369
13;437;0.000000;0.058778
14;473;0.000000;0.065580
15;379;0.000000;0.072630
16;449;0.000000;0.080137
17;392;0.000000;0.087854
18;443;0.000000;0.095798
19;439;0.000000;0.103928
20;237;0.000000;0.112340
21;441;0.000000;0.121031
22;457;0.000000;0.130000
23;422;0.000000;0.139348
24;235;0.000000;0.148978
25;348;0.000000;0.158794
26;222;0.000000;0.168800
27;233;0.000000;0.178982
28;216;0.000000;0.189469
29;124;0.000000;0.200075
30;425;0.000000;0.210848
31;227;0.000000;0.221879
32;213;0.000000;0.233160
33;218;0.000000;0.244658
34;7;0.000000;0.256369
35;203;0.000000;0.268325
36;214;0.000000;0.280442
37;192;0.000000;0.292716
38;212;0.000000;0.305248
39;209;0.000000;0.318043
40;184;0.000000;0.331056
41;193;0.000000;0.344157
42;139;0.000100;0.357414
43;199;0.000000;0.370901
44;165;0.000200;0.384693
45;137;0.000100;0.398759
46;431;0.000300;0.413034
47;190;0.000400;0.427554
48;338;0.000500;0.442545
49;125;0.000500;0.457784
50;91;0.000300;0.473341
51;63;0.000600;0.489334
52;230;0.001200;0.505816
53;156;0.001100;0.522510
54;146;0.001500;0.539714
55;267;0.001500;0.557598
56;476;0.001900;0.575696
57;405;0.002400;0.594435
58;10;0.002300;0.613518
59;2;0.003000;0.633206
60;183;0.003300;0.653569
61;142;0.003600;0.674508
62;278;0.004100;0.695810
63;374;0.004700;0.717854
64;131;0.004200;0.740353
65;245;0.004700;0.763364
66;388;0.004500;0.786911
67;132;0.004600;0.811070
68;194;0.005200;0.835777
69;40;0.006400;0.861109
70;252;0.006100;0.886734
71;474;0.005100;0.912757
72;12;0.006800;0.939157
73;377;0.006600;0.966293
74;353;0.006700;0.994013
75;381;0.007200;1.022207
76;129;0.007600;1.050722
77;485;0.008600;1.079618
78;76;0.008500;1.109214
79;328;0.009000;1.139277
80;361;0.010800;1.169804
81;58;0.011000;1.200694
82;438;0.011800;1.232237
83;280;0.012600;1.264321
84;359;0.013500;1.296715
85;127;0.014600;1.329549
86;411;0.014900;1.362968
87;150;0.015400;1.396623
88;310;0.017800;1.430779
89;455;0.017700;1.465569
90;35;0.019000;1.500855
91;113;0.021200;1.536517
92;114;0.021200;1.572656
93;196;0.021700;1.609034
94;108;0.020800;1.645966
95;335;0.024200;1.683403
96;56;0.022600;1.721211
97;112;0.025900;1.759401
98;67;0.026400;1.797974
99;32;0.029100;1.836958
100;430;0.026900;1.876300
101;327;0.027700;1.915973
102;229;0.030600;1.955952
103;375;0.030400;1.996132
104;294;0.030900;2.036455
105;483;0.034000;2.077052
106;497;0.035100;2.117988
107;254;0.034600;2.159327
108;5;0.036900;2.200908
109;84;0.035900;2.242816
110;77;0.039300;2.285378
111;324;0.040500;2.328568
112;343;0.042100;2.372201
113;484;0.044000;2.416244
114;198;0.046300;2.460681
115;105;0.045600;2.505435
116;20;0.048700;2.550722
117;48;0.050600;2.596505
118;244;0.049900;2.642754
119;231;0.050300;2.689403
120;445;0.053600;2.736629
121;53;0.053400;2.784455
122;450;0.054500;2.832532
123;286;0.058200;2.881005
124;395;0.057800;2.929888
125;356;0.059200;2.978995
126;9;0.059700;3.028412
127;486;0.062500;3.078176
128;181;0.063300;3.128253
129;51;0.064400;3.178535
130;68;0.065900;3.229174
131;133;0.065700;3.280304
132;246;0.066000;3.331793
133;459;0.070200;3.383623
134;421;0.066300;3.435499
135;243;0.067700;3.487480
136;167;0.070200;3.539748
137;357;0.071500;3.592391
138;323;0.071400;3.645199
139;418;0.074400;3.698183
140;175;0.074000;3.751675
141;172;0.076700;3.805508
142;256;0.077600;3.859528
143;288;0.078900;3.913763
144;27;0.080600;3.968512
145;423;0.081600;4.023622
146;436;0.082100;4.079098
147;277;0.084700;4.135166
148;75;0.084200;4.191288
149;387;0.087400;4.247754
150;18;0.089500;4.304416
151;376;0.091200;4.361403
152;26;0.089900;4.418712
153;475;0.091900;4.476485
154;393;0.092300;4.534555
155;95;0.096200;4.593006
156;337;0.097800;4.651837
157;47;0.099400;4.710986
158;248;0.100000;4.770428
159;292;0.099700;4.830194
160;333;0.101400;4.890346
161;380;0.103400;4.950767
162;111;0.103400;5.011425
163;433;0.104600;5.072412
164;251;0.105600;5.133802
165;179;0.104000;5.195480
166;414;0.105100;5.257315
167;153;0.110100;5.319221
168;115;0.109300;5.381429
169;491;0.111000;5.443986
170;490;0.112300;5.506788
171;225;0.116000;5.570037
172;197;0.114200;5.633493
173;272;0.117000;5.697131
174;347;0.115400;5.761099
175;201;0.120800;5.825368
176;408;0.122200;5.889914
177;424;0.125100;5.954938
178;432;0.127000;6.020290
179;397;0.127500;6.085544
180;4;0.129000;6.151042
181;134;0.131800;6.216727
182;135;0.130500;6.282661
183;21;0.135100;6.349277
184;370;0.133500;6.415957
185;331;0.135500;6.482721
186;470;0.136800;6.549758
187;386;0.136900;6.616938
188;69;0.136700;6.684413
189;66;0.140000;6.752072
190;481;0.140200;6.820096
191;174;0.142600;6.888540
192;351;0.139700;6.957201
193;385;0.147200;7.026111
194;87;0.145200;7.095334
195;152;0.146600;7.164744
196;102;0.153800;7.234457
197;340;0.151500;7.304458
198;43;0.152800;7.374747
199;200;0.157400;7.445357
200;176;0.158900;7.516073
201;15;0.159400;7.587040
202;148;0.163500;7.658501
203;49;0.160900;7.730203
204;275;0.161200;7.801988
205;446;0.167300;7.874113
206;186;0.168000;7.946492
207;398;0.170400;8.019084
208;130;0.169000;8.091988
209;312;0.168800;8.165511
210;296;0.173200;8.239214
211;94;0.175500;8.312951
212;205;0.174500;8.386916
213;141;0.177700;8.463348
214;50;0.181800;8.541677
215;270;0.181800;8.620585
216;11;0.181000;8.699306
217;195;0.185600;8.778407
218;367;0.182600;8.857744
219;396;0.187700;8.937296
220;157;0.190400;9.017148
221;403;0.193200;9.097398
222;80;0.196500;9.177772
223;319;0.198900;9.258345
224;293;0.202500;9.339125
225;464;0.202800;9.420086
226;217;0.209500;9.501376
227;39;0.208800;9.582935
228;480;0.212200;9.664738
229;259;0.213500;9.746827
230;419;0.215200;9.829030
231;119;0.218700;9.911449
232;128;0.218200;9.994124
233;389;0.223200;10.076893
234;36;0.221100;10.159927
235;263;0.223800;10.243390
236;249;0.227600;10.326865
237;341;0.230800;10.410750
238;415;0.230300;10.494960
239;247;0.233000;10.579160
240;1;0.232700;10.663730
241;451;0.238100;10.748324
242;416;0.236600;10.833273
243;207;0.240100;10.918539
244;64;0.241300;11.003893
245;260;0.243700;11.089241
246;435;0.247000;11.174840
247;262;0.242500;11.260585
248;122;0.248200;11.346500
249;364;0.247600;11.432499
250;429;0.247600;11.518795
251;136;0.251500;11.605345
252;298;0.247900;11.692103
253;182;0.249600;11.778951
254;234;0.258800;11.865897
255;34;0.257800;11.953084
256;171;0.257700;12.040593
257;187;0.258900;12.128133
258;19;0.259100;12.215580
259;109;0.258600;12.303437
260;334;0.262100;12.391434
261;226;0.266900;12.479911
262;61;0.264000;12.568326
263;168;0.271300;12.656920
264;86;0.268800;12.745975
265;363;0.267300;12.834806
266;456;0.269700;12.923904
267;3;0.273800;13.013111
268;70;0.270900;13.102349
269;255;0.273300;13.191635
270;496;0.277000;13.281697
271;427;0.277500;13.371462
272;83;0.272700;13.461384
273;185;0.276200;13.551233
274;97;0.280600;13.641228
275;120;0.282200;13.731300
276;304;0.287800;13.821460
277;163;0.285700;13.911622
278;460;0.289500;14.002060
279;159;0.285400;14.092499
280;143;0.291100;14.183030
281;326;0.290400;14.274012
282;52;0.297400;14.365391
283;440;0.294100;14.456765
284;322;0.299100;14.548024
285;140;0.293800;14.639327
286;144;0.301100;14.731240
287;465;0.297900;14.822915
288;71;0.300100;14.914695
289;73;0.308300;15.006978
290;236;0.307000;15.099147
291;92;0.303700;15.191478
292;215;0.304800;15.284088
293;407;0.314600;15.376822
294;173;0.313100;15.469759
295;306;0.314600;15.562938
296;206;0.318100;15.656563
297;126;0.320800;15.749892
298;151;0.327200;15.843405
299;458;0.327500;15.936984
300;98;0.323700;16.030728
301;371;0.328300;16.124636
302;90;0.329900;16.218729
303;479;0.332000;16.312927
304;258;0.330400;16.407290
305;454;0.330000;16.501867
306;285;0.339700;16.596534
307;471;0.340300;16.691460
308;54;0.339000;16.787095
309;354;0.342500;16.882288
310;74;0.345600;16.977775
311;495;0.346300;17.073416
312;166;0.348100;17.169014
