k;seed;inf;tim
0;25;0.031000;8.479764
1;406;0.038000;22.901015
2;491;0.039000;37.577205
3;249;0.061000;52.274635
4;19;0.083000;66.965391
5;2;0.084000;81.707195
6;0;0.084000;96.508989
7;5;0.084000;111.339592
8;1;0.084000;126.157700
9;15;0.081000;140.979590
10;3;0.079000;155.834572
11;208;0.084000;170.704197
12;263;0.088000;185.591051
13;116;0.088000;200.617396
14;7;0.093000;215.654833
15;27;0.094000;230.686766
16;53;0.088000;245.811411
17;493;0.079000;260.935886
18;55;0.103000;276.039444
19;102;0.100000;291.156686
20;21;0.105000;306.254519
21;13;0.097000;321.332721
22;170;0.100000;336.459664
23;17;0.095000;351.524494
24;4;0.097000;366.567898
25;40;0.098000;381.631748
26;6;0.100000;396.693330
27;166;0.098000;411.717336
28;200;0.098000;426.763042
29;14;0.100000;441.842933
30;49;0.111000;456.850514
31;8;0.097000;471.868516
32;36;0.101000;486.871830
33;24;0.099000;501.848769
34;50;0.102000;516.841860
35;16;0.099000;531.872310
36;499;0.102000;546.876231
37;277;0.108000;561.853672
38;483;0.127000;576.838709
39;9;0.132000;591.926752
40;22;0.135000;606.946412
41;37;0.137000;621.897418
42;10;0.139000;636.836015
43;162;0.136000;651.726065
44;11;0.134000;666.591067
45;12;0.134000;681.428348
46;57;0.133000;696.230466
47;23;0.137000;711.022970
48;20;0.134000;725.790134
49;56;0.137000;740.528636
50;43;0.139000;755.235496
51;64;0.134000;769.927044
52;74;0.134000;784.677747
53;72;0.141000;799.401184
54;29;0.137000;814.117550
55;41;0.133000;828.874553
56;26;0.137000;843.636497
57;18;0.133000;858.336635
58;28;0.136000;873.022522
59;225;0.137000;887.684037
60;71;0.141000;902.333615
61;79;0.135000;916.945372
62;52;0.142000;931.696282
63;218;0.137000;946.390981
64;314;0.134000;961.073935
65;32;0.137000;975.751271
66;392;0.135000;990.419188
67;31;0.143000;1005.053971
68;42;0.138000;1019.676735
69;234;0.137000;1034.310002
70;35;0.136000;1048.987707
71;30;0.138000;1063.654137
72;111;0.134000;1078.289929
73;60;0.136000;1092.896490
74;34;0.139000;1107.486141
75;422;0.134000;1122.052628
76;46;0.140000;1136.627293
77;173;0.138000;1151.140236
78;38;0.142000;1165.620988
79;106;0.146000;1180.090433
80;81;0.142000;1194.548088
