k;seed;inf;tim
0;12;0.023600;0.033244
1;489;0.029700;0.121199
2;245;0.062600;0.210009
3;499;0.072500;0.299270
4;173;0.083100;0.388558
5;455;0.097500;0.477985
6;252;0.111300;0.567846
7;225;0.122200;0.658039
8;258;0.130000;0.749135
9;475;0.136600;0.841231
10;462;0.144100;0.933360
11;7;0.145200;1.025830
12;482;0.155000;1.118814
13;0;0.158700;1.212155
14;76;0.166800;1.306158
15;261;0.169300;1.400699
16;494;0.173400;1.495864
17;78;0.180900;1.591609
18;443;0.184900;1.688022
19;386;0.181500;1.784683
20;320;0.187500;1.881868
21;148;0.193000;1.979306
22;460;0.196000;2.077244
23;248;0.203400;2.175299
24;447;0.202700;2.273932
25;212;0.208500;2.373534
26;228;0.209300;2.472666
27;262;0.211900;2.572072
28;249;0.218000;2.671692
29;94;0.219900;2.771510
30;391;0.222700;2.872446
31;42;0.231900;2.972796
32;361;0.232500;3.073346
33;312;0.238500;3.174061
34;8;0.250700;3.274981
35;483;0.255700;3.376239
36;90;0.257300;3.478017
37;159;0.257800;3.580030
38;259;0.262600;3.682198
39;227;0.266800;3.784608
40;255;0.272600;3.887385
41;182;0.273600;3.990707
42;88;0.281200;4.093752
43;164;0.286800;4.197047
44;472;0.296900;4.300534
45;289;0.297700;4.404330
46;304;0.305400;4.508315
47;26;0.313900;4.612336
48;4;0.312000;4.716513
49;189;0.319300;4.820870
50;414;0.313900;4.925500
51;229;0.320600;5.030175
52;491;0.321400;5.135101
53;175;0.324000;5.239935
54;463;0.320900;5.344945
55;434;0.322900;5.450023
56;265;0.324500;5.555182
57;484;0.329200;5.660503
58;147;0.331300;5.765876
59;438;0.322500;5.871295
60;115;0.334600;5.977654
61;158;0.334800;6.083538
62;163;0.337300;6.189566
63;378;0.343200;6.295841
64;498;0.351200;6.402314
65;468;0.361900;6.509013
66;68;0.361400;6.615832
67;452;0.365700;6.722610
68;292;0.366900;6.829648
69;32;0.371000;6.937008
70;336;0.374700;7.044336
71;205;0.376800;7.152080
72;162;0.381700;7.259806
73;436;0.387000;7.367681
74;490;0.381600;7.475848
75;435;0.383900;7.584255
76;387;0.388800;7.692994
77;17;0.388300;7.801748
78;59;0.393800;7.910668
79;377;0.391100;8.020187
80;64;0.397000;8.129661
81;28;0.396900;8.239059
82;281;0.399600;8.348621
83;142;0.402700;8.458760
84;145;0.407400;8.569341
85;401;0.403300;8.679818
86;481;0.406600;8.790119
87;399;0.408500;8.900565
88;446;0.404000;9.011360
89;197;0.413100;9.121935
90;476;0.408300;9.232943
91;464;0.411600;9.343808
92;100;0.415200;9.454781
93;418;0.411600;9.565988
94;203;0.410500;9.677283
95;394;0.422200;9.788832
96;357;0.420200;9.900375
97;425;0.424600;10.011948
98;466;0.422300;10.124136
99;322;0.427300;10.235844
100;409;0.430900;10.347827
101;236;0.431700;10.459924
102;200;0.432500;10.572409
103;234;0.438000;10.685070
104;359;0.436500;10.797960
105;80;0.438000;10.910755
106;297;0.448200;11.023818
107;350;0.444500;11.136926
108;156;0.451300;11.250257
109;251;0.450200;11.363659
110;47;0.451800;11.477081
111;487;0.453500;11.590687
112;335;0.457700;11.704571
113;24;0.459900;11.818698
114;102;0.467000;11.932664
115;217;0.459000;12.046846
116;57;0.463300;12.161570
117;403;0.467800;12.276111
118;402;0.473100;12.390760
119;285;0.469700;12.505551
120;317;0.477600;12.620435
121;467;0.473200;12.735627
122;60;0.477300;12.850733
123;11;0.475000;12.966094
124;270;0.484600;13.081357
125;127;0.483700;13.196791
126;167;0.482300;13.312407
127;433;0.487600;13.427874
128;3;0.490200;13.543527
129;135;0.494700;13.659234
130;413;0.498400;13.775099
131;379;0.502400;13.891273
132;146;0.503400;14.007310
133;408;0.502600;14.123364
134;495;0.509100;14.240177
135;257;0.514600;14.356600
136;305;0.516900;14.473088
137;66;0.514300;14.589825
138;231;0.517700;14.706501
139;274;0.522000;14.823378
140;81;0.519200;14.940219
141;185;0.527100;15.057441
142;333;0.527800;15.174793
143;130;0.525800;15.292078
144;290;0.530200;15.409339
145;298;0.527400;15.526739
146;284;0.528200;15.644051
147;133;0.533500;15.761713
148;310;0.533000;15.879231
149;170;0.532400;15.996904
150;267;0.533700;16.114367
151;132;0.533600;16.232247
152;444;0.532300;16.350294
153;73;0.536100;16.468006
154;155;0.538800;16.585789
155;422;0.536900;16.703857
156;233;0.535400;16.822358
157;339;0.540300;16.940308
158;323;0.537400;17.058720
159;478;0.539800;17.177209
160;299;0.532100;17.295705
161;327;0.539900;17.414206
162;313;0.540000;17.532562
163;363;0.540200;17.650801
164;109;0.542900;17.769142
165;118;0.546400;17.887632
166;374;0.541100;18.006439
167;471;0.546200;18.124953
168;36;0.544700;18.243699
169;103;0.541900;18.362842
170;286;0.546900;18.481546
171;428;0.546600;18.600345
172;95;0.555900;18.719150
173;99;0.558300;18.838508
174;178;0.559100;18.957366
175;470;0.562000;19.076295
176;199;0.557300;19.195661
177;450;0.564600;19.315333
178;406;0.565900;19.434841
179;263;0.569900;19.554327
180;46;0.577100;19.673630
181;187;0.573300;19.793004
182;230;0.578700;19.912665
183;191;0.577600;20.032315
184;131;0.577300;20.151900
185;157;0.583800;20.271566
186;5;0.587800;20.391727
187;334;0.584900;20.511542
188;330;0.589000;20.631175
189;278;0.588900;20.750992
190;23;0.586600;20.871099
191;392;0.592400;20.991143
192;395;0.587500;21.111180
193;412;0.591000;21.231774
194;314;0.585600;21.352445
195;280;0.593900;21.472847
196;244;0.593500;21.593344
197;349;0.582700;21.713723
198;473;0.595700;21.833971
199;223;0.595100;21.954577
200;279;0.590200;22.075117
201;398;0.593600;22.195637
202;282;0.596500;22.316097
203;213;0.596400;22.436852
204;9;0.596000;22.557836
205;415;0.599400;22.678411
206;371;0.595200;22.799023
207;179;0.601000;22.919959
208;40;0.603100;23.040799
209;343;0.593700;23.161714
210;253;0.599100;23.282685
211;171;0.605900;23.404176
212;411;0.598900;23.525364
213;295;0.609100;23.646400
214;405;0.606100;23.767385
215;358;0.600200;23.888394
216;417;0.600500;24.009548
217;364;0.601900;24.130776
218;62;0.604400;24.252131
219;424;0.605600;24.373411
220;454;0.605900;24.494995
221;232;0.612500;24.616486
222;206;0.612500;24.737905
223;302;0.611300;24.859400
224;400;0.615700;24.981152
225;243;0.619400;25.102849
226;215;0.620200;25.224491
227;97;0.624400;25.346085
228;82;0.623400;25.467963
229;137;0.624400;25.590138
230;346;0.632100;25.712442
231;138;0.629300;25.834321
232;176;0.634600;25.956176
233;72;0.639500;26.078393
234;440;0.639100;26.200521
235;192;0.642100;26.323012
236;2;0.642500;26.445335
237;43;0.644400;26.569140
238;63;0.646900;26.691757
239;105;0.645100;26.814401
240;437;0.652800;26.937037
241;448;0.654500;27.060621
242;307;0.653300;27.183540
243;20;0.656600;27.306437
244;480;0.656300;27.429482
245;426;0.668800;27.552571
246;469;0.666900;27.676126
247;340;0.663700;27.799331
248;235;0.664500;27.922370
249;381;0.670100;28.045430
250;44;0.676200;28.168724
251;283;0.676700;28.291846
252;492;0.682200;28.415091
253;152;0.677200;28.538640
254;112;0.678200;28.661934
255;341;0.684100;28.785142
256;91;0.679900;28.908469
257;356;0.687800;29.031964
258;210;0.688800;29.155881
259;201;0.689600;29.279333
260;226;0.692200;29.402923
261;477;0.685900;29.526543
262;254;0.693700;29.650288
263;126;0.692500;29.774281
264;376;0.695900;29.897876
265;404;0.696900;30.021532
266;485;0.697300;30.145209
267;65;0.694000;30.269073
268;202;0.695300;30.392885
269;128;0.699400;30.516680
