k;seed;inf;tim
0;264;0.000000;0.000032
1;497;0.000000;0.002331
2;491;0.000000;0.004517
3;480;0.000000;0.006643
4;477;0.000000;0.008855
5;475;0.000000;0.011135
6;433;0.000000;0.013443
7;454;0.000000;0.015828
8;459;0.000000;0.018274
9;445;0.000000;0.020792
10;452;0.000000;0.023343
11;405;0.000000;0.025955
12;262;0.000000;0.028600
13;426;0.000000;0.031315
14;458;0.000000;0.034091
15;394;0.000000;0.036921
16;418;0.000000;0.039801
17;345;0.000000;0.042714
18;260;0.000000;0.045698
19;255;0.000000;0.048739
20;403;0.000000;0.051835
21;478;0.000000;0.054975
22;247;0.000000;0.058164
23;245;0.000000;0.061433
24;384;0.000000;0.064742
25;237;0.000000;0.068114
26;236;0.000000;0.071516
27;232;0.000000;0.074968
28;399;0.000000;0.078468
29;251;0.000000;0.082036
30;395;0.000000;0.085666
31;222;0.000000;0.089395
32;217;0.000000;0.093188
33;254;0.000000;0.097036
34;446;0.000000;0.100954
35;437;0.000000;0.104957
36;456;0.000000;0.109031
37;219;0.000000;0.113157
38;213;0.000000;0.117423
39;207;0.000000;0.121752
40;199;0.000000;0.126170
41;197;0.000000;0.130675
42;198;0.000000;0.135264
43;195;0.000000;0.139939
44;187;0.000000;0.144706
45;179;0.000000;0.149539
46;196;0.000000;0.154423
47;174;0.000000;0.159401
48;172;0.000000;0.164478
49;175;0.000000;0.169631
50;160;0.000000;0.174822
51;164;0.000000;0.180119
52;184;0.000000;0.185452
53;110;0.000000;0.190838
54;63;0.000000;0.196285
55;211;0.000100;0.201816
56;166;0.000000;0.207428
57;77;0.000000;0.213100
58;9;0.000500;0.218870
59;129;0.000400;0.224700
60;114;0.001000;0.230580
61;4;0.000800;0.236552
62;148;0.000900;0.242575
63;165;0.000800;0.248679
64;137;0.000900;0.254837
65;210;0.001600;0.261099
66;402;0.001700;0.267417
67;106;0.001800;0.273827
68;162;0.001800;0.280306
69;451;0.001600;0.286853
70;3;0.002500;0.293431
71;401;0.002400;0.300130
72;90;0.002800;0.306913
73;348;0.003100;0.313771
74;499;0.002900;0.320754
75;383;0.003900;0.327856
76;351;0.003400;0.334955
77;489;0.003700;0.342145
78;323;0.003200;0.349416
79;250;0.004500;0.356835
80;212;0.004000;0.364348
81;10;0.004900;0.371939
82;173;0.005100;0.379636
83;409;0.005000;0.387425
84;379;0.005300;0.395240
85;306;0.005500;0.403105
86;167;0.004600;0.411077
87;109;0.005500;0.419131
88;105;0.006500;0.427211
89;410;0.007000;0.435400
90;421;0.006400;0.443632
91;216;0.007300;0.451951
92;413;0.007100;0.460339
93;201;0.008000;0.468815
94;432;0.007200;0.477400
95;462;0.008800;0.486034
96;228;0.007800;0.494769
97;493;0.008900;0.503629
98;423;0.010100;0.512505
99;474;0.010800;0.521501
100;252;0.012300;0.530638
101;372;0.012300;0.539894
102;191;0.012100;0.549228
103;70;0.012400;0.558699
104;163;0.012600;0.568261
105;204;0.014900;0.577914
106;194;0.015800;0.587648
107;95;0.014100;0.597520
108;235;0.013600;0.607500
109;453;0.015400;0.617570
110;400;0.016700;0.627727
111;149;0.017600;0.637948
112;378;0.017300;0.648312
113;305;0.018900;0.658760
114;66;0.017800;0.669405
115;120;0.019200;0.680054
116;354;0.020700;0.690795
117;427;0.022100;0.701731
118;35;0.023800;0.712809
119;170;0.022000;0.723977
120;420;0.025100;0.735123
121;62;0.027200;0.746420
122;11;0.027600;0.757757
123;360;0.027400;0.769356
124;425;0.026400;0.780973
125;130;0.028900;0.793061
126;124;0.030800;0.805335
127;490;0.029600;0.817560
128;428;0.030600;0.829560
129;398;0.032000;0.841713
130;386;0.032800;0.853979
131;158;0.032300;0.866427
132;470;0.033400;0.878978
133;25;0.033500;0.891633
134;486;0.034500;0.904405
135;450;0.036800;0.917301
136;122;0.038100;0.930297
137;142;0.037100;0.943435
138;127;0.040300;0.956716
139;353;0.039000;0.970106
140;440;0.040000;0.983637
141;103;0.042800;0.997235
142;357;0.042300;1.010977
143;396;0.043100;1.024886
144;202;0.041000;1.038911
145;0;0.044300;1.053356
146;19;0.046400;1.067824
147;376;0.049300;1.082242
148;416;0.049600;1.096749
