k;seed;inf;tim
0;12;0.000000;0.000029
1;462;0.000000;0.018029
2;484;0.000000;0.036211
3;463;0.000000;0.054661
4;230;0.000000;0.073401
5;437;0.000000;0.092302
6;245;0.000000;0.111570
7;408;0.000000;0.131152
8;439;0.000200;0.150928
9;397;0.000100;0.170849
10;416;0.000400;0.191019
11;236;0.000600;0.211515
12;345;0.000500;0.232268
13;444;0.000700;0.253372
14;498;0.000800;0.274888
15;403;0.001100;0.296851
16;91;0.001000;0.318995
17;146;0.000700;0.341552
18;30;0.001900;0.364777
19;237;0.001900;0.388000
20;312;0.001500;0.411574
21;169;0.003000;0.435454
22;260;0.002300;0.459864
23;10;0.002600;0.484507
24;478;0.003400;0.509550
25;361;0.004600;0.535177
26;229;0.003700;0.561451
27;373;0.004200;0.588340
28;429;0.005100;0.615645
29;155;0.005400;0.643473
30;295;0.005400;0.671697
31;119;0.006000;0.700584
32;355;0.007900;0.730250
33;144;0.007700;0.760425
34;254;0.007500;0.791297
35;163;0.008200;0.822463
36;70;0.009700;0.854790
37;253;0.010500;0.888341
38;466;0.010600;0.921576
39;367;0.011800;0.955656
40;176;0.012100;0.989941
41;300;0.012800;1.024942
42;235;0.013900;1.060916
43;172;0.015800;1.097659
44;81;0.014800;1.135102
45;350;0.016300;1.173406
46;116;0.017400;1.212389
47;93;0.018800;1.251896
48;421;0.019100;1.292295
49;475;0.019700;1.333473
50;150;0.020300;1.375386
51;148;0.020100;1.417845
52;158;0.023300;1.461609
53;202;0.023200;1.506834
54;72;0.024200;1.552941
55;290;0.024400;1.600440
56;309;0.024500;1.648172
57;497;0.025500;1.696747
58;234;0.026600;1.746088
59;441;0.027500;1.796112
60;149;0.030000;1.846830
61;128;0.030900;1.898353
62;396;0.029500;1.950883
63;445;0.031300;2.004321
64;131;0.033800;2.058204
65;39;0.031300;2.112448
66;490;0.032900;2.167654
67;179;0.035100;2.223559
68;135;0.034900;2.280235
69;107;0.036400;2.337713
70;227;0.037600;2.396415
71;143;0.039600;2.455242
72;110;0.041200;2.514974
73;480;0.042200;2.574953
