k;seed;inf;tim
0;12;0.000000;0.000120
1;299;0.000000;0.001733
2;46;0.000000;0.003779
3;294;0.000000;0.005795
4;494;0.000000;0.008084
5;352;0.000000;0.010601
6;242;0.000000;0.013298
7;485;0.000000;0.016162
8;340;0.000000;0.019197
9;61;0.000000;0.022398
10;225;0.000000;0.025799
11;401;0.000000;0.029351
12;467;0.000000;0.033105
13;241;0.000000;0.036984
14;257;0.000000;0.041000
15;196;0.000000;0.045176
16;482;0.000000;0.049518
17;298;0.000000;0.054020
18;496;0.000000;0.058700
19;30;0.000000;0.063588
20;392;0.000000;0.068677
21;316;0.000000;0.073914
22;309;0.000000;0.079376
23;67;0.000000;0.085062
24;417;0.000200;0.090954
25;423;0.000100;0.097007
26;368;0.000500;0.103258
27;90;0.000400;0.109671
28;91;0.000600;0.116242
29;387;0.000400;0.122987
30;123;0.000900;0.129845
31;471;0.001200;0.136932
32;5;0.001500;0.144195
33;94;0.001700;0.151623
34;229;0.001700;0.159310
35;307;0.001900;0.167128
36;246;0.002600;0.175090
37;167;0.001900;0.183244
38;34;0.002500;0.191571
39;426;0.003800;0.200066
40;74;0.003100;0.208718
41;265;0.004100;0.217557
42;487;0.004600;0.226591
43;377;0.004600;0.235755
44;129;0.005300;0.245095
45;279;0.005000;0.254531
46;347;0.006100;0.264115
47;31;0.006500;0.273887
48;105;0.008300;0.283809
49;0;0.007900;0.293847
50;206;0.008900;0.304030
51;281;0.009000;0.314392
52;461;0.010000;0.324945
53;328;0.011000;0.335673
54;18;0.009900;0.346581
55;43;0.012700;0.357742
56;493;0.013400;0.369063
57;302;0.014500;0.380520
58;53;0.014300;0.392154
59;334;0.015100;0.403904
60;16;0.017800;0.415840
61;391;0.016900;0.427852
62;38;0.019400;0.440003
63;118;0.018500;0.452257
64;239;0.019800;0.464649
65;231;0.020900;0.477083
66;39;0.020900;0.489701
67;27;0.021300;0.502425
68;270;0.022200;0.515221
69;437;0.022600;0.528130
70;172;0.024300;0.541190
71;116;0.026000;0.554388
72;439;0.023000;0.567617
73;227;0.025000;0.580886
74;188;0.026000;0.594230
75;258;0.025600;0.607634
76;97;0.029200;0.621070
77;14;0.027600;0.634655
78;88;0.029600;0.648342
79;263;0.030000;0.662089
80;453;0.031200;0.676039
81;464;0.031400;0.690000
82;128;0.034400;0.704071
83;130;0.034300;0.718323
84;141;0.035800;0.732725
85;420;0.039600;0.747258
86;324;0.040500;0.761814
87;240;0.041100;0.776519
88;450;0.042800;0.791341
89;266;0.041900;0.806335
90;75;0.043100;0.821440
91;13;0.044400;0.836649
92;219;0.046400;0.851985
93;261;0.043900;0.867443
94;469;0.044500;0.882969
95;221;0.047000;0.898602
96;323;0.049400;0.914322
97;412;0.048900;0.930134
98;101;0.051400;0.946093
99;465;0.051100;0.962156
100;280;0.053100;0.978333
101;418;0.052100;0.994673
102;283;0.054200;1.011071
103;292;0.055000;1.027684
104;23;0.056800;1.044502
105;304;0.053500;1.061303
106;62;0.056700;1.078211
107;479;0.059300;1.095198
108;421;0.059700;1.112309
109;357;0.056700;1.129548
110;33;0.058100;1.146805
111;159;0.059800;1.164156
112;252;0.059200;1.181566
113;463;0.060500;1.199001
114;85;0.062200;1.216501
115;153;0.061600;1.234094
116;430;0.060000;1.251782
117;398;0.061200;1.269501
118;32;0.059600;1.287318
119;152;0.061500;1.305199
120;475;0.063300;1.323040
121;187;0.064400;1.340896
122;197;0.060900;1.358827
123;247;0.061700;1.376787
124;373;0.065200;1.394830
125;403;0.065800;1.412907
126;158;0.063500;1.431026
127;282;0.063500;1.449238
128;117;0.064900;1.467470
129;289;0.065300;1.485813
130;199;0.065300;1.504195
131;295;0.066700;1.522614
132;8;0.067300;1.541022
133;100;0.069000;1.559444
134;484;0.066700;1.577938
135;427;0.071300;1.596378
136;440;0.068200;1.614895
137;173;0.072200;1.633488
138;230;0.069700;1.652180
139;107;0.074700;1.670842
140;198;0.075900;1.689590
141;434;0.073600;1.708389
142;108;0.081600;1.727255
143;58;0.084200;1.746285
144;358;0.084200;1.765335
145;341;0.081800;1.784387
146;95;0.083200;1.803563
147;473;0.085100;1.822803
148;404;0.090400;1.842166
149;47;0.087600;1.861580
150;267;0.088800;1.881160
151;460;0.090800;1.900817
152;45;0.089800;1.920539
153;7;0.091900;1.940266
154;17;0.091500;1.960057
155;2;0.091900;1.979912
156;351;0.095800;1.999846
157;222;0.093900;2.019844
158;119;0.097400;2.039775
159;355;0.096100;2.059806
160;110;0.092000;2.079907
161;343;0.099500;2.100062
162;166;0.096900;2.120216
163;136;0.097000;2.140464
164;438;0.098500;2.160770
165;208;0.102200;2.181206
166;193;0.099400;2.201771
167;178;0.103100;2.222372
168;3;0.103600;2.243084
169;339;0.105800;2.263863
170;146;0.102500;2.284706
171;435;0.104100;2.305483
172;220;0.103800;2.326224
173;305;0.105200;2.347087
174;169;0.102800;2.367965
175;244;0.105000;2.388911
176;454;0.104800;2.409811
177;443;0.105900;2.430764
178;462;0.104400;2.451702
179;144;0.106700;2.472715
180;274;0.108000;2.493707
181;29;0.113500;2.514764
182;369;0.109800;2.535812
183;137;0.114100;2.557067
184;395;0.111200;2.578326
185;315;0.114000;2.599565
186;486;0.114100;2.620836
187;490;0.113300;2.642243
188;232;0.117100;2.663695
189;348;0.116000;2.685245
190;431;0.119700;2.706865
191;371;0.116000;2.728487
192;234;0.116800;2.750191
193;147;0.117300;2.771899
194;84;0.121500;2.793649
195;389;0.123600;2.815510
196;165;0.123700;2.837350
197;48;0.125100;2.859173
198;365;0.124300;2.881095
199;499;0.125400;2.903062
200;145;0.124100;2.925097
201;19;0.122500;2.947137
202;80;0.128900;2.969357
203;285;0.127000;2.991532
204;36;0.127900;3.013811
205;25;0.132500;3.036133
206;256;0.131600;3.058519
207;276;0.131500;3.081026
208;143;0.134500;3.103570
209;191;0.133200;3.126160
210;264;0.137400;3.148862
211;481;0.139800;3.171671
212;44;0.135200;3.194474
213;24;0.141600;3.217298
214;59;0.139500;3.240120
215;363;0.147900;3.263078
216;492;0.145500;3.286059
217;336;0.148400;3.309072
218;449;0.148800;3.332037
219;329;0.148100;3.355098
220;207;0.151700;3.378259
221;154;0.154800;3.401425
222;86;0.164900;3.424743
223;342;0.160200;3.448143
224;446;0.167800;3.471556
225;447;0.169000;3.495048
226;106;0.168900;3.518597
227;148;0.173100;3.542290
228;168;0.171800;3.566110
229;301;0.175200;3.590022
230;204;0.177700;3.613865
231;474;0.178500;3.637838
232;416;0.179900;3.661723
233;495;0.174300;3.685758
234;310;0.182400;3.709808
235;201;0.179400;3.733870
236;99;0.183200;3.758053
237;320;0.185800;3.782222
238;26;0.186900;3.806502
239;275;0.186500;3.830809
240;293;0.189900;3.855133
241;112;0.190600;3.879482
242;319;0.189900;3.904042
243;445;0.189000;3.928585
244;459;0.195700;3.953235
245;60;0.191300;3.977991
246;410;0.198900;4.002761
247;35;0.200000;4.027611
248;297;0.198900;4.052414
249;375;0.201500;4.077260
250;288;0.201600;4.102163
251;41;0.204100;4.127062
252;224;0.207600;4.151994
253;124;0.209800;4.177040
254;57;0.207100;4.202089
255;10;0.208100;4.227222
256;364;0.211800;4.252495
257;287;0.217800;4.277915
258;210;0.218200;4.303416
259;181;0.219400;4.328954
260;192;0.225000;4.354608
261;337;0.225800;4.380155
262;498;0.227800;4.405650
263;472;0.230600;4.431150
264;354;0.227700;4.456744
265;488;0.229900;4.482321
266;385;0.229000;4.507933
267;235;0.237900;4.533631
268;139;0.226100;4.559301
269;228;0.234800;4.585122
270;408;0.234400;4.610871
271;70;0.234300;4.636683
272;444;0.232400;4.662415
273;49;0.237200;4.688283
274;175;0.234800;4.714230
275;160;0.236500;4.740366
276;362;0.233700;4.766535
277;163;0.234900;4.792747
278;251;0.237800;4.818879
279;150;0.237400;4.844918
280;250;0.237400;4.870908
281;254;0.241100;4.896991
282;399;0.237700;4.923104
283;253;0.241900;4.949220
284;83;0.239300;4.975369
285;262;0.233700;5.001554
286;113;0.241000;5.027779
287;345;0.241200;5.054047
288;161;0.245400;5.080317
289;441;0.241200;5.106584
290;120;0.243900;5.132851
291;194;0.245100;5.159253
292;56;0.249800;5.185644
293;470;0.246000;5.212239
294;260;0.247300;5.238844
295;394;0.248500;5.265440
296;171;0.252900;5.291932
297;259;0.252300;5.318399
298;497;0.252900;5.344816
299;121;0.259600;5.371284
300;457;0.258900;5.397835
301;142;0.256500;5.424489
302;177;0.259600;5.451125
303;483;0.264000;5.477834
304;111;0.266200;5.504451
305;291;0.263300;5.531062
306;151;0.265400;5.557804
307;332;0.266500;5.584572
308;179;0.270100;5.611420
309;236;0.267100;5.638324
310;202;0.267800;5.665309
311;480;0.265800;5.692312
312;350;0.269500;5.719220
313;317;0.269300;5.746061
314;98;0.268900;5.773126
315;238;0.268000;5.800215
316;452;0.269800;5.827389
317;63;0.269500;5.854449
318;115;0.271800;5.881537
319;406;0.269600;5.908553
320;205;0.274100;5.935581
321;149;0.269800;5.962613
322;393;0.274100;5.989794
323;366;0.276500;6.017138
324;122;0.271500;6.044565
325;69;0.278000;6.071988
326;409;0.273500;6.099378
327;237;0.274300;6.126658
328;131;0.280900;6.153942
329;361;0.279500;6.181241
330;81;0.276800;6.208592
331;180;0.281000;6.235981
332;213;0.284100;6.263333
333;155;0.284600;6.290692
334;478;0.283700;6.318123
335;135;0.286600;6.345600
336;424;0.285000;6.373271
337;489;0.288400;6.400953
338;321;0.292400;6.428624
339;249;0.291500;6.456243
340;189;0.291300;6.483799
341;314;0.296000;6.511397
342;65;0.299000;6.538962
343;72;0.297400;6.566658
344;184;0.293100;6.594361
345;104;0.302700;6.622016
346;126;0.301100;6.649660
347;414;0.304600;6.677341
348;4;0.302300;6.705138
349;477;0.304900;6.732958
350;89;0.306300;6.760781
351;190;0.298300;6.788778
352;176;0.308700;6.816798
353;195;0.311900;6.844854
354;273;0.310600;6.872896
355;268;0.309800;6.900950
356;442;0.310400;6.928992
357;380;0.315500;6.957105
358;458;0.316400;6.985167
359;162;0.317800;7.013314
360;223;0.319800;7.041431
361;93;0.317000;7.069571
362;284;0.321700;7.097766
363;214;0.318300;7.126145
364;468;0.324500;7.154372
365;402;0.326300;7.182709
366;318;0.324500;7.211000
367;290;0.326600;7.239402
368;20;0.328400;7.267849
369;278;0.329000;7.296458
370;52;0.331900;7.324991
371;407;0.328600;7.353528
372;379;0.332100;7.382097
373;66;0.332300;7.410661
374;156;0.331400;7.439196
375;185;0.332700;7.467861
376;269;0.336200;7.496451
377;306;0.339200;7.525082
378;200;0.331900;7.553763
379;271;0.341600;7.582501
380;6;0.344000;7.611205
381;386;0.342500;7.639943
382;211;0.350100;7.668753
383;374;0.346900;7.697768
384;286;0.343200;7.726908
385;186;0.347200;7.756049
386;218;0.350900;7.785220
387;432;0.347800;7.814349
388;76;0.353900;7.843443
389;335;0.354200;7.872521
390;405;0.366500;7.901708
391;338;0.359500;7.930848
392;55;0.358400;7.959935
393;248;0.364400;7.989142
394;311;0.370200;8.018421
395;73;0.370500;8.047659
396;15;0.371200;8.077083
397;82;0.373900;8.106656
398;21;0.373200;8.136248
399;109;0.377300;8.165783
400;327;0.376300;8.195345
401;209;0.375600;8.224863
402;11;0.381400;8.254466
403;370;0.384700;8.284071
404;1;0.392600;8.313681
405;322;0.398900;8.343232
406;164;0.400300;8.372846
407;353;0.404700;8.402634
408;233;0.404400;8.432486
409;133;0.396700;8.462481
410;51;0.407400;8.492622
411;330;0.409700;8.522597
412;22;0.410500;8.552527
413;132;0.409200;8.582423
414;245;0.413300;8.612387
415;397;0.418600;8.642305
416;170;0.420900;8.672266
417;433;0.415700;8.702224
418;40;0.420500;8.732230
419;360;0.415000;8.762234
420;346;0.419700;8.792261
421;114;0.424900;8.822414
422;103;0.424900;8.852572
423;411;0.430500;8.882828
424;50;0.431700;8.913164
425;78;0.438100;8.943483
426;367;0.436400;8.973794
427;255;0.442400;9.004021
428;466;0.445500;9.034348
429;312;0.442200;9.064624
430;448;0.446500;9.094899
431;272;0.446900;9.125204
432;68;0.450700;9.155471
433;383;0.456700;9.185816
434;390;0.457000;9.216233
435;216;0.455200;9.246652
436;300;0.460200;9.277042
437;138;0.458700;9.307596
438;429;0.460900;9.338108
439;308;0.456100;9.368712
440;243;0.465700;9.399349
441;378;0.457300;9.429993
442;87;0.463400;9.460558
443;381;0.468800;9.491103
444;296;0.453800;9.521626
445;382;0.463000;9.552185
446;415;0.464100;9.582881
447;303;0.464500;9.613604
448;428;0.474100;9.644317
449;92;0.467900;9.674944
450;388;0.474300;9.705616
451;77;0.467500;9.736390
452;182;0.473500;9.767305
453;344;0.477100;9.798363
454;37;0.478400;9.829461
455;372;0.481000;9.860400
456;313;0.482200;9.891289
457;333;0.484900;9.922195
458;71;0.493400;9.953068
459;212;0.494300;9.984102
460;9;0.499100;10.015164
461;157;0.499800;10.046144
462;376;0.498100;10.077163
463;396;0.502300;10.108415
464;277;0.504400;10.139485
465;419;0.503400;10.170726
466;96;0.506000;10.202029
467;331;0.513400;10.233376
468;134;0.517900;10.264602
469;326;0.525500;10.295879
470;215;0.528100;10.327082
471;125;0.532900;10.358302
472;491;0.538300;10.389620
473;456;0.544500;10.420993
474;28;0.551600;10.452467
475;436;0.569100;10.483806
476;226;0.576800;10.515248
477;413;0.576000;10.546789
478;455;0.591200;10.578450
479;203;0.586800;10.609981
480;325;0.602300;10.641489
481;476;0.609200;10.672967
482;425;0.610600;10.704450
483;127;0.612200;10.735939
484;359;0.615500;10.767485
485;102;0.625300;10.798999
486;349;0.631400;10.830613
487;422;0.648600;10.862141
488;400;0.662600;10.893782
489;54;0.673500;10.925336
490;451;0.685300;10.956941
491;42;0.682600;10.988685
492;217;0.692200;11.020535
493;140;0.694400;11.052428
494;356;0.705200;11.084171
495;183;0.711800;11.115822
496;174;0.732900;11.147527
497;384;0.775600;11.179303
498;79;0.835700;11.210998
499;64;1.000000;11.242713
