k;seed;inf;tim
0;271;0.060400;0.000038
10;3;0.336400;0.702434
20;449;0.472600;1.410547
30;94;0.544400;2.118500
40;352;0.644600;2.837884
50;46;0.710100;3.562364
60;174;0.727900;4.284829
70;480;0.779700;5.012763
80;195;0.807200;5.737690
90;237;0.836700;6.458956
100;113;0.861900;7.181915
110;150;0.886400;7.906926
120;420;0.900500;8.622094
130;86;0.917200;9.347573
140;202;0.926500;10.070468
150;180;0.936700;10.791265
160;136;0.945100;11.516763
170;206;0.956300;12.240647
180;141;0.961300;12.966846
190;172;0.970000;13.692685
200;392;0.974900;14.419162
210;162;0.976800;15.137263
220;197;0.981200;15.850622
230;450;0.984100;16.562641
240;25;0.986800;17.276670
250;71;0.988500;17.991620
260;1;0.990000;18.705637
270;19;0.991400;19.416660
280;251;0.993400;20.131623
290;110;0.993700;20.842631
300;137;0.994700;21.547960
310;332;0.995100;22.241391
320;279;0.996300;22.932853
330;364;0.997100;23.623653
340;42;0.997500;24.316248
350;56;0.998100;25.013423
360;302;0.998200;25.718556
370;269;0.998600;26.420765
380;84;0.999300;27.122655
390;186;0.999200;27.817525
400;499;0.999700;28.515626
410;499;0.999800;29.211764
420;499;1.000000;29.912465
430;499;0.999900;30.608176
440;499;0.999900;31.304408
450;499;1.000000;32.000370
460;499;0.999800;32.699020
470;101;0.999900;33.395302
480;499;0.999900;34.089149
490;499;1.000000;34.792658
