k;seed;inf;tim
0;499;0.000000;0.000976
10;396;0.296900;1.909830
20;487;0.477300;4.003114
30;328;0.528700;6.131886
40;73;0.622200;8.264652
50;10;0.696000;10.402871
60;395;0.727600;12.543804
70;480;0.764800;14.692905
80;88;0.798200;16.860168
90;433;0.823300;19.032281
100;466;0.853500;21.207386
110;130;0.875500;23.380722
120;442;0.895400;25.562550
130;236;0.905600;27.757835
140;252;0.922900;29.933267
150;426;0.933500;32.095007
160;489;0.943500;34.275846
170;86;0.953400;36.460382
180;89;0.960400;38.626804
190;288;0.963800;40.777848
200;172;0.971200;42.915116
210;367;0.976300;45.056763
220;19;0.978100;47.215317
230;225;0.981400;49.376846
240;448;0.983800;51.545422
250;383;0.986600;53.707985
260;71;0.989600;55.906914
270;154;0.990800;58.092806
280;332;0.991900;60.274138
290;120;0.993100;62.465562
300;341;0.993600;64.641437
310;227;0.995100;66.850050
320;461;0.995600;69.018757
330;2;0.995900;71.196093
340;211;0.997400;73.342693
350;55;0.997800;75.495969
360;135;0.998200;77.649279
370;357;0.998600;79.790251
380;190;0.998700;81.904024
390;391;0.999000;83.997025
400;492;0.999100;86.084703
410;30;0.999400;88.174732
420;349;0.999500;90.302867
430;317;0.999800;92.426416
440;301;0.999500;94.568207
450;282;0.999900;96.715456
460;263;0.999900;98.848693
470;95;0.999900;100.940560
480;45;1.000000;103.050107
490;26;1.000000;105.122471
