k;seed;inf;tim
0;271;0.000000;0.000029
10;4;0.000300;0.095963
20;253;0.002700;0.203651
30;123;0.005200;0.327136
40;260;0.011400;0.466841
50;381;0.018300;0.619997
60;248;0.027400;0.790540
70;417;0.039100;0.980490
80;98;0.059900;1.187912
90;407;0.079800;1.414246
100;471;0.112400;1.661672
110;174;0.136400;1.932432
120;130;0.198400;2.222770
130;329;0.265200;2.535608
140;410;0.302900;2.865188
150;249;0.335700;3.210003
160;240;0.362400;3.552528
170;441;0.383400;3.905365
180;305;0.423000;4.268646
190;332;0.453100;4.640412
200;94;0.477600;5.017631
210;114;0.494800;5.400341
220;279;0.515900;5.789886
230;58;0.536600;6.184479
240;337;0.561100;6.584958
250;146;0.601900;6.990728
260;485;0.643400;7.401275
270;302;0.683700;7.814797
280;367;0.713100;8.231806
290;191;0.731900;8.651880
300;251;0.744500;9.076486
310;374;0.757800;9.500445
320;326;0.783700;9.926317
330;286;0.813700;10.354133
340;390;0.840800;10.784684
350;179;0.852500;11.217804
360;309;0.865000;11.649411
370;81;0.874400;12.081418
380;469;0.883400;12.513579
390;261;0.902200;12.945760
400;306;0.922500;13.380553
410;420;0.926600;13.828917
420;465;0.939900;14.280195
430;47;0.951100;14.731086
440;287;0.962600;15.181724
450;310;0.969900;15.634985
460;298;0.978600;16.084655
470;241;0.985000;16.533110
480;263;0.990300;16.979734
490;280;0.996600;17.430096
