k;seed;inf;tim
0;499;0.000000;0.000627
10;435;0.000000;0.048020
20;162;0.000100;0.146794
30;200;0.001500;0.287155
40;69;0.004100;0.482139
50;128;0.010700;0.742378
60;474;0.019100;1.072058
70;195;0.033800;1.474966
80;133;0.052100;1.948004
90;363;0.079700;2.491038
100;457;0.110500;3.109722
110;78;0.140900;3.799976
120;439;0.198300;4.550666
130;155;0.256900;5.366871
140;106;0.297700;6.238048
150;496;0.332200;7.154116
160;389;0.360900;8.107328
170;370;0.391000;9.095134
180;181;0.420900;10.108856
190;349;0.450200;11.148031
200;273;0.476100;12.204364
210;68;0.494800;13.277550
220;322;0.515100;14.365169
230;257;0.537400;15.471645
240;231;0.558700;16.592020
250;136;0.579600;17.726437
260;409;0.636200;18.873491
270;218;0.673100;20.033218
280;143;0.702400;21.201566
290;31;0.724400;22.378565
300;142;0.744200;23.561000
310;414;0.761900;24.749348
320;360;0.773300;25.941656
330;51;0.813300;27.139723
340;385;0.837000;28.343107
350;452;0.846300;29.549589
360;134;0.863600;30.758348
370;411;0.866800;31.964744
380;293;0.882500;33.173266
390;343;0.893200;34.381361
400;377;0.914600;35.590908
410;140;0.927900;36.799131
420;223;0.938800;38.006360
430;62;0.948100;39.213012
440;40;0.961000;40.417482
450;95;0.970100;41.621574
460;298;0.976500;42.822014
470;317;0.984500;44.021084
480;87;0.989100;45.216910
490;330;0.996300;46.410119
