k;seed;inf;tim
0;271;0.000000;0.000118
10;258;0.000000;0.037628
20;476;0.000000;0.093427
30;279;0.000300;0.166699
40;467;0.003100;0.256442
50;293;0.008100;0.365411
60;239;0.018100;0.497156
70;226;0.021100;0.647916
80;81;0.023900;0.807774
90;272;0.029000;0.972612
100;39;0.042700;1.145330
110;432;0.051700;1.330653
120;381;0.058400;1.527173
130;145;0.066200;1.734077
140;415;0.065700;1.945497
150;109;0.078800;2.161515
160;398;0.083500;2.383121
170;268;0.095600;2.612000
180;248;0.101100;2.848024
190;77;0.112200;3.091388
200;15;0.116900;3.340366
210;178;0.128800;3.593844
220;371;0.135700;3.852362
230;350;0.153000;4.116723
240;203;0.170100;4.387298
250;242;0.182300;4.663349
260;411;0.198400;4.945475
270;313;0.208400;5.233598
280;157;0.236400;5.527246
290;328;0.241200;5.824555
300;380;0.248600;6.124776
310;88;0.264500;6.428436
320;93;0.266400;6.735533
330;429;0.275100;7.044599
340;320;0.281700;7.356109
350;25;0.292600;7.670482
360;478;0.300100;7.988677
370;224;0.314700;8.309847
380;302;0.333900;8.633836
390;183;0.350900;8.961997
400;472;0.365400;9.293046
410;354;0.386700;9.627317
420;356;0.413500;9.964822
430;214;0.416100;10.304675
440;199;0.444500;10.647469
450;0;0.467800;10.992099
460;448;0.500400;11.339308
470;355;0.543900;11.688992
480;118;0.579300;12.041018
490;323;0.686200;12.394784
