k;seed;inf;tim
0;263;0.034200;0.000116
10;470;0.138700;0.327955
20;272;0.192900;0.673083
30;462;0.203900;1.029635
40;358;0.220900;1.393484
50;142;0.261700;1.762045
60;215;0.298500;2.139107
70;34;0.314400;2.520092
80;116;0.324200;2.903939
90;360;0.356800;3.290334
100;9;0.389600;3.681300
110;488;0.401600;4.075613
120;20;0.410700;4.472504
130;89;0.437000;4.871346
140;419;0.460200;5.274743
150;334;0.480500;5.681621
160;274;0.507800;6.091069
170;254;0.524600;6.502731
180;218;0.526900;6.915883
190;392;0.534800;7.330430
200;477;0.544200;7.746058
210;110;0.583900;8.164729
220;473;0.594400;8.585353
230;370;0.599500;9.006429
240;495;0.611300;9.428860
250;313;0.629800;9.853004
260;249;0.651700;10.278536
270;141;0.666500;10.705975
280;131;0.692800;11.134100
290;123;0.693500;11.563872
300;290;0.705100;11.994514
310;163;0.722300;12.426999
320;266;0.728700;12.859509
330;322;0.734000;13.291883
340;294;0.751400;13.725184
350;92;0.764300;14.159022
360;108;0.773900;14.594277
370;422;0.785100;15.029641
380;226;0.800300;15.465661
390;76;0.818600;15.902582
400;39;0.824800;16.339201
410;405;0.836900;16.776617
420;382;0.843300;17.213778
430;149;0.850600;17.650407
440;457;0.865300;18.087698
450;79;0.880400;18.525174
460;351;0.895800;18.961708
470;425;0.920400;19.398792
480;185;0.942400;19.835155
490;148;0.967000;20.271733
