k;seed;inf;tim
0;263;0.036100;0.000118
10;259;0.136200;0.328568
20;487;0.197000;0.673335
30;462;0.212100;1.029878
40;239;0.221800;1.393537
50;287;0.258600;1.761661
60;376;0.302300;2.139374
70;439;0.312300;2.520877
80;492;0.317200;2.905137
90;479;0.367600;3.292422
100;9;0.392800;3.682813
110;289;0.408100;4.078504
120;187;0.413900;4.475781
130;111;0.436800;4.875291
140;77;0.461300;5.278111
150;365;0.473100;5.684898
160;397;0.509900;6.094853
170;302;0.526800;6.506735
180;435;0.532700;6.920745
190;176;0.535800;7.335986
200;144;0.546700;7.751756
210;110;0.583400;8.170064
220;127;0.593900;8.589398
230;250;0.599500;9.010415
240;156;0.600700;9.432601
250;313;0.637500;9.855238
260;396;0.646100;10.281047
270;400;0.663000;10.707164
280;74;0.689100;11.134662
290;13;0.689400;11.563323
300;190;0.704900;11.992221
310;444;0.719800;12.423264
320;447;0.728400;12.854427
330;45;0.731900;13.287224
340;394;0.751000;13.721537
350;319;0.760100;14.156153
360;442;0.771400;14.591163
370;440;0.790900;15.027366
380;202;0.796000;15.464518
390;367;0.815800;15.901125
400;33;0.823500;16.339044
410;99;0.834800;16.776339
420;288;0.842600;17.214331
430;268;0.851800;17.652125
440;71;0.864800;18.089700
450;416;0.883800;18.527275
460;312;0.899300;18.964470
470;333;0.920500;19.401545
480;454;0.941600;19.838973
490;221;0.965300;20.275746
