k;seed;inf;tim
0;263;0.000000;0.000118
10;317;0.002100;0.070828
20;161;0.008700;0.190433
30;474;0.019900;0.359597
40;2;0.023700;0.550443
50;35;0.031900;0.750561
60;282;0.042100;0.962935
70;398;0.051600;1.191973
80;73;0.059400;1.431387
90;315;0.064500;1.678856
100;139;0.071800;1.931447
110;18;0.087500;2.191522
120;87;0.101500;2.459990
130;403;0.108400;2.735675
140;209;0.119900;3.016593
150;361;0.136800;3.303848
160;157;0.155900;3.600690
170;487;0.174000;3.904002
180;397;0.203700;4.214530
190;387;0.228400;4.531137
200;452;0.260100;4.854919
210;26;0.287400;5.184598
220;250;0.320000;5.518610
230;125;0.370100;5.857613
240;338;0.426700;6.201337
250;65;0.454900;6.549694
260;69;0.472400;6.900461
270;434;0.478000;7.252901
280;419;0.485400;7.606257
290;81;0.484700;7.960730
300;180;0.494900;8.317625
310;227;0.502500;8.675316
320;448;0.512200;9.033328
330;55;0.522500;9.392406
340;89;0.542700;9.753320
350;185;0.551200;10.116192
360;349;0.571800;10.482802
370;455;0.591500;10.850938
380;273;0.625300;11.219007
390;388;0.683000;11.589038
400;24;0.724500;11.961125
410;384;0.726500;12.335731
420;383;0.735300;12.710900
430;312;0.745300;13.095469
440;335;0.756500;13.478064
450;54;0.763800;13.853469
460;363;0.776800;14.229890
470;267;0.820200;14.610663
480;382;0.873500;14.988046
490;460;0.888700;15.364698
