k;seed;inf;tim
0;1;0.000000;0.000282
10;3726;0.020600;19.227882
20;3661;0.043350;38.364907
30;3561;0.057975;57.431930
40;3707;0.066775;76.492739
50;3603;0.076425;95.571642
60;3478;0.082475;114.757455
70;3660;0.090675;133.730764
80;3191;0.094950;152.893276
90;3634;0.097450;172.327565
100;3553;0.101500;191.819086
110;3095;0.104925;211.038806
120;3607;0.107350;230.295348
130;1596;0.107875;249.714902
140;3205;0.108075;268.952476
150;2359;0.107275;288.513708
160;3762;0.109350;307.494569
170;3117;0.109425;326.800466
180;2666;0.110350;346.216586
190;2372;0.110675;365.630212
200;3744;0.109525;385.263331
210;2557;0.109650;404.612958
220;2387;0.110325;424.003429
230;1599;0.109575;443.452865
240;2868;0.110600;462.554972
250;109;0.109725;482.152431
260;2451;0.111025;501.578663
270;398;0.109800;521.182901
280;404;0.110900;540.652782
290;2635;0.108875;560.222501
300;171;0.111075;579.647986
310;2631;0.111250;599.168697
320;3763;0.111725;618.651683
330;2837;0.111000;638.021902
340;926;0.111775;657.518658
350;918;0.110900;676.889383
360;647;0.111250;696.632825
370;2747;0.111925;716.364222
380;2928;0.112125;735.819259
390;279;0.112500;755.271917
400;2590;0.111975;774.521827
410;480;0.113625;793.852842
420;2046;0.113375;813.339400
430;2915;0.112050;832.808140
440;2285;0.113275;852.192656
450;1893;0.113500;871.820269
460;2769;0.113800;891.301354
470;1296;0.115500;910.958162
480;381;0.117825;930.806586
490;3312;0.118825;950.217697
