k;seed;inf;tim
0;1;0.000000;0.001478
10;3068;0.022400;18.843351
20;2681;0.045825;38.279486
30;3757;0.059425;57.701577
40;3578;0.068950;76.728042
50;1214;0.075675;95.729127
60;3321;0.085000;114.788361
70;3721;0.093050;133.954061
80;2512;0.095675;153.189784
90;1572;0.101000;172.296023
100;1563;0.104600;191.390734
110;1407;0.107350;210.476887
120;3210;0.107925;229.682311
130;939;0.109375;248.836361
140;3467;0.108075;268.162135
150;623;0.108775;287.377855
160;1511;0.109200;306.369033
170;527;0.110175;325.385503
180;3012;0.110025;344.673834
190;855;0.108675;363.808379
200;567;0.110100;383.089821
210;3135;0.110175;402.167229
220;2372;0.109775;421.477472
230;1868;0.109350;440.954576
240;687;0.110500;460.008184
250;738;0.109875;479.300876
260;3473;0.108400;498.245769
270;3490;0.110275;517.418931
280;1592;0.109775;536.442240
290;2983;0.108600;555.597462
300;121;0.109725;574.976151
310;3410;0.109975;594.243773
320;1376;0.110875;613.278821
330;3183;0.110525;632.982371
340;3319;0.109700;652.026104
350;3384;0.109825;671.084627
360;1127;0.110650;690.314961
370;3194;0.111050;709.576708
380;304;0.110550;728.932977
390;3268;0.109875;748.381561
400;489;0.111500;767.499318
410;756;0.110075;786.799414
420;2110;0.110725;805.950955
430;3744;0.111300;825.128225
440;3351;0.110125;844.369946
450;3719;0.110850;863.700340
460;171;0.110275;883.339360
470;2765;0.111075;902.925798
480;1357;0.111625;922.366592
490;3533;0.111000;941.937682
