k;seed;inf;tim
0;3781;0.000000;0.004300
10;3690;0.000000;14.173221
20;3555;0.000050;28.663261
30;3661;0.000750;44.645943
40;3718;0.001875;63.400638
50;1009;0.003300;85.042744
60;3585;0.005075;110.987330
70;3443;0.006000;140.416986
80;3635;0.006750;170.587226
90;2333;0.007575;201.164689
100;3648;0.008375;232.031606
110;3779;0.009250;263.048064
120;3226;0.009450;294.224753
130;3460;0.009625;325.337324
140;3198;0.010050;356.474820
150;3228;0.010250;389.225294
160;3486;0.010325;422.159467
170;1;0.010075;455.107510
180;3118;0.010575;488.061601
190;3007;0.010025;520.596888
200;287;0.010525;553.559601
210;1162;0.010350;585.347898
220;1567;0.010275;616.572873
230;3128;0.010575;648.271318
240;2940;0.010400;679.503337
250;560;0.010525;710.750291
260;1126;0.010700;742.018729
270;2945;0.010850;773.294177
280;219;0.010700;804.564930
290;527;0.010575;835.841521
300;2180;0.010900;867.129999
310;37;0.010825;898.443975
320;288;0.010750;929.774511
330;48;0.010825;961.094478
340;2095;0.010525;992.437776
350;3743;0.011025;1023.783256
360;410;0.010950;1055.165623
370;3192;0.010725;1086.534852
380;2355;0.011150;1117.921696
390;944;0.010550;1149.739275
400;3448;0.010650;1182.990632
410;3236;0.010775;1214.963133
420;2807;0.011125;1246.416769
430;1193;0.010975;1277.993001
440;1219;0.010975;1309.469958
450;163;0.011200;1340.946871
460;492;0.011450;1372.446000
470;868;0.011475;1403.955692
480;1800;0.010975;1435.479215
490;2574;0.011225;1467.020329
