k;seed;inf;tim
0;5880;0.000000;0.006226
10;3989;0.000000;23.929646
20;668;0.000025;48.788689
30;942;0.000550;76.059058
40;2587;0.001275;106.581232
50;2610;0.002325;141.349153
60;556;0.003625;179.598120
70;5256;0.004700;221.425793
80;1155;0.005525;266.257085
90;1425;0.005500;312.451700
100;321;0.006250;359.449187
110;648;0.006625;406.909827
120;4116;0.007775;454.581989
130;426;0.007975;502.349919
140;3356;0.008950;550.204530
150;759;0.009250;598.068579
160;2074;0.009425;645.960783
170;5768;0.009725;693.829583
180;4045;0.009850;741.710834
190;5776;0.009875;789.539836
200;1628;0.009875;837.424381
210;3505;0.010000;885.392789
220;2147;0.009875;933.585962
230;2233;0.010125;981.618915
240;4227;0.010150;1029.698519
250;4557;0.010350;1077.768043
260;1009;0.010125;1125.800957
270;1173;0.010400;1173.874078
280;2034;0.010225;1221.955985
290;5583;0.010150;1270.021568
300;3915;0.010075;1318.097863
310;1665;0.010300;1366.193528
320;342;0.010150;1414.304846
330;4690;0.010550;1462.569816
340;4071;0.010175;1510.607139
350;259;0.010625;1558.641674
360;763;0.010300;1606.672999
370;4649;0.010350;1654.743635
380;3793;0.010275;1702.829945
390;4105;0.010300;1750.934277
400;5165;0.010225;1799.063201
410;2023;0.010475;1847.179358
420;1444;0.010375;1895.235132
430;2932;0.010225;1943.315039
440;3076;0.010250;1991.378455
450;2208;0.010525;2039.511887
460;1515;0.010625;2087.924104
470;1684;0.010300;2136.048210
480;3340;0.010700;2184.205964
490;4205;0.010600;2232.364295
