k;seed;inf;tim
0;23;0.000000;0.001372
10;2739;0.000000;11.745270
20;643;0.000125;23.511516
30;3634;0.000300;35.297681
40;1033;0.000800;47.090171
50;1039;0.000950;58.902187
60;4199;0.001150;70.725163
70;3992;0.001625;82.778218
80;5784;0.001800;94.653188
90;1155;0.002500;106.566246
100;714;0.002425;118.495935
110;3651;0.002975;130.429147
120;67;0.003625;142.394878
130;872;0.003925;154.391334
140;2252;0.004425;166.417426
150;3290;0.004950;178.459560
160;5346;0.005450;190.517990
170;189;0.006125;202.597107
180;1711;0.006575;214.692592
190;4760;0.006625;226.823133
200;1331;0.006825;238.963688
210;5542;0.007450;251.115551
220;136;0.007650;263.307426
230;3698;0.007850;275.521543
240;4137;0.008375;287.761145
250;987;0.008875;299.994638
260;182;0.008975;312.257787
270;1745;0.008900;324.547314
280;5142;0.009650;336.848389
290;2807;0.009250;349.161906
300;3773;0.009550;361.482089
310;5372;0.009625;373.805576
320;3960;0.009375;386.137605
330;3724;0.009725;398.492523
340;1403;0.009750;410.849072
350;97;0.009650;423.222679
360;3939;0.009750;435.589227
370;1126;0.009725;447.967105
380;2715;0.009875;460.358914
390;4989;0.009700;472.767314
400;5302;0.009775;485.158060
410;3323;0.009975;497.544117
420;2576;0.009625;509.953246
430;2744;0.010075;522.355989
440;2411;0.010175;534.788823
450;3935;0.009800;547.225000
460;1631;0.009725;559.655158
470;5504;0.009875;572.086071
480;2751;0.010025;584.512134
490;1457;0.010025;596.947871
