k;seed;inf;tim
0;23;0.000000;0.001402
10;5316;0.000000;11.757410
20;942;0.000025;23.529474
30;326;0.000275;35.322972
40;1006;0.000725;47.145153
50;1029;0.000925;58.972952
60;132;0.001300;70.833561
70;5774;0.001675;82.735109
80;1163;0.002100;94.645673
90;2957;0.002350;106.583212
100;4273;0.002600;118.522554
110;4386;0.002825;130.490480
120;4571;0.003675;142.500540
130;2333;0.003925;154.536209
140;5346;0.004575;166.591030
150;4001;0.005050;178.662189
160;782;0.005400;190.764128
170;206;0.005725;202.870704
180;3698;0.006450;215.002916
190;537;0.006050;227.151723
200;3917;0.007150;239.333168
210;3548;0.007625;251.534846
220;519;0.007800;263.756420
230;1150;0.007850;275.998267
240;4262;0.008375;288.249641
250;247;0.008750;300.513422
260;4086;0.009050;312.791355
270;3792;0.008800;325.090395
280;1564;0.009025;337.398227
290;3805;0.009475;349.725497
300;4800;0.009675;362.063338
310;385;0.009600;374.398147
320;954;0.009400;386.726211
330;1378;0.009275;399.052950
340;3031;0.009500;411.393028
350;212;0.009900;423.766940
360;141;0.010025;436.143044
370;2013;0.009550;448.524961
380;3111;0.009750;460.909903
390;4914;0.009875;473.303645
400;1609;0.009925;485.714872
410;3510;0.009975;498.139023
420;3352;0.010275;510.558954
430;3529;0.009725;522.993018
440;965;0.009675;535.435351
450;2329;0.009650;547.895431
460;1367;0.009675;560.361596
470;2546;0.010225;572.836687
480;2528;0.009850;585.461395
490;843;0.009925;597.947295
