k;seed;inf;tim
0;4038;0.000000;0.010392
10;4012;0.000000;0.221297
20;3969;0.000000;1.121242
30;3927;0.000000;3.029394
40;3834;0.000000;5.365506
50;3620;0.000000;7.859750
60;107;0.000000;10.643136
70;3422;0.000000;16.937877
80;2935;0.000000;25.848297
90;2926;0.000000;37.776112
100;917;0.000000;53.726917
110;2799;0.000000;72.237366
120;564;0.000000;92.054784
130;2036;0.000000;112.679634
140;2021;0.000000;134.079470
150;1812;0.000000;156.350823
160;1324;0.000000;179.306945
170;1714;0.000000;202.904579
180;1376;0.000000;227.122427
190;1319;0.000000;252.048224
200;33;0.000000;277.674830
210;812;0.000000;303.023910
220;397;0.000000;328.498318
230;305;0.000000;353.198560
240;210;0.000000;378.041469
250;1730;0.000200;402.954378
260;1819;0.002700;428.275653
270;1988;0.004650;455.368526
280;3;0.006675;481.717939
290;1977;0.009725;508.081008
300;145;0.014550;534.926127
310;745;0.016725;562.507278
320;347;0.025025;589.930194
330;3366;0.031600;618.744453
340;914;0.039375;647.366355
350;1457;0.049000;676.028701
360;2357;0.062100;704.982844
370;42;0.068575;733.506567
380;318;0.078300;761.879936
390;2015;0.087525;790.446186
400;1362;0.106175;819.203666
410;1510;0.139450;849.245992
420;2407;0.129800;879.429238
430;2116;0.156625;909.786982
440;3931;0.200125;940.320576
450;294;0.217125;970.970565
460;3802;0.244300;1001.813946
470;3512;0.233575;1032.034277
480;3924;0.281300;1062.081496
490;1749;0.302925;1093.324582
