k;seed;inf;tim
0;4038;0.000000;0.010212
10;4012;0.000000;0.217635
20;351;0.000000;1.093157
30;3943;0.000000;2.965030
40;3865;0.000000;5.289618
50;3676;0.000000;7.795402
60;3478;0.000000;10.576751
70;2403;0.000000;16.673433
80;3059;0.000000;25.446677
90;2932;0.000000;36.967750
100;2926;0.000000;52.426656
110;564;0.000000;70.270108
120;2754;0.000000;89.450913
130;2424;0.000000;109.439159
140;2034;0.000000;130.275422
150;863;0.000000;151.938920
160;587;0.000000;174.327220
170;1776;0.000000;197.191682
180;1732;0.000000;220.380609
190;356;0.000000;244.084618
200;1341;0.000000;268.261072
210;1137;0.000000;292.832001
220;719;0.000000;317.634987
230;336;0.000000;342.602716
240;15;0.000000;367.956893
250;18;0.000200;393.627699
260;1708;0.002125;418.946459
270;3949;0.004350;444.596165
280;182;0.005175;470.644258
290;559;0.006650;498.103486
300;1650;0.012325;525.737833
310;3885;0.016300;553.613223
320;3873;0.021125;581.253758
330;233;0.027625;609.623712
340;3960;0.039600;638.006419
350;3852;0.050575;667.321350
360;2289;0.063600;695.990152
370;245;0.072275;724.411960
380;3469;0.071050;753.010337
390;229;0.092225;781.763373
400;263;0.087225;810.722499
410;71;0.127825;840.724891
420;1801;0.147525;872.010919
430;1282;0.158350;903.965284
440;3608;0.169875;935.025843
450;1072;0.218475;966.971148
460;327;0.233375;997.295747
470;946;0.225525;1028.441183
480;1947;0.247175;1059.752675
490;3318;0.292800;1091.244400
