k;seed;inf;tim
0;107;0.000000;0.002809
10;1285;0.000000;0.369395
20;1231;0.000000;1.542440
30;2652;0.000000;3.769370
40;3926;0.000000;7.072069
50;1090;0.000000;11.278738
60;572;0.000000;16.315616
70;2103;0.000000;21.929255
80;2899;0.000000;28.064580
90;2271;0.000000;34.722664
100;2378;0.000000;41.741214
110;1879;0.000000;49.043218
120;3859;0.000000;56.582726
130;358;0.000000;64.497412
140;1865;0.000000;72.633621
150;3720;0.000000;81.056608
160;3111;0.000000;90.151252
170;3748;0.000000;99.383136
180;230;0.000000;108.745042
190;2473;0.000000;118.233118
200;1808;0.000000;127.764736
210;210;0.000000;137.375871
220;3415;0.000000;147.056528
230;3943;0.000000;156.773911
240;207;0.000000;166.190641
250;1734;0.000000;175.638938
260;1812;0.000000;185.372572
270;3987;0.000000;195.218947
280;1067;0.000000;205.028925
290;3495;0.000000;214.897420
300;2013;0.000000;224.813502
310;4025;0.000000;234.743090
320;12;0.000050;244.542934
330;1625;0.000375;254.230042
340;1736;0.001000;263.920129
350;2402;0.002325;273.437448
360;1550;0.004100;283.000461
370;21;0.006975;292.627474
380;1400;0.007975;302.326860
390;2138;0.009600;312.079053
400;3901;0.012200;321.898876
410;511;0.011600;331.740139
420;378;0.016675;341.637554
430;2253;0.020975;351.560187
440;1156;0.027200;361.737660
450;3357;0.030050;372.108546
460;3958;0.041725;382.546080
470;315;0.043125;393.037656
480;3845;0.035800;403.564600
490;3712;0.046950;414.125850
