k;seed;inf;tim
0;107;0.000000;0.002308
10;838;0.000000;0.368533
20;1312;0.000000;1.563080
30;1192;0.000000;3.610656
40;3175;0.000000;6.434897
50;1827;0.000000;9.940991
60;639;0.000000;14.103998
70;3846;0.000000;18.820771
80;2427;0.000000;24.094012
90;324;0.000000;29.753435
100;2250;0.000000;35.700475
110;2053;0.000000;41.995673
120;3697;0.000000;48.683698
130;1968;0.000000;55.671144
140;2887;0.000000;62.932176
150;215;0.000000;70.370258
160;1946;0.000000;77.958203
170;3866;0.000000;85.650575
180;3573;0.000000;93.436690
190;1732;0.000000;101.325252
200;404;0.000000;109.310904
210;3943;0.000000;117.375723
220;74;0.000000;125.515059
230;1506;0.000000;133.711690
240;582;0.000000;141.954072
250;4016;0.000000;150.452151
260;287;0.000000;158.755650
270;15;0.000000;167.082851
280;12;0.000025;175.451392
290;2854;0.000825;183.854471
300;1736;0.001600;192.371580
310;566;0.002750;201.037732
320;973;0.003525;209.786726
330;2038;0.005450;218.630481
340;3324;0.005675;227.547560
350;3777;0.009200;236.531791
360;81;0.012100;245.627963
370;3821;0.011225;254.796461
380;1113;0.015650;264.018835
390;2727;0.020225;273.313414
400;3181;0.025275;282.671567
410;2418;0.030550;292.096378
420;2530;0.032975;301.599104
430;3361;0.039600;311.138815
440;2508;0.043075;320.742433
450;2111;0.055400;330.393524
460;2886;0.061975;340.082259
470;703;0.056625;349.826977
480;1389;0.070875;359.595495
490;2271;0.076450;369.411109
