k;seed;inf;tim
0;271;1.000000;0.000116
10;481;1.000000;0.017529
20;343;1.000000;0.055751
30;263;1.000000;0.106541
40;350;1.000000;0.167335
50;428;1.000000;0.238178
60;464;1.000000;0.316459
70;43;1.000000;0.401151
80;33;1.000000;0.492795
90;267;1.000000;0.591090
100;402;1.000000;0.695420
110;425;1.000000;0.803397
120;94;1.000000;0.914260
130;345;1.000000;1.027729
140;259;1.000000;1.143776
150;424;1.000000;1.262993
160;227;1.000000;1.386486
170;35;1.000000;1.513676
180;437;1.000000;1.644426
190;213;1.000000;1.779107
200;6;1.000000;1.916929
210;418;1.000000;2.057740
220;59;1.000000;2.200816
230;48;1.000000;2.346580
240;371;1.000000;2.494033
250;30;1.000000;2.643177
260;202;1.000000;2.794427
270;242;1.000000;2.947498
280;310;1.000000;3.101394
290;133;1.000000;3.255811
300;218;1.000000;3.410002
310;183;1.000000;3.564584
320;140;1.000000;3.719935
330;198;1.000000;3.875361
340;471;1.000000;4.031454
350;276;1.000000;4.187518
360;138;1.000000;4.344165
370;434;1.000000;4.501378
380;356;1.000000;4.659063
390;365;1.000000;4.817049
400;23;1.000000;4.975940
410;458;1.000000;5.135218
420;455;1.000000;5.294910
430;403;1.000000;5.454452
440;139;1.000000;5.614317
450;110;1.000000;5.774773
460;153;1.000000;5.935611
470;22;1.000000;6.097120
480;234;1.000000;6.259417
490;244;1.000000;6.422388
