k;seed;inf;tim
0;271;0.000000;0.000090
10;463;0.000000;0.013059
20;426;0.000000;0.031533
30;365;0.000000;0.058276
40;217;0.000000;0.094250
50;201;0.000000;0.141209
60;136;0.001000;0.197084
70;196;0.002000;0.259241
80;194;0.004000;0.327540
90;114;0.004000;0.402191
100;477;0.008000;0.483252
110;98;0.013000;0.571353
120;442;0.013000;0.664961
130;168;0.007000;0.765405
140;93;0.013000;0.870109
150;106;0.012000;0.980654
160;496;0.011000;1.096913
170;157;0.005000;1.219254
180;113;0.023000;1.346033
190;103;0.018000;1.478009
200;337;0.021000;1.613740
210;290;0.026000;1.752388
220;28;0.026000;1.893478
230;102;0.023000;2.037151
240;472;0.021000;2.182378
250;51;0.028000;2.328969
260;120;0.018000;2.477917
270;316;0.024000;2.627466
280;224;0.020000;2.779433
290;390;0.027000;2.931285
300;468;0.080000;3.082929
310;307;0.084000;3.234582
320;184;0.080000;3.386358
330;165;0.087000;3.538232
340;420;0.087000;3.690527
350;499;0.103000;3.843041
360;499;0.076000;3.995944
370;499;0.095000;4.148597
380;499;0.073000;4.300931
390;499;0.101000;4.453081
400;499;0.085000;4.605125
410;499;0.104000;4.757393
420;499;0.095000;4.911652
430;499;0.094000;5.063992
440;499;0.084000;5.216544
450;499;0.089000;5.368780
460;499;0.108000;5.520910
470;499;0.089000;5.673022
480;499;0.092000;5.825400
490;499;0.076000;5.977778
