k;seed;inf;tim
0;271;1.000000;0.000116
10;45;1.000000;0.016305
20;347;1.000000;0.046064
30;52;1.000000;0.085697
40;84;1.000000;0.136079
50;191;1.000000;0.191967
60;354;1.000000;0.254954
70;124;1.000000;0.325197
80;210;1.000000;0.399800
90;73;1.000000;0.477682
100;363;1.000000;0.558298
110;365;1.000000;0.642115
120;425;1.000000;0.731401
130;318;1.000000;0.825350
140;121;1.000000;0.924514
150;53;1.000000;1.028135
160;496;1.000000;1.136527
170;168;1.000000;1.249524
180;219;1.000000;1.367348
190;444;1.000000;1.489877
200;267;1.000000;1.616054
210;446;1.000000;1.746861
220;358;1.000000;1.880798
230;349;1.000000;2.017673
240;377;1.000000;2.157323
250;103;1.000000;2.299000
260;311;1.000000;2.443076
270;392;1.000000;2.589253
280;376;1.000000;2.737022
290;314;1.000000;2.886267
300;265;1.000000;3.037230
310;304;1.000000;3.188568
320;38;1.000000;3.341317
330;156;1.000000;3.494520
340;41;1.000000;3.648051
350;25;1.000000;3.802036
360;100;1.000000;3.956951
370;274;1.000000;4.111396
380;51;1.000000;4.266058
390;471;1.000000;4.420740
400;195;1.000000;4.576564
410;383;1.000000;4.732404
420;42;1.000000;4.888529
430;490;1.000000;5.045477
440;447;1.000000;5.202163
450;428;1.000000;5.359125
460;89;1.000000;5.517234
470;142;1.000000;5.675469
480;75;1.000000;5.834292
490;209;1.000000;5.994516
