k;seed;inf;tim
0;499;0.000000;0.000663
10;459;0.000000;0.025459
20;427;0.000000;0.081437
30;333;0.000000;0.168635
40;216;0.000000;0.282948
50;191;0.000000;0.433431
60;124;0.000100;0.610859
70;377;0.006300;0.809732
80;152;0.013100;1.029435
90;35;0.025000;1.268153
100;118;0.043200;1.528955
110;69;0.057800;1.809584
120;93;0.086400;2.108627
130;249;0.115700;2.427746
140;323;0.157700;2.765091
150;487;0.215200;3.124254
160;345;0.278800;3.497892
170;398;0.363100;3.889874
180;145;0.432500;4.297735
190;379;0.503400;4.719231
200;498;0.548400;5.153808
210;473;0.595600;5.596898
220;436;0.648300;6.048307
230;311;0.718400;6.508855
240;66;0.780500;6.976518
250;438;0.824400;7.450665
260;164;0.857000;7.930392
270;116;0.898400;8.415859
280;292;0.934800;8.903863
290;170;0.870000;9.395848
300;316;0.968200;9.889381
310;269;0.981800;10.385487
320;62;0.990600;10.882657
330;223;0.994800;11.382293
340;493;0.997100;11.882264
350;49;0.999900;12.383565
360;420;0.999300;12.885699
370;360;1.000000;13.387308
380;335;1.000000;13.889453
390;310;1.000000;14.392348
400;297;1.000000;14.896444
410;279;1.000000;15.398988
420;263;1.000000;15.900955
430;209;1.000000;16.402282
440;138;1.000000;16.904284
450;101;1.000000;17.407365
460;79;1.000000;17.910711
470;52;1.000000;18.416035
480;34;1.000000;18.923013
490;20;1.000000;19.429719
