k;seed;inf;tim
0;271;0.000000;0.000029
10;454;0.000000;0.005818
20;399;0.000000;0.015256
30;237;0.000000;0.028947
40;204;0.000000;0.046142
50;158;0.000000;0.067120
60;419;0.001500;0.091596
70;425;0.003600;0.119498
80;402;0.006900;0.151711
90;358;0.013500;0.188688
100;448;0.025600;0.230567
110;235;0.035200;0.277416
120;31;0.048300;0.330538
130;78;0.068000;0.389387
140;446;0.084200;0.453084
150;247;0.104300;0.520585
160;356;0.122000;0.592969
170;132;0.137300;0.670490
180;435;0.166500;0.752634
190;244;0.196500;0.838953
200;404;0.222100;0.930080
210;151;0.271600;1.026509
220;252;0.293500;1.127836
230;225;0.344400;1.233488
240;322;0.392800;1.343233
250;54;0.445500;1.457155
260;400;0.486500;1.575484
270;117;0.541500;1.697156
280;357;0.580300;1.822834
290;224;0.634000;1.950749
300;273;0.667700;2.081200
310;312;0.731300;2.213605
320;100;0.766900;2.347756
330;354;0.780300;2.484534
340;245;0.852700;2.621970
350;72;0.886300;2.759652
360;107;0.913900;2.898219
370;111;0.943200;3.037532
380;261;0.958300;3.177806
390;275;0.975200;3.317765
400;61;0.979700;3.457008
410;465;0.989400;3.596301
420;317;0.992200;3.736245
430;48;0.994600;3.876100
440;129;0.998300;4.015189
450;299;0.999100;4.153423
460;499;1.000000;4.291739
470;499;1.000000;4.430130
480;499;1.000000;4.569409
490;499;1.000000;4.708382
