k;seed;inf;tim
0;263;0.000000;0.000028
10;477;0.000000;0.012064
20;445;0.000000;0.039925
30;399;0.000000;0.084658
40;262;0.000000;0.138365
50;237;0.000000;0.200873
60;205;0.000000;0.273096
70;170;0.000000;0.357092
80;144;0.010800;0.448393
90;315;0.053100;0.547071
100;111;0.105000;0.654034
110;168;0.174200;0.768160
120;394;0.243600;0.889327
130;206;0.292600;1.015952
140;462;0.407900;1.146981
150;145;0.488300;1.282251
160;155;0.579400;1.421346
170;183;0.639000;1.563544
180;53;0.683700;1.708574
190;334;0.720800;1.856205
200;54;0.786800;2.006114
210;326;0.832200;2.157633
220;118;0.871200;2.310225
230;38;0.882800;2.463767
240;419;0.923600;2.618034
250;157;0.952400;2.772728
260;351;0.975200;2.928090
270;287;0.976000;3.084072
280;64;0.989000;3.240234
290;409;0.987600;3.396686
300;499;0.999900;3.553336
310;499;1.000000;3.709907
320;499;0.999900;3.866619
330;499;1.000000;4.023229
340;499;1.000000;4.179860
350;499;1.000000;4.336647
360;499;1.000000;4.493422
370;499;1.000000;4.650087
380;499;1.000000;4.806670
390;499;1.000000;4.963309
400;499;1.000000;5.119989
410;499;1.000000;5.276477
420;499;0.999800;5.433157
430;499;1.000000;5.589697
440;499;1.000000;5.746204
450;499;1.000000;5.902800
460;499;1.000000;6.059431
470;499;1.000000;6.215942
480;499;1.000000;6.372634
490;499;1.000000;6.529253
