k;seed;inf;tim
0;499;0.000000;0.000690
10;475;0.000000;0.033547
20;440;0.000000;0.118893
30;392;0.000000;0.255424
40;254;0.000000;0.418681
50;224;0.000000;0.610207
60;197;0.000000;0.833009
70;121;0.000000;1.086854
80;156;0.008700;1.359863
90;368;0.073100;1.653957
100;425;0.114500;1.969630
110;161;0.149800;2.306424
120;346;0.227400;2.663436
130;439;0.269700;3.037521
140;168;0.426900;3.427023
150;325;0.471000;3.829244
160;469;0.553500;4.241699
170;332;0.641500;4.664476
180;290;0.650600;5.096685
190;471;0.745300;5.535925
200;90;0.805100;5.981930
210;401;0.839900;6.432326
220;54;0.879600;6.887363
230;92;0.909900;7.344047
240;414;0.933000;7.804172
250;186;0.948900;8.266962
260;65;0.963000;8.731790
270;409;0.983100;9.199704
280;78;0.979200;9.668729
290;373;0.992400;10.139747
300;492;0.999600;10.610385
310;364;0.998900;11.083610
320;406;1.000000;11.557274
330;380;1.000000;12.031384
340;342;0.999900;12.505525
350;321;1.000000;12.979386
360;306;0.999900;13.454287
370;292;1.000000;13.928074
380;278;1.000000;14.402637
390;266;1.000000;14.877058
400;238;1.000000;15.352056
410;207;0.999800;15.826718
420;150;1.000000;16.303804
430;127;1.000000;16.780930
440;99;1.000000;17.259167
450;79;1.000000;17.739265
460;62;1.000000;18.218884
470;45;1.000000;18.700272
480;31;1.000000;19.181748
490;20;1.000000;19.664280
