k;seed;inf;tim
0;263;0.000000;0.000116
10;391;0.000000;0.018391
20;75;0.000000;0.056960
30;470;0.000000;0.109110
40;301;0.000000;0.171218
50;14;0.000000;0.242962
60;231;0.000000;0.322923
70;139;0.000000;0.410129
80;173;0.000000;0.505128
90;101;0.000000;0.607097
100;181;0.000000;0.713178
110;211;0.000000;0.821892
120;362;0.000000;0.933383
130;164;0.000000;1.047647
140;351;0.000000;1.164640
150;490;0.008600;1.284615
160;315;0.060000;1.408665
170;161;0.095100;1.537315
180;472;0.109700;1.669840
190;142;0.146400;1.805668
200;286;0.194500;1.944584
210;10;0.257700;2.086740
220;97;0.335700;2.232104
230;378;0.385700;2.380159
240;335;0.370100;2.530258
250;299;0.504400;2.682219
260;274;0.599500;2.836510
270;42;0.669000;2.992012
280;237;0.858700;3.148324
290;112;0.879500;3.305277
300;44;0.967600;3.462885
310;185;0.934700;3.621002
320;106;1.000000;3.779406
330;444;1.000000;3.938348
340;165;1.000000;4.097495
350;422;1.000000;4.256764
360;3;1.000000;4.416229
370;100;1.000000;4.575919
380;115;1.000000;4.735989
390;341;1.000000;4.896982
400;425;1.000000;5.057999
410;412;1.000000;5.219309
420;428;1.000000;5.380967
430;318;1.000000;5.543237
440;103;1.000000;5.705929
450;34;1.000000;5.868902
460;294;1.000000;6.032705
470;7;1.000000;6.196948
480;72;1.000000;6.362127
490;193;1.000000;6.528206
