k;seed;inf;tim
0;3781;0.000000;0.007878
10;3771;0.000000;0.348467
20;3760;0.000000;1.034977
30;3750;0.000000;1.980790
40;3741;0.000000;3.178451
50;3732;0.000000;4.585269
60;3722;0.000000;6.214174
70;3707;0.000000;8.079358
80;3695;0.000000;10.097230
90;3682;0.000000;12.212404
100;3669;0.000000;14.448838
110;3654;0.000000;16.793574
120;3643;0.000000;19.326636
130;3624;0.000000;22.108218
140;3616;0.000000;25.034754
150;3607;0.000000;28.194313
160;3588;0.000000;31.538723
170;3574;0.000000;35.062435
180;148;0.000000;38.721255
190;3550;0.000000;42.437362
200;3538;0.000000;46.182858
210;3528;0.000000;50.096583
220;3514;0.000000;54.163935
230;3504;0.000000;58.315293
240;3494;0.000000;62.612919
250;815;0.000000;67.115324
260;3473;0.000000;71.715806
270;3463;0.000000;76.380192
280;3449;0.000000;81.112371
290;3438;0.000000;85.940259
300;3424;0.000000;90.976416
310;3409;0.000000;96.076400
320;3399;0.000000;101.294494
330;527;0.000000;106.575992
340;3357;0.000000;111.980528
350;3346;0.000000;117.542363
360;3333;0.000000;123.189922
370;3314;0.000000;128.941298
380;3301;0.000000;134.807706
390;3277;0.000000;140.843654
400;3266;0.000000;146.919806
410;3254;0.000000;152.992031
420;3233;0.000000;159.141216
430;1698;0.000000;165.342454
440;615;0.000000;171.618551
450;3226;0.000000;177.967781
460;3190;0.000000;184.491383
470;3173;0.000000;191.254404
480;3161;0.000000;198.022656
490;783;0.000000;204.945461
