k;seed;inf;tim
0;1;0.000000;0.001685
10;710;0.000000;0.292650
20;875;0.000000;0.856127
30;275;0.000000;1.605749
40;78;0.000000;2.466687
50;304;0.000000;3.401548
60;1358;0.000000;4.422690
70;1908;0.000000;5.517047
80;82;0.000000;6.699868
90;1411;0.000000;7.964408
100;2569;0.000000;9.288781
110;559;0.000000;10.708132
120;682;0.000000;12.216589
130;1805;0.000000;13.801442
140;558;0.000000;15.440830
150;2620;0.000000;17.149008
160;1319;0.000000;18.905015
170;2664;0.000000;20.700763
180;690;0.000000;22.567276
190;3081;0.000000;24.435426
200;1087;0.000000;26.371616
210;514;0.000000;28.335755
220;3311;0.000000;30.314581
230;1918;0.000000;32.337257
240;2112;0.000000;34.375459
250;630;0.000000;36.439068
260;177;0.000000;38.549958
270;1928;0.000000;40.737615
280;187;0.000000;42.977738
290;8;0.000000;45.249971
300;2064;0.000000;47.541092
310;895;0.000000;49.838998
320;1699;0.000000;52.154973
330;775;0.000000;54.523167
340;585;0.000000;56.917312
350;1906;0.000000;59.385540
360;1703;0.000000;61.943093
370;1557;0.000000;64.515789
380;1008;0.000000;67.058106
390;891;0.000000;69.661094
400;639;0.000000;72.333703
410;3647;0.000000;75.018779
420;593;0.000000;77.732704
430;823;0.000000;80.471998
440;1683;0.000000;83.251947
450;2218;0.000000;86.047855
460;3137;0.000000;88.912871
470;3501;0.000000;91.824390
480;3000;0.000000;94.769981
490;2982;0.000000;97.760391
