k;seed;inf;tim
0;23;0.000000;0.002730
10;967;0.000000;0.148119
20;1402;0.000000;0.426616
30;3724;0.000000;0.815322
40;2933;0.000000;1.314408
50;4494;0.000000;1.918491
60;159;0.000000;2.620882
70;3561;0.000000;3.431627
80;2576;0.000000;4.334562
90;4733;0.000000;5.332306
100;477;0.000000;6.429580
110;3433;0.000000;7.615146
120;1809;0.000000;8.885610
130;3603;0.000000;10.261412
140;2771;0.000000;11.727285
150;4;0.000000;13.269533
160;5255;0.000000;14.890204
170;2494;0.000000;16.581076
180;3135;0.000000;18.355770
190;4441;0.000000;20.202194
200;4143;0.000000;22.120691
210;1793;0.000000;24.103920
220;1568;0.000000;26.154119
230;5153;0.000000;28.266700
240;5099;0.000000;30.436242
250;1868;0.000000;32.660685
260;662;0.000000;34.961057
270;5677;0.000000;37.318832
280;3624;0.000000;39.733093
290;2583;0.000000;42.198619
300;471;0.000000;44.707159
310;5137;0.000000;47.272265
320;5500;0.000000;49.906324
330;4330;0.000000;52.579848
340;89;0.000000;55.305857
350;3653;0.000000;58.074412
360;2701;0.000000;60.891946
370;5843;0.000000;63.750176
380;3299;0.000000;66.647017
390;2129;0.000000;69.599274
400;3189;0.000000;72.594855
410;5517;0.000000;75.629978
420;2339;0.000000;78.721915
430;4442;0.000000;81.848737
440;2773;0.000000;85.000296
450;4740;0.000000;88.190268
460;1955;0.000000;91.418104
470;4696;0.000000;94.693198
480;3843;0.000000;98.018274
490;3298;0.000000;101.370136
