k;seed;inf;tim
0;23;0.000000;0.002619
10;967;0.000000;0.151296
20;1402;0.000000;0.430609
30;3618;0.000000;0.816993
40;2933;0.000000;1.312599
50;93;0.000000;1.916529
60;159;0.000000;2.621733
70;1537;0.000000;3.437681
80;1951;0.000000;4.346362
90;4196;0.000000;5.337704
100;3116;0.000000;6.431003
110;4086;0.000000;7.589971
120;2060;0.000000;8.828411
130;1138;0.000000;10.171275
140;3157;0.000000;11.633343
150;172;0.000000;13.163624
160;1509;0.000000;14.763515
170;488;0.000000;16.438373
180;206;0.000000;18.214415
190;4143;0.000000;20.049343
200;2600;0.000000;21.982145
210;320;0.000000;23.986261
220;1793;0.000000;26.031435
230;1461;0.000000;28.110786
240;5411;0.000000;30.228214
250;3299;0.000000;32.410174
260;233;0.000000;34.660079
270;5677;0.000000;36.967269
280;1799;0.000000;39.308183
290;1324;0.000000;41.688350
300;1050;0.000000;44.136821
310;4797;0.000000;46.643433
320;2713;0.000000;49.182839
330;2430;0.000000;51.769416
340;161;0.000000;54.401424
350;353;0.000000;57.094320
360;66;0.000000;59.852420
370;4522;0.000000;62.694646
380;1587;0.000000;65.546570
390;5492;0.000000;68.455927
400;5341;0.000000;71.414777
410;4602;0.000000;74.432027
420;2815;0.000000;77.513344
430;5843;0.000000;80.662344
440;4164;0.000000;83.851506
450;5358;0.000000;87.038204
460;2773;0.000000;90.249050
470;3581;0.000000;93.515432
480;5032;0.000000;96.889544
490;5006;0.000000;100.293292
