k;seed;inf;tim
0;5880;0.000000;0.011444
10;5869;0.000000;0.164032
20;5859;0.000000;0.399444
30;5849;0.000000;0.767898
40;5837;0.000000;1.217907
50;5820;0.000000;1.741492
60;5807;0.000000;2.333954
70;5796;0.000000;2.980849
80;5786;0.000000;3.733858
90;5774;0.000000;4.548789
100;5763;0.000000;5.409115
110;5752;0.000000;6.320465
120;5826;0.000000;7.299985
130;5732;0.000000;8.328997
140;5714;0.000000;9.412288
150;5704;0.000000;10.569058
160;5692;0.000000;11.866034
170;5678;0.000000;13.264236
180;5665;0.000000;14.752708
190;5653;0.000000;16.312316
200;2071;0.000000;17.950191
210;5629;0.000000;19.692770
220;5620;0.000000;21.526746
230;5606;0.000000;23.442434
240;5593;0.000000;25.436670
250;5582;0.000000;27.516817
260;5566;0.000000;29.660656
270;5551;0.000000;31.904631
280;5538;0.000000;34.229239
290;5511;0.000000;36.644927
300;5546;0.000000;39.182113
310;5477;0.000000;41.808944
320;5467;0.000000;44.507214
330;5457;0.000000;47.336039
340;5443;0.000000;50.249789
350;5425;0.000000;53.238896
360;5404;0.000000;56.299020
370;5392;0.000000;59.406632
380;5370;0.000000;62.596427
390;5356;0.000000;65.872602
400;5343;0.000000;69.190684
410;5329;0.000000;72.580189
420;5311;0.000000;76.009284
430;5299;0.000000;79.481864
440;5287;0.000000;83.025102
450;5276;0.000000;86.615811
460;5257;0.000000;90.258958
470;5243;0.000000;93.965500
480;5234;0.000000;97.752164
490;5224;0.000000;101.581438
