k;seed;inf;tim
0;23;0.000000;0.002536
10;3891;0.000000;0.132452
20;2206;0.000000;0.378821
30;1846;0.000000;0.723756
40;3347;0.000000;1.162165
50;4406;0.000000;1.699858
60;3812;0.000000;2.336518
70;1116;0.000000;3.059499
80;2412;0.000000;3.879819
90;1678;0.000000;4.790137
100;1337;0.000000;5.778107
110;434;0.000000;6.844210
120;4180;0.000000;7.988790
130;2778;0.000000;9.217551
140;4918;0.000000;10.518305
150;401;0.000000;11.893078
160;1322;0.000000;13.332406
170;4971;0.000000;14.824074
180;683;0.000000;16.392718
190;32;0.000000;18.028306
200;19;0.000000;19.713074
210;3358;0.000000;21.435854
220;1787;0.000000;23.209426
230;662;0.000000;25.035787
240;2668;0.000000;26.639972
250;5500;0.000000;28.225211
260;5170;0.000000;29.838327
270;10;0.000000;31.494425
280;3789;0.000000;33.189626
290;1211;0.000000;34.915719
300;5492;0.000000;36.672822
310;2252;0.000000;38.468358
320;1140;0.000000;40.295075
330;353;0.000000;42.164267
340;4718;0.000000;44.059157
350;211;0.000000;45.994758
360;3047;0.000000;47.949524
370;5858;0.000000;49.928895
380;2092;0.000000;51.931551
390;2926;0.000000;53.959359
400;445;0.000000;56.007483
410;145;0.000000;58.076189
420;711;0.000000;60.169663
430;5497;0.000000;62.284182
440;875;0.000000;64.420250
450;4237;0.000000;66.571440
460;5763;0.000000;68.739136
470;3995;0.000000;70.929784
480;3469;0.000000;73.147424
490;5409;0.000000;75.385241
