k;seed;inf;tim
0;1550;0.000000;0.008719
10;81294;0.000000;1.182434
20;81284;0.000000;2.434074
30;81273;0.000000;3.805467
40;81262;0.000000;5.301234
50;81251;0.000000;6.932068
60;81241;0.000000;8.641875
70;81231;0.000000;10.451368
80;81221;0.000000;12.356202
90;81211;0.000000;14.372950
100;81201;0.000000;16.464079
110;81191;0.000000;18.607737
120;81181;0.000000;20.852007
130;81170;0.000000;23.162990
140;81160;0.000000;25.572238
150;81150;0.000000;28.173370
160;81140;0.000000;30.881326
170;81130;0.000000;33.712047
180;81120;0.000000;36.630618
190;81110;0.000000;39.649350
200;81100;0.000000;42.760862
210;81090;0.000000;45.940103
220;81080;0.000000;49.192761
230;81070;0.000000;52.539773
240;81060;0.000000;56.065054
250;81050;0.000000;59.623313
260;81040;0.000000;63.204452
270;81030;0.000000;66.890084
280;81020;0.000000;70.797438
290;81010;0.000000;74.915341
300;81000;0.000000;79.146941
310;80990;0.000000;83.453289
320;80980;0.000000;87.922041
330;80970;0.000000;92.524693
340;80959;0.000000;97.373526
350;80949;0.000000;102.351206
360;80939;0.000000;107.414774
370;80928;0.000000;112.578579
380;80918;0.000000;117.794247
390;80908;0.000000;123.048397
400;80895;0.000000;128.332767
410;80885;0.000000;133.822644
420;80875;0.000000;139.418261
430;80865;0.000000;145.229908
440;80855;0.000000;151.184142
450;80844;0.000000;157.393831
460;80834;0.000000;163.801784
470;80824;0.000000;170.321704
480;80812;0.000000;177.084711
490;80802;0.000000;184.039112
500;80792;0.000000;191.273582
510;80782;0.000000;198.587131
520;80772;0.000000;206.015475
530;80762;0.000000;213.555011
540;80752;0.000000;221.201501
550;80740;0.000000;228.998718
560;80730;0.000000;237.007279
570;80720;0.000000;245.199465
580;80710;0.000000;253.476701
590;80699;0.000000;261.987485
600;80689;0.000000;270.719302
610;80679;0.000000;279.625884
620;80666;0.000000;288.676151
630;80656;0.000000;297.951084
640;80645;0.000000;307.309361
650;80635;0.000000;316.900193
660;80625;0.000000;326.670320
670;80615;0.000000;336.479663
680;80605;0.000000;346.451525
690;80595;0.000000;356.763599
700;80585;0.000000;367.213283
710;80575;0.000000;377.729163
720;80565;0.000000;389.221003
730;80555;0.000000;404.266369
740;80545;0.000000;419.656364
750;80535;0.000000;430.923260
760;80525;0.000000;442.127559
770;80515;0.000000;453.478575
780;80505;0.000000;464.859431
790;80495;0.000000;476.501345
800;80485;0.000000;489.705564
810;80475;0.000000;505.824478
820;80465;0.000000;519.464804
830;80455;0.000000;535.918606
840;80445;0.000000;552.470373
850;80434;0.000000;567.840525
860;80423;0.000000;580.949286
870;80413;0.000000;594.146725
880;80403;0.000000;607.130615
890;80393;0.000000;621.800418
900;80383;0.000000;640.671843
910;80374;0.000000;659.908418
920;80362;0.000000;679.540864
930;80352;0.000000;700.683274
940;80342;0.000000;721.389888
950;80332;0.000000;743.667667
960;80322;0.000000;766.678903
970;80312;0.000000;788.744970
980;80302;0.000000;811.025321
990;80292;0.000000;834.367107
