k;seed;inf;tim
0;1550;0.000000;0.080327
10;818;0.000000;2.561798
20;1733;0.000000;6.158508
30;1131;0.000000;11.062464
40;56;0.000000;17.206126
50;5;0.000000;24.731339
60;87;0.000000;33.713643
70;19711;0.000000;44.072386
80;1168;0.000000;55.762250
90;6198;0.000000;68.680953
100;133;0.000000;82.815601
110;184;0.000000;98.405530
120;6761;0.000000;115.584822
130;9196;0.000000;134.884400
140;9849;0.000000;157.910082
150;7422;0.000000;186.720489
160;19700;0.000000;217.284055
170;3381;0.000000;252.203763
180;28759;0.000000;292.760115
190;15832;0.000000;330.263996
200;23492;0.000000;374.433337
210;3247;0.000000;447.903622
220;1325;0.000000;529.663835
230;1274;0.000000;618.081993
240;23462;0.000000;711.083665
250;22672;0.000000;813.744795
260;24247;0.000000;921.532990
270;2618;0.000000;1031.885350
280;451;0.000000;1109.077099
290;756;0.000000;1184.912241
300;28719;0.000000;1264.177694
310;27571;0.000000;1346.767094
320;13649;0.000000;1430.907096
330;12318;0.000000;1521.038554
340;67982;0.000000;1614.516909
350;42093;0.000000;1711.361647
360;4366;0.000000;1807.355801
370;1709;0.000000;1906.526359
380;16168;0.000000;2010.647424
390;28675;0.000000;2112.795282
400;7725;0.000000;2220.510190
410;40849;0.000000;2331.067062
420;5210;0.000000;2443.770387
430;5611;0.000000;2559.469054
440;3574;0.000000;2673.573492
450;28676;0.000000;2782.114170
460;10365;0.000000;2889.072604
470;6953;0.000000;2984.901414
480;22656;0.000000;3082.804894
490;4352;0.000000;3173.840724
