k;seed;inf;tim
0;81305;0.000000;0.363262
10;81293;0.000000;3.831588
20;81283;0.000000;7.629078
30;81273;0.000000;12.045728
40;81263;0.000000;17.660197
50;81252;0.000000;24.243403
60;81243;0.000000;31.264302
70;78;0.000000;39.137010
80;81225;0.000000;47.973520
90;1;0.000000;57.127221
100;81206;0.000000;66.863717
110;81196;0.000000;76.898360
120;81188;0.000000;87.457773
130;81179;0.000000;99.205596
140;81172;0.000000;111.833543
150;81164;0.000000;126.159983
160;3702;0.000000;142.352157
170;81153;0.000000;161.702134
180;81147;0.000000;184.583480
190;81142;0.000000;210.349519
200;56;0.000000;238.209935
210;81132;0.000000;272.160213
220;81126;0.000000;308.247782
230;81123;0.000000;365.285933
240;81117;0.000000;429.957239
250;81114;0.000000;481.267777
260;81110;0.000000;542.960118
270;81104;0.000000;602.707361
280;2276;0.000000;654.380368
290;81094;0.000000;707.733180
300;81088;0.000000;762.292404
310;81083;0.000000;819.874101
320;6198;0.000000;878.846062
330;184;0.000000;940.626795
340;4189;0.000000;1006.390374
350;81063;0.000000;1078.123684
360;320;0.000000;1155.423847
370;81053;0.000000;1233.421844
380;81049;0.000000;1317.278093
390;81043;0.000000;1402.578520
400;17407;0.000000;1490.083488
410;1391;0.000000;1585.748724
420;81026;0.000000;1685.672869
430;579;0.000000;1810.615716
440;81017;0.000000;1936.260890
450;28700;0.000000;2045.375897
460;7834;0.000000;2151.892874
470;81002;0.000000;2270.011997
480;10063;0.000000;2392.268584
490;80996;0.000000;2524.411664
