k;seed;inf;tim
0;1550;0.000000;0.079523
10;818;0.000000;2.626328
20;1733;0.000000;6.345080
30;1131;0.000000;11.297716
40;11009;0.000000;17.526339
50;2774;0.000000;25.242992
60;87;0.000000;34.429069
70;610;0.000000;44.963213
80;663;0.000000;56.809194
90;40;0.000000;69.932311
100;850;0.000000;84.339596
110;184;0.000000;100.144613
120;23476;0.000000;117.568973
130;21658;0.000000;137.677158
140;18;0.000000;161.541504
150;719;0.000000;190.192014
160;5016;0.000000;220.225888
170;4733;0.000000;255.470761
180;815;0.000000;311.759337
190;21668;0.000000;363.408790
200;5033;0.000000;410.058838
210;28744;0.000000;477.280912
220;937;0.000000;551.421614
230;3644;0.000000;621.067246
240;58061;0.000000;676.615667
250;9987;0.000000;734.745610
260;76921;0.000000;796.902755
270;42103;0.000000;863.637253
280;28674;0.000000;934.405797
290;836;0.000000;1019.592605
300;42134;0.000000;1103.868016
310;79361;0.000000;1185.056013
320;12640;0.000000;1269.964922
330;3121;0.000000;1361.552712
340;50862;0.000000;1453.134990
350;378;0.000000;1548.181326
360;16964;0.000000;1646.789580
370;28761;0.000000;1748.814256
380;33403;0.000000;1850.215595
390;4219;0.000000;1955.857983
400;2576;0.000000;2061.252261
410;543;0.000000;2169.503362
420;9203;0.000000;2281.512054
430;5210;0.000000;2396.797659
440;13594;0.000000;2514.536192
450;15803;0.000000;2633.642021
460;6953;0.000000;2745.349464
470;28553;0.000000;2858.736990
480;47266;0.000000;2958.051350
490;12913;0.000000;3059.930772
