k;seed;inf;tim
0;107;0.000000;0.003327
10;4012;0.011750;64.554206
20;404;0.013750;132.436478
30;74;0.011000;200.592064
40;1067;0.015750;268.840778
50;3764;0.024000;337.217622
60;1820;0.026000;405.717785
70;33;0.028750;474.167880
80;179;0.035250;542.804855
90;1541;0.043750;611.504216
100;3415;0.052500;680.237297
110;2021;0.058000;748.765063
120;3335;0.058750;817.242177
130;1764;0.064750;885.656073
140;286;0.067250;954.412684
150;138;0.068250;1023.096685
160;1506;0.069250;1091.162403
170;3690;0.076250;1155.799311
180;206;0.082250;1220.318016
190;3627;0.087250;1284.905129
200;3694;0.086750;1349.654324
210;160;0.092000;1414.511546
220;2025;0.096250;1479.463394
230;2506;0.097250;1544.498460
240;2495;0.103750;1609.355460
250;2447;0.112250;1674.460040
260;3412;0.117750;1739.520966
270;1943;0.124000;1804.612257
280;1930;0.133500;1870.018967
290;488;0.140500;1935.327470
300;2588;0.145000;2000.578868
310;316;0.152250;2065.763422
320;2662;0.165000;2131.046667
330;1881;0.166750;2196.778308
340;3598;0.162750;2262.073164
350;669;0.176250;2327.580716
360;508;0.185250;2393.096115
370;3313;0.189750;2458.736915
380;3334;0.209750;2524.207723
390;1921;0.224750;2589.666669
400;321;0.228000;2655.673052
410;1566;0.230500;2721.889823
420;1869;0.235500;2788.222723
430;1786;0.237000;2853.874485
440;1891;0.240500;2919.633929
450;1812;0.241000;2985.196292
460;1562;0.249750;3051.043248
470;2003;0.253000;3116.829947
480;3608;0.247500;3183.018019
490;3738;0.256500;3250.865171
