k;seed;inf;tim
0;271;0.000000;0.000090
10;8;0.001000;0.092098
20;262;0.004000;0.176020
30;449;0.008000;0.271496
40;162;0.009000;0.380312
50;180;0.014000;0.502434
60;248;0.031000;0.640589
70;336;0.039000;0.795864
80;288;0.062000;0.965070
90;109;0.075000;1.149223
100;177;0.108000;1.350280
110;408;0.148000;1.573349
120;130;0.209000;1.817715
130;329;0.264000;2.072340
140;129;0.304000;2.340683
150;169;0.340000;2.621957
160;76;0.354000;2.915847
170;466;0.400000;3.219104
180;181;0.418000;3.529461
190;217;0.462000;3.852176
200;94;0.467000;4.176271
210;67;0.493000;4.504854
220;480;0.518000;4.838982
230;277;0.540000;5.177537
240;368;0.557000;5.522636
250;203;0.601000;5.874792
260;458;0.635000;6.228647
270;302;0.691000;6.584088
280;251;0.709000;6.942531
290;29;0.737000;7.303284
300;31;0.743000;7.668343
310;357;0.752000;8.041394
320;360;0.771000;8.407488
330;400;0.823000;8.775528
340;294;0.839000;9.144938
350;385;0.857000;9.518171
360;476;0.861000;9.889427
370;216;0.872000;10.267150
380;116;0.884000;10.638643
390;16;0.895000;11.011528
400;1;0.926000;11.383430
410;90;0.935000;11.755643
420;223;0.942000;12.132969
430;350;0.948000;12.506556
440;95;0.960000;12.878049
450;139;0.969000;13.248626
460;303;0.980000;13.619037
470;297;0.983000;13.989525
480;22;0.990000;14.363389
490;280;0.997000;14.731915
