k;seed;inf;tim
0;271;0.000000;0.000028
1;497;0.000000;0.026448
2;484;0.000000;0.052582
3;237;0.000000;0.078794
4;4;0.000000;0.105160
5;222;0.000300;0.131659
6;182;0.000000;0.158387
7;454;0.000500;0.185442
8;205;0.000800;0.212465
9;244;0.000500;0.238805
10;133;0.000900;0.265224
11;204;0.001500;0.291972
12;477;0.001000;0.319189
13;200;0.001500;0.346832
14;8;0.001100;0.374931
15;188;0.002200;0.403340
16;236;0.002200;0.432159
17;157;0.002100;0.461254
18;149;0.002900;0.490704
19;162;0.002600;0.520466
20;435;0.003500;0.550741
21;491;0.003600;0.581625
22;92;0.002800;0.612867
23;194;0.003800;0.644485
24;41;0.004000;0.676678
25;449;0.004100;0.709387
26;476;0.005200;0.742429
27;446;0.004500;0.775702
28;253;0.005700;0.809594
29;123;0.006200;0.844184
30;290;0.005200;0.879118
31;430;0.006500;0.914368
32;49;0.007000;0.950121
33;168;0.006300;0.987217
34;166;0.007400;1.023844
35;69;0.008600;1.060542
36;375;0.009100;1.097608
37;384;0.009100;1.135165
38;487;0.009100;1.173302
39;235;0.010200;1.211957
40;475;0.009800;1.251058
41;451;0.010900;1.290452
42;381;0.013100;1.330212
43;419;0.012600;1.370566
44;262;0.014100;1.411930
45;196;0.016300;1.453169
46;260;0.015500;1.495318
47;232;0.017400;1.538353
48;248;0.018200;1.581746
49;210;0.017300;1.625661
50;183;0.018600;1.669456
51;361;0.018700;1.713620
52;25;0.018200;1.758334
53;416;0.020100;1.803458
54;345;0.022000;1.849019
55;82;0.021500;1.894975
56;474;0.023600;1.942026
57;128;0.024700;1.989299
58;180;0.024600;2.036981
59;444;0.024400;2.085183
60;387;0.024900;2.133709
61;463;0.027600;2.182823
62;432;0.028900;2.232486
63;195;0.028100;2.282587
64;209;0.029600;2.333459
65;190;0.029500;2.384891
66;89;0.030300;2.436908
67;319;0.031500;2.489451
68;336;0.032500;2.542753
69;431;0.035000;2.596252
70;496;0.035000;2.650196
71;3;0.037800;2.704957
72;395;0.038000;2.760183
73;494;0.039600;2.816420
74;417;0.041000;2.873237
75;173;0.041600;2.930197
76;170;0.044900;2.987175
77;365;0.045100;3.044509
78;193;0.047100;3.102273
79;402;0.051300;3.160609
80;2;0.054600;3.219275
81;483;0.056400;3.278562
82;150;0.056800;3.338475
83;362;0.057100;3.400112
84;221;0.061900;3.461160
85;63;0.062800;3.522678
86;342;0.061700;3.584550
87;328;0.066000;3.646775
88;288;0.070400;3.710418
89;98;0.068900;3.775176
90;72;0.074200;3.839207
91;353;0.074800;3.903696
92;396;0.080200;3.968606
93;490;0.085700;4.034116
94;407;0.086800;4.100323
95;421;0.092600;4.167100
96;11;0.092900;4.235175
97;229;0.097100;4.303161
98;197;0.096500;4.371566
99;459;0.103700;4.440616
100;109;0.108200;4.510224
101;250;0.112100;4.580690
102;304;0.113100;4.651970
103;28;0.113600;4.723911
104;424;0.123200;4.797686
105;498;0.121400;4.870750
106;324;0.129000;4.944397
107;471;0.127200;5.018578
108;434;0.132300;5.093273
109;363;0.136800;5.168618
110;177;0.139000;5.245335
111;192;0.139600;5.322411
112;408;0.142500;5.399530
113;234;0.147500;5.477395
114;488;0.144900;5.555775
115;120;0.147700;5.635256
116;442;0.157200;5.714684
117;457;0.160500;5.794677
118;252;0.164100;5.875311
119;78;0.166400;5.957510
120;175;0.178900;6.039219
121;118;0.178800;6.121535
122;152;0.196100;6.204097
123;445;0.209700;6.287624
124;242;0.208400;6.371457
125;130;0.224100;6.455969
126;9;0.222100;6.541021
127;259;0.235900;6.626695
128;174;0.237500;6.713972
129;202;0.246200;6.800854
130;243;0.245900;6.888216
131;96;0.256800;6.976821
132;372;0.260600;7.065286
133;165;0.261000;7.155376
134;440;0.265300;7.244918
135;439;0.268900;7.335058
136;456;0.274900;7.425939
137;113;0.276800;7.518143
138;155;0.283000;7.611012
139;433;0.286800;7.704088
140;392;0.299500;7.797720
141;54;0.294300;7.891915
142;121;0.298300;7.986480
143;129;0.302300;8.082572
144;410;0.299800;8.177927
