k;seed;inf;tim
0;499;0.000000;0.003415
1;491;0.000000;0.006152
2;490;0.000000;0.008210
3;484;0.000000;0.010446
4;497;0.000000;0.013027
5;480;0.000000;0.015435
6;478;0.000000;0.018111
7;477;0.000000;0.021221
8;475;0.000000;0.024427
9;458;0.000000;0.027555
10;455;0.000000;0.030964
11;463;0.000000;0.035327
12;454;0.000000;0.039255
13;451;0.000000;0.043664
14;449;0.000000;0.048284
15;447;0.000000;0.053297
16;435;0.000000;0.058457
17;81;0.000000;0.063901
18;434;0.000000;0.069750
19;419;0.000000;0.075671
20;417;0.000000;0.081861
21;436;0.000000;0.088180
22;433;0.000000;0.094764
23;412;0.000000;0.101605
24;409;0.000000;0.108600
25;396;0.000000;0.115770
26;345;0.000000;0.123068
27;375;0.000000;0.130433
28;389;0.000000;0.137945
29;365;0.000000;0.145673
30;290;0.000000;0.153476
31;262;0.000000;0.161391
32;260;0.000000;0.169242
33;259;0.000000;0.177259
34;253;0.000000;0.185570
35;408;0.000000;0.194006
36;401;0.000000;0.202762
37;250;0.000000;0.211634
38;237;0.000000;0.220744
39;242;0.000000;0.230045
40;1;0.000000;0.239472
41;363;0.000000;0.249189
42;91;0.000000;0.258978
43;232;0.000000;0.268931
44;212;0.000000;0.279305
45;407;0.000000;0.289828
46;236;0.000000;0.300446
47;235;0.000000;0.311396
48;70;0.000000;0.322588
49;220;0.000000;0.334067
50;204;0.000000;0.345649
51;193;0.000000;0.357368
52;188;0.000000;0.369451
53;157;0.000100;0.381589
54;202;0.000000;0.394155
55;133;0.000200;0.406964
56;160;0.000300;0.419985
57;174;0.000400;0.433445
58;112;0.000600;0.447155
59;425;0.000500;0.461579
60;159;0.000800;0.476058
61;38;0.000900;0.490890
62;5;0.001700;0.506091
63;266;0.002100;0.522089
64;150;0.002300;0.538729
65;149;0.003100;0.555788
66;303;0.003600;0.573338
67;487;0.003700;0.591496
68;53;0.004700;0.610278
69;240;0.005000;0.629503
70;62;0.004900;0.649537
71;128;0.006500;0.669784
72;338;0.006800;0.690589
73;213;0.007300;0.712130
74;361;0.009000;0.734479
75;473;0.010600;0.757450
76;17;0.011000;0.781285
77;292;0.012200;0.806037
78;311;0.012300;0.831450
79;198;0.012600;0.857569
80;248;0.014100;0.884259
81;152;0.015300;0.911573
82;298;0.016700;0.939467
83;41;0.017700;0.968036
84;256;0.019300;0.997386
85;13;0.019400;1.027366
86;413;0.019100;1.057689
87;4;0.020400;1.088666
88;7;0.021100;1.119904
89;304;0.022500;1.151529
90;32;0.022900;1.183772
91;488;0.023100;1.216532
92;348;0.024300;1.249978
93;496;0.023800;1.283969
94;336;0.026700;1.318472
95;398;0.026100;1.353277
96;95;0.027700;1.388326
97;69;0.026800;1.423727
98;50;0.028600;1.459548
99;44;0.029400;1.495710
100;430;0.030700;1.532306
101;258;0.031400;1.569221
102;222;0.032400;1.606450
