k;seed;inf;tim
0;263;0.155900;0.000149
1;474;0.196500;0.068264
2;434;0.218900;0.136717
3;271;0.225200;0.205044
4;320;0.309100;0.273359
5;86;0.329300;0.341819
6;470;0.338000;0.410300
7;478;0.346100;0.478784
8;26;0.344100;0.547350
9;205;0.359800;0.615887
10;471;0.366400;0.684479
11;160;0.391700;0.753140
12;380;0.388100;0.821822
13;272;0.393800;0.890601
14;0;0.395200;0.959367
15;397;0.398200;1.028046
16;173;0.400100;1.096874
17;417;0.402800;1.165615
18;257;0.406000;1.234485
19;1;0.418100;1.303299
20;343;0.444800;1.372185
21;300;0.440400;1.441223
22;315;0.450900;1.510128
23;238;0.442000;1.578981
24;307;0.457200;1.647938
25;240;0.452400;1.716856
26;250;0.460900;1.785938
27;392;0.465000;1.854880
28;2;0.476900;1.923942
29;465;0.486300;1.993170
30;462;0.492300;2.062315
31;254;0.499800;2.131432
32;450;0.513900;2.200617
33;231;0.514300;2.269853
34;132;0.521700;2.339207
35;195;0.535100;2.408443
36;456;0.547700;2.477772
37;472;0.558400;2.547166
38;269;0.568500;2.616563
39;95;0.571000;2.685897
40;283;0.571500;2.755210
41;331;0.568600;2.824507
42;259;0.564100;2.893897
43;413;0.571800;2.963190
44;159;0.575200;3.032510
45;476;0.575500;3.101823
46;244;0.578400;3.171187
47;391;0.586700;3.240598
48;458;0.592100;3.310029
49;28;0.595500;3.379441
50;301;0.597900;3.448865
51;364;0.602200;3.518308
52;334;0.594700;3.587804
53;58;0.599300;3.657215
54;399;0.611900;3.726626
55;97;0.605000;3.796073
56;35;0.614100;3.865563
57;201;0.618700;3.934960
58;188;0.621900;4.004436
59;93;0.630100;4.073963
60;439;0.629300;4.143545
61;136;0.632100;4.213087
62;47;0.639300;4.282617
63;239;0.644100;4.352147
64;248;0.643900;4.421753
65;466;0.647700;4.491296
66;241;0.647900;4.560880
67;169;0.652900;4.630541
68;122;0.649000;4.700239
69;220;0.657500;4.769838
70;78;0.671400;4.839528
71;151;0.669400;4.909155
72;177;0.668900;4.978809
73;142;0.669300;5.048508
74;30;0.680000;5.118145
75;424;0.676800;5.187975
76;94;0.680800;5.257756
77;219;0.683300;5.327485
78;161;0.685700;5.397335
79;116;0.683100;5.466996
80;64;0.691700;5.536686
81;448;0.690800;5.606444
82;477;0.691400;5.676176
83;42;0.695400;5.745991
84;12;0.695200;5.815715
85;226;0.688200;5.885491
86;280;0.696600;5.955365
87;388;0.694700;6.025116
88;479;0.693400;6.094823
89;38;0.698100;6.164578
90;302;0.700900;6.234329
91;463;0.701600;6.304209
92;77;0.700800;6.373938
93;143;0.703800;6.443706
94;144;0.707500;6.513594
95;402;0.713800;6.583381
96;396;0.714700;6.653156
97;218;0.714500;6.722958
98;427;0.718300;6.792793
99;473;0.722000;6.862668
100;255;0.720200;6.932493
101;258;0.726200;7.002410
102;242;0.731700;7.072314
103;487;0.734100;7.142252
104;29;0.742600;7.212200
105;481;0.738400;7.282143
106;81;0.743000;7.352072
107;499;0.745000;7.421988
108;488;0.743300;7.491972
109;128;0.746500;7.561975
110;492;0.749400;7.631952
111;496;0.752600;7.701921
112;63;0.751100;7.771899
113;83;0.745600;7.841897
114;285;0.750400;7.911847
115;384;0.751700;7.981814
116;121;0.754300;8.051934
117;480;0.752000;8.122165
118;299;0.756500;8.192161
119;440;0.756200;8.262165
120;490;0.758500;8.332153
121;366;0.762500;8.402144
122;192;0.761400;8.472122
123;365;0.770300;8.542079
124;435;0.776600;8.612182
125;189;0.773400;8.682177
126;246;0.771700;8.752156
127;5;0.776900;8.822241
128;69;0.778200;8.892206
129;208;0.776400;8.962329
130;20;0.776800;9.032499
131;9;0.785600;9.102528
132;191;0.784100;9.172481
133;65;0.785900;9.242479
134;193;0.790700;9.312418
135;187;0.786100;9.382381
136;346;0.787500;9.452339
137;282;0.790000;9.522323
138;297;0.796800;9.592315
139;274;0.790500;9.662312
140;10;0.800000;9.732382
141;186;0.798600;9.802352
142;482;0.802700;9.872304
143;330;0.805600;9.942275
144;306;0.798900;10.012189
145;236;0.808900;10.082091
146;316;0.801700;10.152095
147;368;0.803500;10.222039
148;60;0.812800;10.292083
149;289;0.806400;10.362014
150;363;0.811100;10.431934
151;403;0.810800;10.501886
152;33;0.816200;10.571777
153;71;0.813200;10.641686
154;273;0.811900;10.711710
155;414;0.816700;10.781860
156;131;0.822800;10.851946
157;389;0.823000;10.921869
158;230;0.822500;10.991781
159;284;0.826600;11.061725
160;310;0.823400;11.131638
161;183;0.830000;11.201503
162;15;0.832500;11.271455
163;55;0.829900;11.341401
164;437;0.833700;11.411542
165;74;0.839200;11.481442
166;73;0.843600;11.551386
167;233;0.840100;11.621306
168;276;0.840200;11.691189
169;270;0.847600;11.761101
170;419;0.849400;11.831003
171;408;0.845100;11.900958
172;251;0.852400;11.971039
173;211;0.853800;12.040975
174;156;0.858800;12.110915
175;323;0.852700;12.180814
176;237;0.855600;12.250713
177;245;0.857800;12.320617
178;46;0.858600;12.390528
179;469;0.859700;12.460437
180;279;0.863100;12.530464
181;468;0.863000;12.600384
182;180;0.857600;12.670329
183;325;0.859700;12.740234
184;398;0.864200;12.810084
185;278;0.862400;12.879825
186;6;0.863400;12.949571
187;298;0.873000;13.019303
188;486;0.868100;13.089129
189;204;0.872100;13.158905
190;109;0.878900;13.228663
191;296;0.871700;13.298385
192;348;0.875100;13.368189
193;494;0.876200;13.438132
194;11;0.878100;13.507846
195;433;0.882700;13.577583
196;328;0.886600;13.647337
197;253;0.880600;13.717099
198;415;0.884300;13.786844
199;232;0.884200;13.856546
200;459;0.887600;13.926259
201;152;0.890200;13.995904
202;464;0.887900;14.065555
203;350;0.890100;14.135246
204;167;0.893900;14.204977
205;261;0.888900;14.274767
206;288;0.890400;14.344464
207;382;0.897000;14.414100
208;495;0.894300;14.483806
209;452;0.893600;14.553418
210;88;0.893700;14.623026
211;84;0.896700;14.692670
212;352;0.896700;14.762359
213;376;0.898900;14.832171
214;260;0.895500;14.901826
215;133;0.898700;14.971465
216;404;0.896300;15.041097
217;223;0.900200;15.110682
218;353;0.897800;15.180291
