k;seed;inf;tim
0;263;0.000000;0.000105
1;76;0.000000;0.005850
2;466;0.000000;0.011642
3;82;0.000000;0.017657
4;317;0.000000;0.024242
5;142;0.000200;0.031357
6;244;0.000400;0.038944
7;46;0.000900;0.046952
8;0;0.000900;0.055538
9;77;0.001100;0.064541
10;83;0.001500;0.074011
11;15;0.002400;0.084078
12;16;0.002900;0.094628
13;301;0.002800;0.105641
14;311;0.003300;0.117179
15;309;0.004100;0.129588
16;418;0.004700;0.142692
17;485;0.004700;0.156353
18;231;0.006800;0.170722
19;30;0.006900;0.185670
20;462;0.007100;0.201024
21;161;0.009000;0.216733
22;465;0.010000;0.233081
23;57;0.011500;0.249988
24;242;0.010700;0.267273
25;129;0.013100;0.284854
26;304;0.012900;0.302797
27;474;0.015300;0.321127
28;360;0.016000;0.339764
29;357;0.015500;0.358988
30;259;0.016700;0.378446
31;6;0.020500;0.397900
32;253;0.019200;0.417485
33;286;0.019100;0.437217
34;84;0.019800;0.457156
35;34;0.021800;0.477616
36;183;0.022500;0.498002
37;194;0.022800;0.518203
38;447;0.023900;0.538506
39;144;0.022500;0.558949
40;473;0.022200;0.579492
41;58;0.024100;0.600145
42;121;0.023200;0.620889
43;2;0.024100;0.641668
44;332;0.025200;0.662655
45;468;0.026200;0.683675
46;101;0.026200;0.704699
47;211;0.026100;0.725978
48;399;0.028500;0.747308
49;20;0.029800;0.768631
50;147;0.030600;0.790154
51;377;0.032700;0.811712
52;174;0.032900;0.833409
53;75;0.034500;0.855387
54;95;0.036800;0.877518
55;196;0.038400;0.899808
56;35;0.038100;0.922202
57;223;0.040700;0.944782
58;492;0.039800;0.967483
59;358;0.040300;0.990402
60;86;0.041700;1.013489
61;41;0.044600;1.036643
62;257;0.044500;1.059943
63;269;0.046600;1.083392
64;152;0.048100;1.107083
65;398;0.049900;1.131068
66;300;0.049500;1.155160
67;163;0.049600;1.179392
68;36;0.049800;1.203756
69;331;0.050600;1.228291
70;391;0.052900;1.252899
71;464;0.055300;1.277674
72;371;0.053300;1.302499
73;73;0.054100;1.327425
74;103;0.056500;1.352367
75;482;0.057200;1.377371
76;374;0.056000;1.402572
77;426;0.059900;1.427830
78;479;0.059200;1.453121
79;499;0.059900;1.478530
80;97;0.059300;1.503980
81;496;0.059700;1.529621
82;201;0.061600;1.555312
83;289;0.062800;1.581051
84;237;0.059600;1.606875
85;315;0.063600;1.633187
86;28;0.064300;1.659091
87;248;0.065200;1.685063
88;463;0.062700;1.711096
89;282;0.062300;1.737176
90;272;0.065300;1.763356
91;475;0.063400;1.789503
92;297;0.065600;1.815747
93;187;0.065100;1.842080
94;114;0.067300;1.868473
95;1;0.068400;1.894921
96;160;0.066900;1.921445
97;139;0.067900;1.948023
98;476;0.068000;1.974643
99;411;0.074700;2.001336
100;246;0.071700;2.028136
101;93;0.076000;2.054983
102;64;0.070200;2.081958
103;471;0.077900;2.109016
104;224;0.079000;2.136126
105;52;0.079700;2.163299
106;123;0.076300;2.190545
107;18;0.087100;2.217842
108;112;0.082000;2.245267
109;336;0.083300;2.272806
110;5;0.087600;2.300457
111;308;0.090600;2.328155
112;9;0.090300;2.355964
113;481;0.092900;2.384002
114;290;0.095400;2.412111
115;80;0.094600;2.440516
116;430;0.097600;2.468646
117;10;0.094800;2.496842
118;47;0.098400;2.525135
119;203;0.097300;2.553528
120;299;0.100500;2.582031
121;403;0.100600;2.610580
122;280;0.101600;2.639144
123;146;0.106400;2.667823
124;162;0.103000;2.696569
125;206;0.103100;2.725787
126;131;0.102300;2.754622
127;209;0.103700;2.783638
128;218;0.106400;2.812831
129;179;0.105700;2.841886
130;53;0.104800;2.870995
131;491;0.106900;2.900109
132;442;0.104500;2.929408
133;339;0.108900;2.958857
134;480;0.109100;2.988316
135;329;0.105700;3.017722
136;366;0.111800;3.047170
137;489;0.112700;3.076654
138;59;0.110000;3.106265
139;199;0.112300;3.135892
140;451;0.115700;3.165545
141;169;0.123200;3.195299
142;235;0.124600;3.225078
143;361;0.127800;3.254914
144;379;0.124400;3.284764
145;116;0.127800;3.314798
146;13;0.126600;3.344842
147;296;0.131500;3.374983
148;444;0.127400;3.405220
149;240;0.130900;3.435598
150;486;0.137500;3.466033
151;345;0.136400;3.496530
152;72;0.133100;3.527149
153;251;0.144200;3.557926
154;155;0.144200;3.588800
155;45;0.147000;3.619752
156;232;0.146400;3.650848
157;87;0.151300;3.682036
158;166;0.153400;3.713350
159;352;0.148500;3.744712
160;175;0.156000;3.776120
161;433;0.155500;3.807771
