k;seed;inf;tim
0;263;0.000000;0.000030
1;477;0.000000;0.007462
2;246;0.000000;0.015097
3;491;0.000000;0.022853
4;495;0.000000;0.030721
5;351;0.000000;0.038750
6;490;0.000000;0.046964
7;473;0.000000;0.055323
8;448;0.000000;0.063862
9;478;0.000000;0.072553
10;158;0.000000;0.081385
11;160;0.000000;0.090389
12;463;0.000000;0.099553
13;417;0.000000;0.108831
14;186;0.000000;0.118296
15;183;0.000000;0.127942
16;451;0.000000;0.137782
17;143;0.000000;0.147768
18;432;0.000000;0.157976
19;445;0.000000;0.168376
20;218;0.000000;0.179012
21;220;0.000000;0.189799
22;332;0.000000;0.200792
23;155;0.000000;0.212049
24;260;0.000000;0.223476
25;467;0.000000;0.235126
26;493;0.000000;0.246892
27;189;0.000000;0.258808
28;405;0.000000;0.270998
29;182;0.000000;0.283454
30;429;0.000000;0.296110
31;63;0.000000;0.308950
32;237;0.000000;0.322027
33;252;0.000000;0.335330
34;215;0.000100;0.348831
35;102;0.000000;0.362601
36;144;0.000100;0.376655
37;322;0.000000;0.390957
38;427;0.000000;0.405463
39;170;0.000100;0.420213
40;210;0.000200;0.435194
41;195;0.000100;0.450397
42;126;0.000500;0.465813
43;208;0.000300;0.481416
44;83;0.000200;0.497345
45;90;0.000400;0.513512
46;232;0.000600;0.529857
47;190;0.001000;0.546479
48;211;0.000500;0.563354
49;187;0.001100;0.580445
50;53;0.000900;0.597774
51;127;0.000900;0.615405
52;258;0.001400;0.633358
53;475;0.001200;0.651633
54;370;0.001400;0.670164
55;488;0.001300;0.688823
56;392;0.001200;0.707740
57;352;0.001700;0.726958
58;334;0.001800;0.746420
59;120;0.002000;0.766172
60;111;0.002300;0.786307
61;216;0.002100;0.806706
62;442;0.002500;0.827393
63;348;0.002100;0.848318
64;84;0.002800;0.869561
65;115;0.002300;0.891055
66;161;0.003000;0.912799
67;468;0.003000;0.934813
68;426;0.003600;0.957126
69;193;0.002900;0.979707
70;11;0.004000;1.002510
71;109;0.004000;1.025577
72;171;0.003600;1.048957
