k;seed;inf;tim
0;264;0.000000;0.000032
1;499;0.000000;0.002681
2;491;0.000000;0.005411
3;495;0.000000;0.008161
4;490;0.000000;0.011022
5;480;0.000000;0.013919
6;478;0.000000;0.016883
7;470;0.000000;0.019943
8;460;0.000000;0.023105
9;457;0.000000;0.026329
10;463;0.000000;0.029597
11;447;0.000000;0.032922
12;442;0.000000;0.036305
13;432;0.000000;0.039763
14;262;0.000000;0.043290
15;426;0.000000;0.046904
16;438;0.000000;0.050574
17;388;0.000000;0.054357
18;260;0.000000;0.058188
19;430;0.000000;0.062111
20;255;0.000000;0.066141
21;418;0.000000;0.070262
22;440;0.000000;0.074470
23;252;0.000000;0.078785
24;445;0.000000;0.083197
25;335;0.000000;0.087704
26;236;0.000000;0.092321
27;234;0.000000;0.097034
28;227;0.000000;0.101814
29;220;0.000000;0.106660
30;208;0.000000;0.111637
31;311;0.000000;0.116733
32;221;0.000000;0.121895
33;207;0.000000;0.127132
34;202;0.000000;0.132567
35;206;0.000000;0.138065
36;199;0.000000;0.143747
37;196;0.000000;0.149448
38;192;0.000000;0.155025
39;188;0.000000;0.160721
40;371;0.000000;0.166464
41;169;0.000000;0.172322
42;145;0.000000;0.178212
43;157;0.000000;0.184233
44;143;0.000000;0.190260
45;129;0.000000;0.196395
46;65;0.000000;0.202581
47;189;0.000000;0.208811
48;345;0.000000;0.215127
49;107;0.000100;0.221545
50;64;0.000300;0.228117
51;11;0.000100;0.234768
52;85;0.000300;0.241496
53;197;0.000600;0.248349
54;419;0.000600;0.255292
55;153;0.000600;0.262342
56;168;0.000700;0.269472
57;254;0.001200;0.276704
58;7;0.001100;0.283975
59;477;0.001100;0.291366
60;142;0.001300;0.298847
61;115;0.001600;0.306385
62;473;0.001600;0.314033
63;216;0.002300;0.321726
64;407;0.002900;0.329528
65;417;0.002200;0.337423
66;134;0.002600;0.345496
67;100;0.002500;0.353665
68;395;0.002800;0.361914
69;135;0.003200;0.370267
70;181;0.003600;0.378718
71;97;0.004200;0.387318
72;120;0.004600;0.395983
73;396;0.004800;0.404768
74;489;0.004900;0.413704
75;471;0.005400;0.422749
76;384;0.006000;0.431868
77;404;0.006200;0.441168
78;452;0.005500;0.450514
79;118;0.006500;0.460027
80;247;0.006900;0.469618
81;397;0.006400;0.479352
82;131;0.006400;0.489154
83;87;0.007700;0.499090
84;91;0.007500;0.509113
85;428;0.008100;0.519281
86;415;0.006900;0.529554
87;198;0.007800;0.539930
88;259;0.007200;0.550374
89;194;0.008900;0.560988
90;186;0.009200;0.571773
91;424;0.010700;0.582567
92;68;0.010200;0.593469
93;443;0.010400;0.604455
94;173;0.011800;0.615613
95;233;0.011600;0.626854
96;149;0.012800;0.638188
97;378;0.014100;0.649629
98;239;0.013900;0.661199
99;405;0.013000;0.672831
100;391;0.015800;0.684599
101;350;0.015100;0.696530
102;369;0.015200;0.708541
103;390;0.016200;0.720678
104;422;0.016900;0.732941
105;468;0.017800;0.745322
106;174;0.018100;0.757824
107;401;0.018600;0.770459
108;487;0.019400;0.783219
109;409;0.018900;0.796101
110;408;0.020900;0.809145
111;306;0.022200;0.822294
112;200;0.023300;0.835642
113;116;0.023000;0.849044
114;2;0.024000;0.862539
115;185;0.025500;0.876224
116;111;0.025700;0.890065
117;347;0.023600;0.904016
118;364;0.027200;0.918095
119;170;0.027100;0.932337
120;416;0.026000;0.946671
121;241;0.028700;0.961160
122;310;0.028600;0.975798
123;140;0.031300;0.990573
124;79;0.032400;1.005479
125;437;0.030300;1.020486
126;375;0.031800;1.035665
127;33;0.033800;1.050982
128;258;0.036500;1.066491
129;132;0.035000;1.082154
130;44;0.034600;1.097953
131;400;0.036100;1.113895
132;203;0.041400;1.129949
133;399;0.040500;1.146171
134;75;0.040900;1.162492
135;15;0.041400;1.178938
136;402;0.040700;1.195517
137;98;0.043700;1.212182
138;37;0.043100;1.228966
139;9;0.043800;1.245866
140;137;0.047300;1.262958
141;403;0.045200;1.280121
142;458;0.045100;1.297426
143;212;0.048700;1.314861
144;250;0.046900;1.332415
145;253;0.048600;1.350026
146;159;0.050900;1.367866
147;410;0.051000;1.385842
148;474;0.053000;1.403931
149;497;0.054800;1.422138
150;4;0.053300;1.440418
151;172;0.054400;1.458881
152;136;0.057200;1.477486
153;367;0.057200;1.496246
154;235;0.056600;1.515116
155;88;0.058700;1.534087
156;359;0.061100;1.553201
157;178;0.063700;1.572438
158;476;0.064900;1.591829
159;380;0.062500;1.611349
160;215;0.063100;1.631084
161;425;0.065600;1.650965
162;498;0.069700;1.670952
163;322;0.066900;1.691069
164;376;0.069100;1.711286
165;109;0.072700;1.731575
166;205;0.070300;1.751984
167;187;0.076600;1.772505
168;444;0.074000;1.793125
169;398;0.076200;1.813942
170;218;0.080000;1.834823
