k;seed;inf;tim
0;15;0.068000;8.642971
1;208;0.078000;23.140250
2;2;0.097000;37.721888
3;398;0.105000;52.661899
4;0;0.098000;67.804965
5;466;0.094000;83.017999
6;5;0.113000;98.449465
7;23;0.115000;113.887863
8;35;0.117000;129.352923
9;34;0.114000;144.836542
10;295;0.117000;160.329782
11;12;0.117000;175.973695
12;14;0.122000;191.591647
13;67;0.124000;207.182469
14;6;0.126000;222.791312
15;1;0.117000;238.363885
16;100;0.115000;253.920905
17;109;0.122000;269.466690
18;3;0.122000;285.077254
19;4;0.120000;300.651384
20;32;0.119000;316.199028
21;11;0.126000;331.744704
22;7;0.128000;347.241623
23;9;0.125000;362.683442
24;13;0.124000;378.093578
25;16;0.124000;393.469370
26;17;0.124000;408.876273
27;104;0.127000;424.255281
28;469;0.127000;439.575378
29;24;0.135000;454.933268
30;8;0.144000;470.253966
31;25;0.130000;485.543747
32;10;0.138000;500.761989
33;26;0.134000;515.979317
34;19;0.135000;531.131406
35;43;0.138000;546.254735
36;18;0.143000;561.364458
37;29;0.136000;576.442465
38;28;0.133000;591.523212
39;21;0.133000;606.578682
40;27;0.129000;621.655374
41;31;0.134000;636.679514
42;20;0.135000;651.664392
43;30;0.138000;666.621836
44;37;0.138000;681.633870
45;40;0.134000;696.533448
46;36;0.136000;711.432580
47;22;0.133000;726.286092
48;45;0.133000;741.117756
49;83;0.133000;755.918834
50;33;0.140000;770.714202
51;38;0.135000;785.493787
52;41;0.138000;800.251623
53;39;0.136000;814.964953
54;82;0.140000;829.662675
55;196;0.135000;844.355600
56;49;0.136000;859.089933
57;42;0.140000;873.812231
58;48;0.132000;888.510041
59;181;0.135000;903.166928
60;128;0.133000;917.821249
61;450;0.136000;932.475151
62;44;0.143000;947.105357
63;47;0.140000;961.717935
64;50;0.147000;976.334073
65;54;0.143000;990.922288
66;230;0.148000;1005.476563
67;55;0.143000;1020.071910
68;46;0.144000;1034.637587
69;52;0.149000;1049.182917
70;60;0.145000;1063.725876
71;59;0.149000;1078.231584
72;53;0.145000;1092.710753
73;51;0.145000;1107.170254
74;56;0.145000;1121.601106
75;57;0.146000;1135.990195
76;61;0.147000;1150.341319
77;58;0.150000;1164.675591
78;64;0.147000;1179.001505
79;85;0.147000;1193.302304
80;263;0.149000;1207.574153
81;66;0.148000;1221.819878
82;69;0.144000;1236.065846
83;95;0.145000;1250.276216
84;62;0.145000;1264.458568
85;71;0.150000;1278.637009
86;72;0.146000;1292.768934
87;63;0.149000;1306.883563
88;91;0.147000;1320.983618
89;80;0.145000;1335.058449
90;252;0.148000;1349.119444
91;75;0.153000;1363.183177
92;137;0.152000;1377.219981
93;74;0.170000;1391.236016
94;81;0.171000;1405.228419
95;65;0.169000;1419.182097
96;68;0.171000;1433.111493
97;70;0.172000;1446.989085
98;73;0.171000;1460.837097
99;218;0.171000;1474.660823
100;78;0.171000;1488.452540
101;87;0.168000;1502.210415
102;86;0.167000;1515.944679
103;106;0.170000;1529.661030
104;92;0.169000;1543.348995
105;76;0.171000;1557.018665
106;105;0.180000;1570.658572
107;84;0.177000;1584.261651
108;120;0.171000;1597.837533
109;103;0.175000;1611.387844
110;96;0.170000;1624.893250
111;88;0.182000;1638.369839
112;89;0.169000;1651.824971
113;116;0.171000;1665.262523
114;318;0.176000;1678.669216
115;77;0.171000;1692.113637
116;240;0.176000;1705.528350
117;226;0.179000;1718.930040
118;150;0.181000;1732.329585
119;97;0.180000;1745.700725
120;79;0.181000;1759.046139
121;332;0.180000;1772.359560
122;93;0.174000;1785.713681
123;144;0.181000;1799.014667
124;90;0.178000;1812.282860
125;94;0.183000;1825.528241
126;178;0.182000;1838.748835
127;167;0.178000;1851.934057
128;98;0.186000;1865.104102
129;123;0.175000;1878.314031
130;102;0.183000;1891.403236
131;225;0.181000;1904.461971
132;148;0.193000;1917.512542
133;112;0.194000;1930.548136
134;99;0.191000;1943.532574
135;152;0.190000;1956.488163
136;117;0.189000;1969.414143
137;211;0.201000;1982.323834
138;108;0.193000;1995.191561
139;468;0.196000;2008.040683
140;115;0.202000;2020.879940
141;121;0.204000;2033.691110
142;101;0.205000;2046.479832
143;319;0.200000;2059.243422
144;107;0.213000;2071.990743
145;110;0.215000;2084.695931
146;111;0.213000;2097.372694
147;113;0.211000;2110.039436
148;156;0.212000;2122.660786
149;142;0.217000;2135.253260
150;119;0.211000;2147.824853
151;118;0.214000;2160.371487
152;145;0.217000;2172.889855
153;122;0.211000;2185.374625
154;126;0.213000;2197.829525
155;114;0.212000;2210.244215
156;163;0.213000;2222.622868
157;135;0.213000;2234.976028
158;125;0.218000;2247.298266
159;124;0.220000;2259.619244
160;127;0.219000;2271.903361
161;131;0.221000;2284.148587
162;159;0.217000;2296.352993
163;130;0.220000;2308.517533
164;129;0.218000;2320.652167
165;143;0.219000;2332.760540
166;132;0.217000;2344.832088
167;158;0.221000;2356.876113
168;133;0.217000;2368.874449
169;255;0.221000;2380.845871
170;134;0.229000;2392.809785
171;136;0.224000;2404.747500
172;250;0.223000;2416.651029
173;141;0.227000;2428.511694
174;138;0.220000;2440.347315
175;140;0.221000;2452.152414
176;139;0.220000;2463.931191
177;149;0.227000;2475.744955
178;146;0.223000;2487.449296
179;147;0.227000;2499.118338
180;301;0.222000;2510.743751
181;233;0.223000;2522.428065
182;153;0.223000;2534.079399
183;161;0.219000;2545.699283
184;151;0.225000;2557.288440
185;244;0.229000;2568.854822
186;372;0.224000;2580.372883
187;380;0.224000;2591.877312
188;157;0.224000;2603.410614
189;155;0.228000;2614.901941
190;154;0.232000;2626.361037
191;164;0.227000;2637.782629
192;162;0.226000;2649.170246
193;165;0.227000;2660.535547
194;160;0.230000;2671.833450
195;166;0.228000;2683.105656
196;210;0.228000;2694.348221
197;168;0.223000;2705.548980
198;169;0.228000;2716.719655
199;174;0.233000;2727.857631
200;170;0.227000;2738.974849
201;212;0.230000;2750.054455
202;204;0.229000;2761.116749
203;171;0.228000;2772.136362
204;261;0.235000;2783.119392
205;172;0.226000;2794.064098
206;189;0.227000;2804.981792
207;173;0.234000;2815.857744
208;227;0.229000;2826.696931
209;195;0.232000;2837.501459
210;182;0.225000;2848.271505
211;183;0.223000;2859.006936
212;176;0.227000;2869.710774
213;193;0.233000;2880.372297
214;175;0.228000;2890.995269
215;177;0.228000;2901.584779
216;179;0.227000;2912.137538
217;180;0.226000;2922.656552
218;184;0.229000;2933.140003
219;185;0.230000;2943.592095
220;191;0.227000;2954.016146
221;186;0.229000;2964.402417
222;223;0.231000;2974.759843
223;203;0.226000;2985.077437
224;220;0.230000;2995.357289
225;187;0.234000;3005.597306
226;188;0.232000;3015.806124
227;489;0.224000;3025.983492
228;198;0.237000;3036.168129
229;215;0.225000;3046.319939
230;205;0.226000;3056.437139
231;190;0.226000;3066.528155
232;387;0.240000;3076.696674
233;444;0.235000;3086.763474
234;206;0.225000;3096.825913
235;192;0.229000;3106.852042
236;381;0.229000;3116.839019
237;201;0.228000;3126.810434
238;194;0.226000;3136.735537
239;199;0.229000;3146.622203
240;197;0.232000;3156.472883
241;460;0.228000;3166.301618
242;207;0.235000;3176.102279
243;200;0.234000;3185.852720
244;209;0.238000;3195.586426
245;216;0.233000;3205.284382
246;420;0.239000;3214.945227
247;293;0.237000;3224.571081
248;362;0.238000;3234.166225
249;359;0.244000;3243.729660
250;237;0.258000;3253.261957
251;202;0.253000;3262.768028
252;273;0.254000;3272.263611
253;214;0.256000;3281.702047
254;217;0.253000;3291.099840
255;234;0.257000;3300.491387
256;213;0.251000;3309.881067
257;231;0.256000;3319.207111
258;459;0.265000;3328.508549
259;229;0.267000;3337.929954
260;224;0.267000;3347.206969
261;287;0.261000;3356.490398
262;245;0.268000;3365.835198
263;221;0.276000;3375.188127
264;396;0.276000;3384.475529
265;236;0.275000;3393.716695
266;242;0.274000;3402.879065
267;267;0.274000;3411.991942
268;276;0.275000;3421.095945
269;248;0.279000;3430.184865
270;309;0.284000;3439.444824
271;477;0.276000;3448.588583
272;219;0.296000;3457.772134
273;222;0.298000;3466.904046
274;241;0.293000;3475.997007
275;238;0.296000;3485.105737
276;232;0.301000;3494.005793
277;288;0.302000;3502.797449
278;246;0.297000;3511.477409
279;386;0.298000;3520.137087
280;493;0.299000;3528.705380
281;383;0.299000;3537.246702
282;239;0.303000;3545.754985
283;251;0.309000;3554.244983
284;235;0.306000;3562.699254
285;412;0.307000;3571.117095
286;253;0.312000;3579.516986
287;247;0.316000;3587.949637
288;228;0.318000;3596.529646
289;243;0.315000;3605.137914
290;299;0.308000;3613.723279
291;254;0.318000;3622.257781
292;256;0.315000;3630.748139
293;249;0.311000;3639.216844
294;264;0.311000;3647.618386
295;258;0.314000;3655.990391
