k;seed;inf;tim
0;12;0.055100;0.041292
1;208;0.064200;0.135903
2;470;0.083400;0.231753
3;450;0.093100;0.328800
4;469;0.102000;0.427074
5;137;0.109800;0.526287
6;9;0.119000;0.625972
7;319;0.127800;0.725794
8;156;0.127700;0.826100
9;249;0.129600;0.927028
10;58;0.141000;1.028370
11;216;0.141200;1.130107
12;225;0.144500;1.232213
13;92;0.143900;1.334585
14;237;0.148700;1.437625
15;192;0.153900;1.540974
16;172;0.160100;1.644569
17;5;0.162400;1.748691
18;323;0.170100;1.853086
19;56;0.173700;1.958185
20;196;0.181500;2.063711
21;255;0.182100;2.169513
22;215;0.185500;2.275293
23;127;0.189600;2.381281
24;322;0.194400;2.487584
25;460;0.195400;2.594153
26;4;0.203100;2.700895
27;161;0.201600;2.807825
28;392;0.213400;2.914993
29;148;0.214900;3.022205
30;140;0.214900;3.129672
31;10;0.219100;3.237213
32;142;0.220900;3.344946
33;75;0.221800;3.453261
34;254;0.221700;3.561430
35;104;0.226100;3.669675
36;185;0.224600;3.778292
37;498;0.236900;3.887207
38;231;0.238800;3.996344
39;198;0.242600;4.105861
40;294;0.247900;4.215844
41;246;0.245500;4.326232
42;473;0.256700;4.436843
43;443;0.260800;4.547514
44;352;0.264700;4.658661
45;324;0.270900;4.770190
46;78;0.272100;4.882085
47;32;0.275500;4.994442
48;141;0.279400;5.106981
49;493;0.279100;5.219538
50;465;0.281800;5.332369
51;455;0.285000;5.445407
52;235;0.291900;5.558644
53;437;0.289400;5.672095
54;212;0.297400;5.785816
55;194;0.296500;5.899663
56;174;0.303200;6.013694
57;130;0.305600;6.127874
58;3;0.312000;6.242296
59;190;0.310000;6.356834
60;184;0.317100;6.472168
61;146;0.317700;6.587243
62;427;0.314200;6.702188
63;131;0.317900;6.817216
64;197;0.315500;6.932264
65;477;0.322800;7.047332
66;409;0.323400;7.162677
67;222;0.325600;7.278267
68;359;0.326200;7.393719
69;163;0.326400;7.509286
70;108;0.328400;7.625118
71;491;0.326800;7.741031
72;125;0.329500;7.857320
73;430;0.328700;7.973509
74;393;0.340200;8.089947
75;120;0.341300;8.206622
76;267;0.345500;8.323453
77;203;0.345500;8.440554
78;480;0.351500;8.557762
79;100;0.353900;8.675678
80;457;0.356800;8.793776
81;411;0.365700;8.912112
82;382;0.369400;9.030300
83;335;0.372400;9.149035
84;165;0.369300;9.267878
85;126;0.378600;9.386900
86;357;0.371000;9.506290
87;364;0.382400;9.626045
88;66;0.383400;9.745922
89;422;0.384500;9.866088
90;414;0.383900;9.986421
91;368;0.392200;10.106947
92;256;0.388800;10.227613
93;275;0.400100;10.348345
94;377;0.402400;10.469227
95;64;0.402500;10.590406
96;252;0.402200;10.711689
97;99;0.403600;10.833365
98;293;0.408300;10.955323
99;257;0.407100;11.077629
100;484;0.410600;11.199582
101;429;0.416800;11.321879
102;250;0.411900;11.444080
103;214;0.420600;11.566430
104;348;0.418400;11.688985
105;33;0.420900;11.811583
106;424;0.426100;11.934404
107;233;0.429000;12.057254
108;285;0.428900;12.180211
109;253;0.429500;12.303259
110;301;0.430500;12.426582
111;91;0.431900;12.550165
112;39;0.439800;12.673808
113;459;0.442400;12.797535
114;150;0.442100;12.921640
115;181;0.440200;13.045966
116;245;0.449400;13.170660
117;462;0.448500;13.295280
118;310;0.455200;13.419740
119;240;0.462400;13.544227
120;209;0.463700;13.669095
121;286;0.462400;13.793883
122;94;0.462600;13.918785
123;81;0.463800;14.043862
124;261;0.468800;14.168817
125;478;0.476000;14.293871
126;105;0.470300;14.419036
127;43;0.477300;14.544415
128;89;0.474000;14.669837
129;67;0.476500;14.795256
130;135;0.487000;14.921388
131;139;0.485000;15.047067
132;77;0.479300;15.172873
133;55;0.494900;15.298940
134;302;0.493300;15.425397
135;405;0.488800;15.551509
136;318;0.494900;15.677779
137;109;0.495900;15.804164
138;287;0.499800;15.930712
139;27;0.502500;16.057370
140;458;0.509900;16.183917
141;134;0.515800;16.310591
142;128;0.513400;16.437352
143;453;0.519600;16.564333
144;200;0.521300;16.691364
145;228;0.516800;16.818642
146;219;0.522100;16.945798
147;328;0.524600;17.073032
148;85;0.526300;17.200460
149;416;0.532500;17.327839
150;160;0.527900;17.455383
