k;seed;inf;tim
0;12;0.021100;0.000033
1;491;0.029300;0.032113
2;249;0.059700;0.063730
3;455;0.068400;0.095311
4;499;0.082400;0.127025
5;173;0.098300;0.158897
6;488;0.111000;0.190972
7;253;0.115300;0.223165
8;227;0.121900;0.255514
9;463;0.128200;0.287988
10;476;0.135500;0.321000
11;258;0.143000;0.353848
12;76;0.146100;0.386971
13;4;0.155700;0.420152
14;8;0.153200;0.453400
15;484;0.163800;0.486998
16;248;0.167100;0.520414
17;447;0.168500;0.554080
18;443;0.179100;0.588121
19;94;0.175000;0.622341
20;386;0.184000;0.656400
21;498;0.176500;0.690517
22;262;0.185200;0.724773
23;460;0.190600;0.759197
24;320;0.195500;0.793703
25;148;0.200400;0.828296
26;391;0.205200;0.863058
27;236;0.209000;0.897952
28;212;0.214300;0.932977
29;361;0.221300;0.968036
30;90;0.230600;1.003199
31;115;0.240500;1.039598
32;259;0.245800;1.076430
33;192;0.249800;1.113569
34;255;0.252200;1.150718
35;472;0.255300;1.188013
36;374;0.262500;1.225402
37;88;0.265600;1.262911
38;182;0.266900;1.300490
39;147;0.279800;1.338163
40;189;0.286700;1.375901
41;409;0.297500;1.413772
42;229;0.304100;1.451721
43;357;0.310300;1.489748
44;164;0.311100;1.527872
45;175;0.323100;1.566078
46;245;0.323900;1.604452
47;163;0.324900;1.642861
48;378;0.326400;1.681364
49;434;0.330100;1.719930
50;478;0.333400;1.759408
51;237;0.341700;1.799770
52;158;0.343800;1.840270
53;162;0.346900;1.880860
54;452;0.357200;1.921496
55;413;0.356000;1.962703
56;197;0.355300;2.003576
57;438;0.362200;2.044296
58;68;0.364100;2.085286
59;142;0.374200;2.126373
60;350;0.369200;2.167504
61;431;0.374200;2.208712
62;403;0.379500;2.250020
63;64;0.382400;2.291343
64;435;0.376500;2.331185
65;466;0.387600;2.371059
66;436;0.387400;2.411015
67;156;0.385700;2.451083
68;205;0.388300;2.491414
69;59;0.394200;2.531681
70;399;0.396500;2.571975
71;490;0.398000;2.612439
72;446;0.395600;2.652979
73;394;0.398400;2.693472
74;3;0.400500;2.734116
75;427;0.405300;2.774801
76;418;0.411700;2.815639
77;72;0.411900;2.857430
78;422;0.407100;2.898417
79;145;0.414000;2.939471
80;444;0.415900;2.980595
81;416;0.420400;3.021705
82;485;0.412900;3.062877
83;206;0.421200;3.104145
84;493;0.423400;3.145484
85;322;0.417900;3.187186
86;470;0.425000;3.228671
87;412;0.428400;3.270180
88;203;0.427200;3.311789
89;9;0.436100;3.353462
90;454;0.433000;3.395232
91;57;0.440000;3.437001
92;171;0.437400;3.478859
93;217;0.448500;3.520825
94;178;0.439500;3.562848
95;191;0.442900;3.605201
96;425;0.451200;3.647510
