k;seed;inf;tim
0;12;0.023000;0.000148
1;489;0.030200;0.041542
2;245;0.056600;0.083309
3;496;0.071500;0.125061
4;455;0.085400;0.167288
5;173;0.110900;0.209623
6;252;0.117200;0.252179
7;225;0.123700;0.294834
8;257;0.127000;0.337690
9;483;0.138600;0.381075
10;462;0.142000;0.424848
11;475;0.149400;0.468972
12;0;0.156200;0.513412
13;7;0.152900;0.557965
14;135;0.162500;0.602734
15;407;0.176500;0.647780
16;261;0.176800;0.693262
17;414;0.184200;0.738938
18;270;0.186300;0.784745
19;78;0.191700;0.830802
20;109;0.187700;0.876899
21;52;0.190100;0.923183
22;375;0.191300;0.969649
23;355;0.196000;1.016315
24;482;0.200900;1.063137
25;246;0.202200;1.110156
26;228;0.205800;1.157410
27;347;0.209400;1.204800
28;494;0.211700;1.252250
29;391;0.210600;1.299900
30;262;0.211200;1.347683
31;302;0.225700;1.395550
32;460;0.225100;1.443549
33;249;0.227400;1.491649
34;386;0.225800;1.539709
35;94;0.232400;1.588350
36;42;0.233800;1.638191
37;8;0.248000;1.688085
38;159;0.252000;1.738065
39;15;0.257300;1.788241
40;247;0.260600;1.838523
41;256;0.260600;1.888844
42;231;0.263000;1.939385
43;443;0.267300;1.989954
44;107;0.276900;2.040576
45;312;0.275900;2.091322
46;320;0.285200;2.142134
47;176;0.290500;2.193065
48;289;0.288700;2.243953
49;464;0.303800;2.295016
50;304;0.302900;2.346178
51;22;0.307100;2.397441
52;90;0.310600;2.448863
53;101;0.309000;2.500376
54;212;0.312400;2.551960
55;144;0.314100;2.603575
56;491;0.311800;2.655281
57;26;0.314500;2.706984
58;499;0.315200;2.758687
59;498;0.315800;2.810436
60;175;0.317600;2.862227
61;463;0.315800;2.914060
62;223;0.315500;2.965945
63;229;0.316500;3.017819
64;472;0.322200;3.069782
65;148;0.319900;3.121712
66;227;0.317500;3.173713
67;259;0.320600;3.225682
68;88;0.319900;3.277722
69;243;0.326800;3.329788
70;181;0.325500;3.381941
71;115;0.323200;3.434100
72;147;0.323700;3.486314
73;361;0.329000;3.538557
74;4;0.334600;3.590862
75;74;0.332800;3.643132
76;265;0.329100;3.695488
77;484;0.349000;3.747964
78;378;0.353100;3.800442
79;24;0.365500;3.852950
80;32;0.367500;3.905519
81;468;0.363700;3.958189
82;76;0.365600;4.010944
83;315;0.366100;4.063838
84;488;0.365400;4.116750
85;384;0.367100;4.169760
86;334;0.370500;4.222874
87;336;0.377300;4.276089
88;429;0.376600;4.329327
89;53;0.378000;4.382668
90;439;0.378300;4.436054
91;380;0.380200;4.489589
92;116;0.382700;4.543119
93;158;0.387900;4.596740
94;282;0.382300;4.650443
95;142;0.387900;4.704237
96;280;0.389000;4.758135
97;438;0.397900;4.812151
98;17;0.397200;4.866275
99;401;0.398300;4.920406
100;150;0.398300;4.974600
101;399;0.395400;5.028876
102;28;0.402100;5.083210
103;435;0.395200;5.137683
104;292;0.402700;5.192137
105;73;0.407100;5.246677
106;466;0.405200;5.301299
107;197;0.404700;5.355933
108;182;0.412400;5.410635
109;59;0.405000;5.465364
110;33;0.411400;5.520156
111;481;0.410300;5.574956
112;248;0.415400;5.629846
113;418;0.414800;5.684737
114;476;0.413300;5.739681
115;205;0.414800;5.794673
116;172;0.414200;5.849715
117;160;0.418300;5.904789
118;357;0.418400;5.959899
119;236;0.419700;6.015003
120;322;0.424200;6.070141
121;409;0.421100;6.125320
122;393;0.436000;6.180565
123;351;0.436800;6.235874
124;132;0.439300;6.291245
125;281;0.448100;6.346675
126;200;0.440200;6.402143
127;80;0.449500;6.457730
128;47;0.446900;6.513364
129;487;0.452700;6.569054
130;359;0.449300;6.624875
131;377;0.451600;6.680735
132;21;0.455800;6.736637
133;67;0.452900;6.792589
134;402;0.453100;6.848565
135;27;0.459600;6.904608
136;335;0.458600;6.960726
137;6;0.458200;7.016856
138;285;0.465700;7.073057
139;413;0.466000;7.129261
140;337;0.469300;7.185525
141;268;0.467300;7.241875
142;467;0.470500;7.298249
143;242;0.469800;7.354718
144;412;0.472100;7.411210
145;490;0.475700;7.467738
146;209;0.477300;7.524317
147;57;0.480300;7.580918
148;167;0.479200;7.637571
149;234;0.483800;7.694259
150;87;0.474500;7.750973
151;164;0.480400;7.807748
152;238;0.492000;7.864557
153;3;0.493600;7.921382
154;96;0.485000;7.978259
155;430;0.493300;8.035150
156;446;0.503100;8.092147
157;306;0.505400;8.149143
158;367;0.506200;8.206192
159;274;0.514000;8.263203
160;372;0.517800;8.320336
161;66;0.520000;8.377412
162;305;0.526600;8.434568
163;308;0.524200;8.491760
164;316;0.518500;8.549035
165;290;0.518900;8.606277
166;327;0.526300;8.663415
167;363;0.527300;8.720743
168;34;0.525800;8.778122
169;298;0.520800;8.835535
170;444;0.522600;8.892760
171;266;0.523800;8.948477
172;478;0.527500;9.004211
173;447;0.534100;9.059993
174;75;0.528700;9.115828
175;267;0.530300;9.171639
176;428;0.526700;9.227481
177;233;0.531300;9.283330
178;403;0.530300;9.339206
179;284;0.530000;9.395090
180;68;0.529100;9.451014
181;170;0.530800;9.506960
182;339;0.533500;9.562953
183;13;0.535100;9.618911
184;299;0.532100;9.674894
185;263;0.531700;9.730938
186;95;0.529400;9.786990
187;14;0.528300;9.843057
188;448;0.530500;9.899145
189;185;0.538200;9.955222
190;422;0.532500;10.011327
191;11;0.534000;10.067484
192;374;0.535600;10.123638
193;286;0.535700;10.179829
194;471;0.536600;10.236059
195;156;0.536900;10.292321
196;434;0.540600;10.348555
197;394;0.542500;10.404843
198;85;0.538200;10.461111
199;221;0.540700;10.517411
200;102;0.539100;10.573735
201;310;0.539400;10.630089
202;60;0.533900;10.686421
203;163;0.542500;10.742814
204;350;0.545200;10.799196
205;81;0.542300;10.855624
206;100;0.545700;10.912048
207;333;0.544200;10.968421
208;165;0.542000;11.024885
209;313;0.553100;11.081415
210;433;0.554300;11.137913
211;255;0.551300;11.194461
212;470;0.559800;11.251042
213;157;0.557600;11.307646
214;111;0.570800;11.364266
215;317;0.561800;11.420892
216;36;0.570100;11.477569
217;103;0.571100;11.534271
218;226;0.573900;11.590975
219;38;0.570500;11.647742
220;35;0.574300;11.704520
221;20;0.579200;11.761261
222;25;0.575300;11.818113
223;187;0.573200;11.874911
224;5;0.581900;11.931744
225;19;0.578800;11.988605
226;191;0.578700;12.045459
227;421;0.584400;12.102321
