k;seed;inf;tim
0;269;0.009700;0.000111
1;488;0.046500;0.033169
2;242;0.076500;0.066392
3;91;0.108000;0.100281
4;243;0.112700;0.137349
5;224;0.114300;0.174223
6;277;0.120300;0.211241
7;212;0.122800;0.248546
8;462;0.125600;0.286239
9;246;0.121900;0.324334
10;407;0.141200;0.362394
11;485;0.141300;0.400617
12;197;0.171200;0.439053
13;409;0.172900;0.477666
14;482;0.179200;0.516491
15;492;0.176900;0.555485
16;55;0.185800;0.594674
17;300;0.191200;0.633999
18;209;0.200000;0.673524
19;274;0.191200;0.713258
20;335;0.200200;0.753204
21;481;0.204100;0.792976
22;310;0.212500;0.832800
23;133;0.216100;0.872754
24;237;0.219300;0.912789
25;454;0.215500;0.953404
26;137;0.219600;0.993738
27;379;0.218900;1.033802
28;215;0.220600;1.073964
29;497;0.226900;1.114120
30;459;0.231400;1.154324
31;352;0.232400;1.194685
32;6;0.230900;1.235253
33;146;0.245700;1.275858
34;228;0.242900;1.316574
35;320;0.250700;1.357369
36;79;0.249800;1.398238
37;324;0.258500;1.439157
38;489;0.260200;1.480208
39;466;0.253900;1.521334
40;267;0.270800;1.562538
41;304;0.268600;1.603821
42;416;0.281900;1.645229
43;261;0.280100;1.686593
44;46;0.287500;1.728069
45;299;0.286000;1.769615
46;471;0.295100;1.811221
47;306;0.294000;1.852937
48;266;0.297200;1.894906
49;432;0.297700;1.936711
50;7;0.303000;1.978567
51;473;0.302500;2.020422
52;71;0.307300;2.062404
53;157;0.308300;2.104412
54;493;0.310400;2.146401
55;90;0.312100;2.188442
56;373;0.316600;2.230556
57;428;0.318000;2.272702
58;350;0.314500;2.314971
59;239;0.318300;2.357887
60;165;0.318000;2.400333
61;398;0.319500;2.442579
62;490;0.316800;2.484956
63;467;0.316700;2.527520
64;325;0.321900;2.569960
65;262;0.325400;2.612329
66;433;0.326700;2.654744
67;463;0.327300;2.697182
68;249;0.327400;2.739624
69;395;0.334500;2.782091
70;184;0.336800;2.824577
71;148;0.347600;2.867086
72;421;0.341400;2.909656
73;479;0.347000;2.952367
74;250;0.365500;2.995403
75;331;0.379200;3.038235
76;1;0.392600;3.081123
77;233;0.392000;3.124079
78;296;0.394600;3.167138
79;498;0.393000;3.210231
80;161;0.395800;3.253450
81;393;0.400600;3.296760
82;75;0.401000;3.340105
83;214;0.401600;3.383555
84;475;0.398000;3.427050
85;354;0.407000;3.470692
86;156;0.406000;3.514391
87;130;0.411100;3.558001
88;302;0.406300;3.601665
89;429;0.409100;3.645401
90;24;0.412100;3.689200
91;491;0.416800;3.733067
92;241;0.410800;3.776927
93;153;0.419900;3.820785
94;480;0.412200;3.864698
95;147;0.416400;3.908765
96;36;0.422400;3.952879
97;185;0.420900;3.996891
98;478;0.423100;4.040925
99;17;0.417800;4.084973
100;360;0.423100;4.129086
101;167;0.429000;4.173211
102;298;0.430100;4.217341
103;12;0.436400;4.261539
104;248;0.440500;4.305768
105;95;0.445200;4.350069
106;211;0.447800;4.394382
107;28;0.443300;4.438801
108;32;0.455300;4.483193
109;102;0.458500;4.527669
110;231;0.460700;4.572659
111;103;0.460600;4.617718
112;5;0.462700;4.662331
113;159;0.467700;4.707007
114;2;0.464800;4.751895
115;265;0.473700;4.796734
116;453;0.476800;4.841509
117;339;0.485900;4.886350
118;80;0.487600;4.931243
119;367;0.492800;4.976138
120;295;0.494800;5.021083
121;64;0.496900;5.066100
122;458;0.499700;5.111105
123;381;0.503400;5.156156
124;97;0.507300;5.201545
125;131;0.508300;5.246820
126;251;0.509700;5.291982
127;472;0.515400;5.337164
128;69;0.515600;5.382455
129;282;0.517000;5.427941
130;176;0.516700;5.473316
131;318;0.522200;5.518658
132;118;0.520700;5.564033
133;226;0.517700;5.609423
134;81;0.519000;5.654861
135;378;0.523700;5.700686
136;204;0.521200;5.746297
137;190;0.528100;5.791858
138;372;0.525100;5.837427
139;87;0.525400;5.883079
140;111;0.526100;5.928773
141;210;0.528100;5.974307
142;392;0.529400;6.020031
143;412;0.531000;6.065749
144;141;0.528300;6.111700
145;271;0.536000;6.157591
146;285;0.527200;6.203444
147;443;0.532500;6.248789
148;411;0.536100;6.292906
149;9;0.532500;6.338238
150;217;0.531500;6.384106
151;202;0.531000;6.429965
152;387;0.533400;6.475875
153;487;0.535000;6.521796
154;311;0.534000;6.567736
155;110;0.535000;6.613731
156;356;0.531600;6.659849
157;255;0.536900;6.705877
158;316;0.538500;6.751917
159;375;0.533100;6.798483
160;144;0.534900;6.844991
161;342;0.542300;6.891091
162;175;0.543900;6.937250
163;138;0.541800;6.983616
164;252;0.538800;7.029975
165;47;0.545300;7.076211
166;135;0.542800;7.122451
167;431;0.545100;7.168689
168;115;0.544300;7.215363
169;129;0.544600;7.261617
170;57;0.546400;7.307921
171;328;0.546100;7.354303
172;279;0.551600;7.400797
173;208;0.550700;7.447439
174;469;0.543800;7.493874
175;256;0.557200;7.540271
176;424;0.560000;7.586695
177;194;0.556800;7.633163
178;4;0.561300;7.679632
179;61;0.563900;7.726155
180;192;0.562400;7.772756
181;40;0.563800;7.819272
182;29;0.569200;7.865829
183;351;0.574200;7.912495
184;44;0.576400;7.959440
185;332;0.576300;8.006057
186;94;0.572000;8.052719
187;27;0.577900;8.099414
188;423;0.573800;8.146402
189;240;0.578300;8.193272
190;124;0.583800;8.240018
191;236;0.581400;8.286775
192;263;0.579700;8.333531
193;268;0.583200;8.380412
194;70;0.589500;8.427281
195;258;0.583600;8.474094
196;422;0.589700;8.520951
197;193;0.588100;8.567859
198;440;0.597100;8.614750
199;323;0.589300;8.661575
200;21;0.590800;8.708438
201;105;0.587000;8.755343
202;63;0.594000;8.802226
203;222;0.594800;8.849825
204;134;0.598600;8.896761
205;355;0.591100;8.943743
206;245;0.595700;8.990693
207;334;0.596800;9.038446
208;336;0.595300;9.085696
209;244;0.594800;9.132667
210;166;0.601400;9.179666
211;164;0.600200;9.226842
212;196;0.597200;9.273986
213;286;0.600300;9.321049
214;235;0.603700;9.368071
215;8;0.603600;9.415092
216;347;0.607100;9.462127
217;405;0.602100;9.509194
218;187;0.603800;9.556259
