k;seed;inf;tim
0;12;0.000000;0.000114
1;280;0.000000;0.003649
2;28;0.000000;0.007782
3;240;0.000000;0.011581
4;128;0.000000;0.015613
5;498;0.000000;0.019811
6;474;0.000000;0.024256
7;309;0.000000;0.028772
8;457;0.000000;0.033548
9;311;0.000000;0.038487
10;249;0.000000;0.043660
11;337;0.000000;0.049013
12;143;0.000000;0.054549
13;62;0.000100;0.060188
14;484;0.000000;0.065990
15;479;0.000000;0.071935
16;230;0.000100;0.078041
17;299;0.000200;0.084333
18;362;0.000300;0.090831
19;242;0.000300;0.097457
20;361;0.000100;0.104753
21;22;0.000400;0.112146
22;493;0.000700;0.119166
23;314;0.000500;0.126385
24;331;0.000500;0.133818
25;234;0.000700;0.141336
26;168;0.000800;0.148975
27;46;0.001200;0.156751
28;471;0.001900;0.164697
29;61;0.001400;0.172729
30;149;0.002000;0.180911
31;205;0.001900;0.189251
32;13;0.001900;0.197744
33;301;0.002400;0.206377
34;462;0.002700;0.215126
35;344;0.003100;0.224041
36;379;0.003300;0.233108
37;6;0.004200;0.242300
38;370;0.004100;0.251663
39;16;0.004600;0.261158
40;130;0.005100;0.270806
41;257;0.004800;0.280604
42;75;0.005800;0.290570
43;133;0.005800;0.300682
44;161;0.005800;0.310942
45;388;0.006600;0.321356
46;343;0.006200;0.331889
47;486;0.007200;0.342627
48;129;0.007300;0.353568
49;300;0.008300;0.364772
50;142;0.009800;0.376135
51;98;0.009300;0.387721
52;325;0.008900;0.399460
53;261;0.010300;0.411352
54;157;0.011600;0.423450
55;424;0.012500;0.435693
56;201;0.012100;0.448070
57;38;0.015000;0.460569
58;321;0.014300;0.473203
59;17;0.015400;0.485989
60;24;0.013900;0.498961
61;243;0.016900;0.512079
62;289;0.018700;0.525404
63;84;0.018600;0.538793
64;378;0.021000;0.552371
65;165;0.021800;0.566002
66;72;0.021000;0.579696
67;86;0.020700;0.593417
68;159;0.022300;0.607258
69;222;0.022300;0.621173
70;444;0.022500;0.635128
71;267;0.022300;0.649160
72;433;0.022700;0.663319
73;265;0.022400;0.677627
74;45;0.024100;0.692068
75;399;0.025500;0.706498
76;23;0.024200;0.720975
77;452;0.024000;0.735568
