k;seed;inf;tim
0;499;0.000000;0.007128
1;478;0.000000;0.013017
2;484;0.000000;0.019825
3;463;0.000000;0.026713
4;444;0.000000;0.034005
5;439;0.000000;0.041583
6;309;0.000000;0.049601
7;437;0.000000;0.057987
8;416;0.000000;0.067143
9;403;0.000000;0.077130
10;361;0.000000;0.087872
11;466;0.000000;0.099010
12;254;0.000000;0.111101
13;295;0.000000;0.123295
14;245;0.000000;0.136845
15;312;0.000200;0.151038
16;237;0.000600;0.166552
17;176;0.000800;0.183847
18;260;0.001300;0.203917
19;91;0.001000;0.225556
20;119;0.001900;0.249721
21;146;0.002100;0.274370
22;236;0.003300;0.300382
23;144;0.003400;0.328123
24;70;0.005600;0.358607
25;47;0.006200;0.390685
26;7;0.008200;0.424745
27;230;0.008400;0.462137
28;462;0.010600;0.501370
29;279;0.011800;0.543340
30;397;0.011800;0.587008
31;221;0.017000;0.633849
32;163;0.016800;0.681446
33;283;0.019200;0.730942
34;10;0.021400;0.782150
35;167;0.022500;0.833874
36;136;0.024400;0.886604
37;155;0.023400;0.940527
38;253;0.028000;0.995111
39;367;0.028400;1.050399
40;28;0.028700;1.106873
41;355;0.029800;1.164238
42;2;0.029200;1.222773
43;83;0.034000;1.282258
44;72;0.033500;1.342733
45;413;0.035300;1.403563
46;172;0.037100;1.464887
47;475;0.038900;1.526888
48;61;0.039800;1.589899
49;297;0.040400;1.653915
50;350;0.043200;1.718574
51;43;0.044100;1.783936
52;487;0.045000;1.850002
53;479;0.046700;1.916599
54;417;0.048800;1.983964
55;429;0.049100;2.052001
56;116;0.048100;2.120811
57;493;0.051000;2.189544
58;153;0.052100;2.258863
59;88;0.053300;2.328621
60;133;0.054600;2.398899
61;97;0.055500;2.469934
62;85;0.053900;2.541113
63;158;0.057400;2.612587
64;436;0.057300;2.684374
65;81;0.058300;2.756508
66;110;0.059000;2.828890
67;300;0.059200;2.901780
68;445;0.059600;2.975012
69;302;0.061100;3.048759
70;328;0.059600;3.122477
71;179;0.062400;3.196627
72;39;0.061400;3.270885
73;93;0.063000;3.345320
74;408;0.062800;3.420016
75;150;0.065600;3.494873
76;100;0.066000;3.570031
77;143;0.065500;3.645321
78;438;0.066200;3.721064
79;480;0.068600;3.797154
80;498;0.068500;3.873111
81;202;0.068500;3.949263
82;128;0.068700;4.025572
83;131;0.074200;4.101908
84;352;0.074200;4.178922
85;135;0.071400;4.255839
86;267;0.077200;4.332942
87;249;0.079000;4.410473
88;423;0.078100;4.488119
89;197;0.080900;4.566053
90;421;0.083900;4.644555
91;160;0.083000;4.722982
92;26;0.081800;4.801737
93;378;0.092000;4.880821
94;307;0.085400;4.960168
95;242;0.089900;5.039693
96;27;0.087800;5.119587
97;231;0.092000;5.199740
98;472;0.094500;5.280259
99;402;0.093400;5.361088
100;459;0.098300;5.442133
101;431;0.097800;5.523535
102;208;0.099900;5.605568
103;373;0.100900;5.687513
104;452;0.104600;5.769617
105;148;0.103000;5.852247
106;149;0.102800;5.935271
107;318;0.103900;6.018190
108;336;0.107300;6.101211
109;274;0.109600;6.184363
110;374;0.113500;6.268145
