k;seed;inf;tim
0;107;0.007000;0.000231
10;1767;0.013500;73.359127
20;2711;0.014250;150.060601
30;3885;0.022250;226.705172
40;4016;0.028500;303.307369
50;1920;0.046500;380.341537
60;1550;0.056500;457.089277
70;404;0.053250;534.099832
80;12;0.061500;611.133501
90;1339;0.059500;688.289416
100;3888;0.077000;765.590540
110;1986;0.085250;842.859291
120;2023;0.098750;920.229113
130;3760;0.111000;997.759522
140;316;0.115000;1075.360132
150;3003;0.150000;1150.897743
160;3322;0.168500;1225.277406
170;2818;0.195500;1299.760953
180;4001;0.238000;1374.417175
190;1508;0.280750;1449.157849
200;3193;0.308500;1524.019019
210;3948;0.330500;1599.079247
220;2742;0.395250;1674.176364
230;2743;0.419500;1749.378262
240;2020;0.452500;1824.541610
250;289;0.476750;1899.725826
260;872;0.488500;1974.918645
270;3603;0.469250;2050.134092
280;215;0.494000;2125.393850
290;1506;0.501250;2200.839085
300;2006;0.508750;2276.144316
310;3969;0.508250;2351.510970
320;3016;0.520000;2426.852321
330;288;0.525250;2502.207468
340;336;0.529000;2577.558029
350;3771;0.539250;2653.124462
360;1834;0.538500;2728.970817
370;2253;0.547500;2804.641330
380;3614;0.547000;2879.804157
390;517;0.557750;2954.877447
400;654;0.568250;3030.056116
410;1282;0.568250;3105.569905
420;3186;0.577750;3180.991168
430;1615;0.594000;3256.967929
440;415;0.602750;3332.865493
450;749;0.613000;3408.638554
460;1524;0.629250;3484.470724
470;230;0.638250;3560.486955
480;3827;0.673250;3636.294605
490;1971;0.690750;3712.312326
