k;seed;inf;tim
0;271;0.060300;0.000170
10;19;0.285700;0.699577
20;112;0.430700;1.404069
30;476;0.475800;2.108989
40;363;0.518900;2.817484
50;232;0.555700;3.527316
60;490;0.605400;4.238443
70;484;0.650700;4.946585
80;161;0.683300;5.653542
90;440;0.719000;6.363191
100;311;0.731600;7.078816
110;49;0.740700;7.796768
120;235;0.770900;8.513561
130;160;0.789000;9.239804
140;81;0.794700;9.974002
150;152;0.819500;10.703874
160;14;0.836400;11.433260
170;465;0.845500;12.163767
180;464;0.857700;12.894641
190;209;0.871500;13.619339
200;454;0.881400;14.341890
210;247;0.891900;15.061104
220;153;0.897900;15.781051
230;282;0.913700;16.504013
240;267;0.924500;17.215313
250;274;0.930400;17.929098
260;86;0.933100;18.648494
270;320;0.941100;19.371236
280;107;0.943800;20.090804
290;289;0.951100;20.815021
300;128;0.958200;21.537430
310;270;0.962100;22.259570
320;117;0.963600;22.982436
330;137;0.967000;23.702969
340;24;0.971200;24.421265
350;431;0.973500;25.137396
360;412;0.978000;25.850506
370;109;0.981900;26.554570
380;448;0.981700;27.257197
390;392;0.985200;27.967815
400;41;0.988200;28.676749
410;121;0.991400;29.383106
420;203;0.992600;30.088698
430;417;0.993900;30.789485
440;110;0.994600;31.487316
450;286;0.996400;32.185044
460;369;0.997300;32.886169
470;69;0.998300;33.583599
480;77;0.998800;34.284523
490;423;0.999200;34.984669
