k;seed;inf;tim
0;271;0.000000;0.000029
10;451;0.000000;0.026762
20;449;0.000000;0.057311
30;253;0.000000;0.092985
40;215;0.000000;0.134946
50;149;0.000000;0.183595
60;174;0.001400;0.237821
70;197;0.004300;0.299311
80;72;0.007600;0.369457
90;473;0.012900;0.450240
100;425;0.018700;0.541280
110;222;0.026100;0.641626
120;398;0.036100;0.751491
130;247;0.047700;0.870852
140;450;0.057500;1.000722
150;413;0.070600;1.141720
160;418;0.081700;1.292526
170;374;0.091800;1.453324
180;411;0.108900;1.623754
190;472;0.127700;1.805118
200;402;0.146100;1.997128
210;400;0.155600;2.197922
220;94;0.184300;2.404237
230;352;0.202100;2.618161
240;460;0.224600;2.839484
250;404;0.241200;3.069352
260;186;0.265700;3.307152
270;272;0.295100;3.551831
280;180;0.316300;3.803199
290;67;0.353000;4.063032
300;332;0.366800;4.328906
310;216;0.390500;4.598688
320;282;0.420100;4.874011
330;495;0.434900;5.154047
340;286;0.465700;5.438469
350;403;0.492900;5.727407
360;226;0.522800;6.021307
370;261;0.549000;6.321387
380;172;0.577700;6.622208
390;58;0.603400;6.926730
400;372;0.638900;7.235720
410;442;0.673000;7.547700
420;266;0.700000;7.862036
430;423;0.735000;8.180485
440;16;0.764200;8.501347
450;39;0.786300;8.821842
460;326;0.824700;9.143665
470;59;0.853000;9.466851
480;264;0.888400;9.790649
490;278;0.934700;10.115543
